"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn"
"DST","Panthers  (7396127)","Panthers ",7396127,3900,"SF@Car 01:00PM ET","Car","Panthers","","SF",12.08,11
"DST","Seahawks  (7396143)","Seahawks ",7396143,3800,"Sea@LA 04:05PM ET","Sea","Seahawks","","LA",NA,8.7
"DST","Broncos  (7396150)","Broncos ",7396150,3600,"Ind@Den 04:25PM ET","Den","Broncos","","Ind",11.22,10.2
"DST","Cardinals  (7396144)","Cardinals ",7396144,3500,"TB@Ari 04:05PM ET","Ari","Cardinals","","TB",9.58,8.6
"DST","Texans  (7396136)","Texans ",7396136,3400,"KC@Hou 01:00PM ET","Hou","Texans","","KC",8.61,6.7
"DST","Vikings  (7396153)","Vikings ",7396153,3400,"GB@Min 08:30PM ET","Min","Vikings","","GB",13.18,7
"DST","Rams  (7396142)","Rams ",7396142,3300,"Sea@LA 04:05PM ET","LA","Rams","","Sea",9.58,7.7
"DST","Chiefs  (7396137)","Chiefs ",7396137,3200,"KC@Hou 01:00PM ET","KC","Chiefs","","Hou",NA,8.5
"DST","Packers  (7396152)","Packers ",7396152,3200,"GB@Min 08:30PM ET","GB","Packers","","Min",8.91,7.3
"DST","Patriots  (7396135)","Patriots ",7396135,3000,"Mia@NE 01:00PM ET","NE","Patriots","","Mia",10.43,9.4
"DST","Ravens  (7396141)","Ravens ",7396141,3000,"Bal@Cle 01:00PM ET","Bal","Ravens","","Cle",9.5,7.5
"DST","Steelers  (7396131)","Steelers ",7396131,2900,"Cin@Pit 01:00PM ET","Pit","Steelers","","Cin",9.88,7.5
"DST","Redskins  (7396129)","Redskins ",7396129,2800,"Dal@Was 01:00PM ET","Was","Redskins","","Dal",5.25,7.2
"DST","Bengals  (7396130)","Bengals ",7396130,2800,"Cin@Pit 01:00PM ET","Cin","Bengals","","Pit",6.42,7.3
"DST","Lions  (7396138)","Lions ",7396138,2800,"Ten@Det 01:00PM ET","Det","Lions","","Ten",7.49,8.1
"DST","Raiders  (7396149)","Raiders ",7396149,2700,"Atl@Oak 04:25PM ET","Oak","Raiders","","Atl",6.22,7.9
"DST","Colts  (7396151)","Colts ",7396151,2700,"Ind@Den 04:25PM ET","Ind","Colts","","Den",8.28,6.5
"DST","Giants  (7396133)","Giants ",7396133,2600,"NO@NYG 01:00PM ET","NYG","Giants","","NO",5.99,7.6
"DST","Dolphins  (7396134)","Dolphins ",7396134,2500,"Mia@NE 01:00PM ET","Mia","Dolphins","","NE",8.86,5.6
"DST","Browns  (7396140)","Browns ",7396140,2500,"Bal@Cle 01:00PM ET","Cle","Browns","","Bal",4.79,7
"DST","Chargers  (7396146)","Chargers ",7396146,2500,"Jax@SD 04:25PM ET","SD","Chargers","","Jax",6.74,7.3
"DST","49ers  (7396126)","49ers ",7396126,2400,"SF@Car 01:00PM ET","SF","49ers","","Car",5.97,3.9
"DST","Cowboys  (7396128)","Cowboys ",7396128,2400,"Dal@Was 01:00PM ET","Dal","Cowboys","","Was",6.3,5.1
"DST","Saints  (7396132)","Saints ",7396132,2300,"NO@NYG 01:00PM ET","NO","Saints","","NYG",NA,5.8
"DST","Jaguars  (7396147)","Jaguars ",7396147,2300,"Jax@SD 04:25PM ET","Jax","Jaguars","","SD",NA,6.6
"DST","Falcons  (7396148)","Falcons ",7396148,2300,"Atl@Oak 04:25PM ET","Atl","Falcons","","Oak",6.52,5.6
"DST","Titans  (7396139)","Titans ",7396139,2200,"Ten@Det 01:00PM ET","Ten","Titans","","Det",6.96,6.1
"DST","Buccaneers  (7396145)","Buccaneers ",7396145,2200,"TB@Ari 04:05PM ET","TB","Buccaneers","","Ari",4.72,6
