"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg"
"WR","Antonio Brown (7395512)","Antonio Brown",7395512,9900,"Cin@Pit 01:00PM ET","Pit","Antonio","Brown","Cin",28.65,26.1,25.01,26.1,1,0.305555555555556,NA
"WR","Odell Beckham Jr. (7395525)","Odell Beckham",7395525,9500,"NO@NYG 01:00PM ET","NYG","Odell","Beckham","NO",28.24,21.7,23.35,21.7,1,0.321428571428571,NA
"WR","Julio Jones (7395612)","Julio Jones",7395612,9200,"Atl@Oak 04:25PM ET","Atl","Julio","Jones","Oak",25.66,22.2,21.26,22.2,1,0.210526315789474,NA
"WR","A.J. Green (7395513)","A.J. Green",7395513,8900,"Cin@Pit 01:00PM ET","Cin","A.J.","Green","Pit",20.59,21.4,20.5,21.4,1,0.433333333333333,NA
"WR","DeAndre Hopkins (7395546)","DeAndre Hopkins",7395546,8700,"KC@Hou 01:00PM ET","Hou","DeAndre","Hopkins","KC",20.28,18.4,19.28,18.4,2,0.228571428571429,NA
"WR","Dez Bryant (7395500)","Dez Bryant",7395500,8400,"Dal@Was 01:00PM ET","Dal","Dez","Bryant","Was",14.9,17,13,17,3,0.133333333333333,NA
"QB","Drew Brees (7395308)","Drew Brees",7395308,8200,"NO@NYG 01:00PM ET","NO","Drew","Brees","NYG",22.61,22.6,20.34,22.6,0,0,NA
"WR","Brandin Cooks (7395527)","Brandin Cooks",7395527,8000,"NO@NYG 01:00PM ET","NO","Brandin","Cooks","NYG",18.47,16.7,18.84,16.7,1,0.238095238095238,NA
"QB","Cam Newton (7395294)","Cam Newton",7395294,7900,"SF@Car 01:00PM ET","Car","Cam","Newton","SF",22.99,26,23.44,26,0,0,NA
"WR","Allen Robinson (7395607)","Allen Robinson",7395607,7800,"Jax@SD 04:25PM ET","Jax","Allen","Robinson","SD",19.25,17.4,16.59,17.4,1,0.41025641025641,NA
"QB","Aaron Rodgers (7395360)","Aaron Rodgers",7395360,7800,"GB@Min 08:30PM ET","GB","Aaron","Rodgers","Min",22.05,19.5,20.22,19.5,0,0,NA
"QB","Andrew Luck (7395356)","Andrew Luck",7395356,7700,"Ind@Den 04:25PM ET","Ind","Andrew","Luck","Den",17.83,17.5,16.08,17.5,0,0,NA
"QB","Eli Manning (7395309)","Eli Manning",7395309,7600,"NO@NYG 01:00PM ET","NYG","Eli","Manning","NO",22.35,22.2,21.96,22.2,0,0,NA
"RB","David Johnson (7395452)","David Johnson",7395452,7600,"TB@Ari 04:05PM ET","Ari","David","Johnson","TB",20.28,18.5,21.19,18.5,3,0.153846153846154,NA
"WR","Amari Cooper (7395616)","Amari Cooper",7395616,7600,"Atl@Oak 04:25PM ET","Oak","Amari","Cooper","Atl",16.16,16,19.01,16,1,0.317073170731707,NA
"QB","Ben Roethlisberger (7395302)","Ben Roethlisberger",7395302,7500,"Cin@Pit 01:00PM ET","Pit","Ben","Roethlisberger","Cin",24.15,18.2,17.32,18.2,0,0,NA
"RB","Todd Gurley (7395444)","Todd Gurley",7395444,7500,"Sea@LA 04:05PM ET","LA","Todd","Gurley","Sea",14.26,13.9,16.86,13.9,6,0.0588235294117647,NA
"WR","Keenan Allen (7395603)","Keenan Allen",7395603,7500,"Jax@SD 04:25PM ET","SD","Keenan","Allen","Jax",0,0,0,0,2,0.205128205128205,NA
"WR","Jordy Nelson (7395631)","Jordy Nelson",7395631,7500,"GB@Min 08:30PM ET","GB","Jordy","Nelson","Min",17.52,15.7,16.93,15.7,2,0.243243243243243,NA
"QB","Russell Wilson (7395335)","Russell Wilson",7395335,7400,"Sea@LA 04:05PM ET","Sea","Russell","Wilson","LA",20.49,19.2,18.97,19.2,10,0,NA
"WR","Randall Cobb (7395634)","Randall Cobb",7395634,7400,"GB@Min 08:30PM ET","GB","Randall","Cobb","Min",16.67,14.4,14.69,14.4,1,0.27027027027027,NA
"RB","Ezekiel Elliott (7395380)","Ezekiel Elliott",7395380,7300,"Dal@Was 01:00PM ET","Dal","Ezekiel","Elliott","Was",16.07,16.4,20.71,16.4,5,0.0444444444444444,NA
"QB","Matthew Stafford (7395326)","Matthew Stafford",7395326,7300,"Ten@Det 01:00PM ET","Det","Matthew","Stafford","Ten",24.55,22,20.28,22,0,0,NA
"RB","Lamar Miller (7395414)","Lamar Miller",7395414,7200,"KC@Hou 01:00PM ET","Hou","Lamar","Miller","KC",18.29,16.1,19.16,16.1,3,0.114285714285714,NA
"WR","Mike Evans (7395596)","Mike Evans",7395596,7200,"TB@Ari 04:05PM ET","TB","Mike","Evans","Ari",15.24,16,16.28,16,1,0.225806451612903,NA
"QB","Derek Carr (7395352)","Derek Carr",7395352,7200,"Atl@Oak 04:25PM ET","Oak","Derek","Carr","Atl",20.63,18.1,19.77,18.1,0,0,NA
"RB","DeAngelo Williams (7395381)","DeAngelo Williams",7395381,7100,"Cin@Pit 01:00PM ET","Pit","DeAngelo","Williams","Cin",22.74,18.5,22.48,18.5,2,0.25,NA
"QB","Kirk Cousins (7395299)","Kirk Cousins",7395299,7000,"Dal@Was 01:00PM ET","Was","Kirk","Cousins","Dal",19.92,19.1,19.26,19.1,0,0,NA
"WR","T.Y. Hilton (7395623)","T.Y. Hilton",7395623,7000,"Ind@Den 04:25PM ET","Ind","T.Y.","Hilton","Den",13.12,13.9,14.67,13.9,1,0.282608695652174,NA
"RB","Adrian Peterson (7395480)","Adrian Peterson",7395480,7000,"GB@Min 08:30PM ET","Min","Adrian","Peterson","GB",16.36,16.3,16.61,16.3,5,0.0588235294117647,NA
"TE","Rob Gronkowski (7395673)","Rob Gronkowski",7395673,6900,"Mia@NE 01:00PM ET","NE","Rob","Gronkowski","Mia",0,0,0,0,8,0,NA
"QB","Carson Palmer (7395339)","Carson Palmer",7395339,6900,"TB@Ari 04:05PM ET","Ari","Carson","Palmer","TB",22.82,22,21.28,22,0,0,NA
"TE","Jordan Reed (7395655)","Jordan Reed",7395655,6800,"Dal@Was 01:00PM ET","Was","Jordan","Reed","Dal",18.08,15.1,16.33,15.1,2,0.238095238095238,NA
"WR","Golden Tate (7395559)","Golden Tate",7395559,6800,"Ten@Det 01:00PM ET","Det","Golden","Tate","Ten",16.26,15,15.7,15,2,0.184210526315789,NA
"QB","Matt Ryan (7395349)","Matt Ryan",7395349,6800,"Atl@Oak 04:25PM ET","Atl","Matt","Ryan","Oak",17.21,16.1,17.99,16.1,0,0,NA
"RB","C.J. Anderson (7395477)","C.J. Anderson",7395477,6800,"Ind@Den 04:25PM ET","Den","C.J.","Anderson","Ind",19.74,17.6,19.6,17.6,3,0.2,NA
"QB","Blake Bortles (7395347)","Blake Bortles",7395347,6700,"Jax@SD 04:25PM ET","Jax","Blake","Bortles","SD",19.75,20.2,18.87,20.2,0,0,NA
"WR","Doug Baldwin (7395578)","Doug Baldwin",7395578,6600,"Sea@LA 04:05PM ET","Sea","Doug","Baldwin","LA",16.6,14.3,15.46,14.3,1,0.27906976744186,NA
"WR","Kelvin Benjamin (7395496)","Kelvin Benjamin",7395496,6500,"SF@Car 01:00PM ET","Car","Kelvin","Benjamin","SF",16.12,15.4,15.85,15.4,1,0.375,NA
"QB","Joe Flacco (7395330)","Joe Flacco",7395330,6500,"Bal@Cle 01:00PM ET","Bal","Joe","Flacco","Cle",17.63,19.9,18.36,19.9,0,0,NA
"QB","Andy Dalton (7395303)","Andy Dalton",7395303,6400,"Cin@Pit 01:00PM ET","Cin","Andy","Dalton","Pit",19.43,19.6,17.55,19.6,0,0,NA
"WR","Jarvis Landry (7395538)","Jarvis Landry",7395538,6400,"Mia@NE 01:00PM ET","Mia","Jarvis","Landry","NE",17.33,16.9,14.2,16.9,1,0.37037037037037,NA
"WR","Larry Fitzgerald (7395589)","Larry Fitzgerald",7395589,6400,"TB@Ari 04:05PM ET","Ari","Larry","Fitzgerald","TB",16.63,16.4,17.7,16.4,1,0.256410256410256,NA
"QB","Philip Rivers (7395345)","Philip Rivers",7395345,6400,"Jax@SD 04:25PM ET","SD","Philip","Rivers","Jax",17.1,19.6,18.82,19.6,0,0,NA
"WR","Demaryius Thomas (7395622)","Demaryius Thomas",7395622,6400,"Ind@Den 04:25PM ET","Den","Demaryius","Thomas","Ind",13.81,16.1,14.78,16.1,1,0.28,NA
"WR","Donte Moncrief (7395628)","Donte Moncrief",7395628,6400,"Ind@Den 04:25PM ET","Ind","Donte","Moncrief","Den",11.96,12.3,12.17,12.3,2,0.152173913043478,NA
