"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk.Lag1.Snaps","Wk.Lag1.Snap.Pct","Wk.Lag1.Rush.Pct","Wk.Lag1.Tgt.Pct","Wk.Lag1.Touch.Pct","Wk.Lag1.Util.Pct","Wk.Lag2.Snaps","Wk.Lag2.Snap.Pct","Wk.Lag2.Rush.Pct","Wk.Lag2.Tgt.Pct","Wk.Lag2.Touch.Pct","Wk.Lag2.Util.Pct","Wk.Lag3.Snaps","Wk.Lag3.Snap.Pct","Wk.Lag3.Rush.Pct","Wk.Lag3.Tgt.Pct","Wk.Lag3.Touch.Pct","Wk.Lag3.Util.Pct","Wk.Lag1.Rush.Yds","Wk.Lag1.Rush.TDs","Wk.Lag1.Rec","Wk.Lag1.Rec.Yds","Wk.Lag1.Rec.TDs","Wk.Lag2.Rush.Yds","Wk.Lag2.Rush.TDs","Wk.Lag2.Rec","Wk.Lag2.Rec.Yds","Wk.Lag2.Rec.TDs","Wk.Lag3.Rush.Yds","Wk.Lag3.Rush.TDs","Wk.Lag3.Rec","Wk.Lag3.Rec.Yds","Wk.Lag3.Rec.TDs","Value"
2,"0",5000,24.8,0.06,0.17,0.05,1.3,1.1,0.4,0.3,6.7,7,5.2,5.6,0.9,7.8,18.3,12.4,10,3.7,21.1,10,26,17,12.2,32.5,10.1,51,63,5,0.145833333333333,2,2,1,25,51,8,24,28,32,59,68,2,17,17,19,36,68,3,14,14,17,19,0,5,53,0,3,0,9,52,1,8,0,4,53,0,1
12,"0",5000,23,0.03,0.32,0.04,0,0.1,0,0,-2,8.3,5.9,6.9,1,7.8,11.5,10.5,11,2.8,18.2,11.4,31,31,20.5,6.8,7.2,41,75,5,0.167785234899329,4,2,1,60,94,0,12,8,12,67,89,0,13,5,13,69,95,0,13,6,13,0,0,5,95,1,0,0,3,38,0,0,0,4,32,0,0
3,"0",5000,17.5,-0.16,-0.03,-0.23,0,0,0,0,0,7,9.6,8.8,1.3,5.4,7.1,13.3,15,4.8,21.8,13.7,2,2,6.1,4.4,10.8,56,121,6,0.244444444444444,1,1,1,83,99,0,12,4,12,66,97,0,6,3,6,62,94,0,11,5,11,0,0,3,31,0,0,0,2,24,0,0,0,3,18,1,0
5,"1",5000,22.3,-0.05,-0.07,-0.07,0,0.9,0.5,0.2,3.3,5,7.3,6.8,1.2,7.2,10.8,13.2,13,6,20.4,11,5,8,10.9,10.1,11.4,59,85,5,0.171370967741935,3,3,3,44,76,0,7,7,7,56,79,0,13,11,13,60,86,0,8,5,8,0,0,3,19,1,0,0,6,41,0,0,0,3,84,0,0
12,"0",4900,23,0.03,0.32,0.04,0,0.1,0.3,0,3,7.7,5.4,6.9,0.7,7.3,13.1,7.9,11,2.9,12.9,13.2,31,31,10.6,11.2,17.4,43,66,1,0.147651006711409,3,3,4,42,66,0,14,10,14,55,73,0,16,9,16,54,74,0,15,11,15,0,0,4,66,0,0,0,5,62,0,0,0,6,54,1,0
2,"0",4900,19.3,-0.01,-0.12,-0.07,0.7,0.4,0.2,0,6.2,7,7.8,7.4,0.7,9.2,11,14.8,12,8.6,21,11.7,8,7,11.9,8.6,12.5,58,96,4,0.192384769539078,2,1,1,58,81,0,12,10,12,56,82,2,7,7,9,47,86,2,21,13,23,0,0,6,59,0,-1,0,3,57,0,13,0,5,62,0,0
4,"0",4700,20.5,-0.2,0.08,-0.11,0,0.1,0,0,11,8.3,5.8,5.8,0.6,9.4,15.1,11.6,10,4.9,18.2,12.2,10,5,14.6,13.3,17.5,53,71,3,0.163594470046083,3,3,2,63,85,0,14,11,14,56,95,0,20,14,20,44,76,0,11,11,11,0,0,7,86,0,0,0,8,53,0,0,0,5,65,1,0
6,"0",4600,21.8,0.1,-0.23,0.09,0.3,0.1,0,0,22,6.3,6.7,8.1,0.7,6.2,10.1,11.6,14,5.4,17.8,13.8,18,18,12.1,2.2,16,51,81,6,0.173447537473233,2,2,2,60,100,0,13,7,13,51,91,2,0,2,2,63,94,0,18,8,18,0,0,4,21,1,22,0,0,0,0,0,0,5,50,1,0
5,"0",4500,24.8,-0.09,0,0.05,0,0,0,0,0,8,6,6.5,1.3,6,12.5,10.9,11,5.6,16.3,12.2,12,22,8,19.9,9.7,55,77,7,0.17420814479638,2,3,1,58,83,0,10,7,10,45,74,0,20,16,20,39,68,0,23,15,23,0,0,4,40,0,0,0,7,69,1,0,0,6,37,0,0
15,"0",4200,25,-0.01,-0.05,0.07,0,0,0,0,0,6.7,7.1,6.8,0.9,8.4,16.6,12.1,12,6.1,18.1,13.1,11,27,14.8,8.3,26.6,60,89,2,0.182377049180328,2,1,4,48,80,0,19,15,19,52,69,0,8,8,8,52,77,0,14,12,14,0,0,7,78,0,0,0,4,43,0,0,0,6,116,1,0
