Sum of  FantasyPoints,Column Labels,,,,,,
Row Labels,DEF,K,QB,RB,TE,WR,Grand Total
2000,3724,2791,6297.6,8355.9,2248.1,8867,32283.6
1,216,171,373.4,501.1,100.3,516.8,1878.6
ARI,,4,16.5,11.6,0,34.7,66.8
ARZ,4,,,,,,4
ATL,9,18,19.8,7.7,1.6,34.1,90.2
BAL,3,10,12.5,17.7,0,21.2,64.4
BUF,6,9,17,10.6,0.9,18.8,62.3
CAR,6,4,10.3,12.2,10,11.9,54.4
CHI,3,9,34.3,0,9.6,25.7,81.6
CLE,4,1,13.6,-0.1,0.4,18.4,37.3
DAL,7,6,-2,3.9,0,21,35.9
DEN,14,12,29.1,12.4,13.2,27.1,107.8
DET,17,6,,8.2,1.1,6.8,39.1
GB,2,10,9.4,5.4,7.9,10.8,45.5
IND,9,9,12.6,26.4,2.8,20.5,80.3
JAC,3,9,16,26.4,9.7,23.9,88
KC,5,,,17.5,3.4,19.7,45.6
MIA,16,11,10.3,22.2,0.8,12.6,72.9
MIN,4,12,30.9,-0.1,6.8,8.9,62.5
NE,9,3,15.6,6.7,0.4,22.8,57.5
NO,12,3,7,9.6,0,11.7,43.3
NYG,9,,3,46.7,1,9.7,69.4
NYJ,5,6,13.3,30.5,0,15.1,69.9
OAK,12,0,12.7,9.9,1.8,16.9,53.3
PHI,15,11,12.1,45.7,7.9,5,96.7
PIT,1,-1,6,5.8,2.7,14.4,28.9
SD,4,0,-0.7,17,5.7,5,31
SEA,4,-1,-5.7,7.6,1,2.8,8.7
SF,2,4,22.3,32.2,2.7,21.4,84.6
STL,10,5,23.7,37.8,0.3,43.9,120.7
TB,8,3,12.8,24.4,0.6,19.6,68.4
TEN,5,,5.6,14.1,6.3,1.8,32.8
WAS,8,8,15.4,31.1,1.7,10.6,74.8
2,235,188,465.7,435.5,152,654.8,2131
ARI,,14,17.7,18,1.9,29.7,81.3
ARZ,5,,,,,,5
ATL,8,2,6.8,3.8,0.6,19.4,40.6
BAL,12,7,27,19.2,11,34.4,110.6
BUF,10,9,23.5,5.4,20.2,24.1,92.2
CAR,6,8,25.6,16.7,15.9,34.3,106.5
