"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Antonio Brown",21,"0",9100,28.3,0.07,-0.16,-0.03,0.3,0.3,0.3,0,3,11.3,10.9,11.4,0.9,8.3,28.4,23.2,18,13.2,33.1,24.3,17.4,8,12,32.1,15.6,37.4,84,127,10,0.291954022988506,1,1,1,0
"Julio Jones",38,"1",8700,27.5,0.05,0.14,0.18,0,0,0,0,0,11.3,9.5,9.2,0.5,11,20.7,20.6,15,5.9,35.4,21.4,21.3,16,31,7.5,0,26.5,67,105,5,0.272727272727273,1,1,1,1
"Mike Evans",24,"0",8600,22.8,0.09,-0.16,-0.01,0,0,0,0,0,9.7,11.8,12,1.3,7.8,21.2,22.6,19,12.4,32.8,23.3,8.8,21,14,33.4,19.5,10.6,77,135,10,0.318396226415094,1,1,1,0
"T.Y. Hilton",2,"1",7600,23.8,0.05,-0.2,0.08,0,0,0.2,0,0,7.3,9.5,9,0.8,9.1,14.4,17.6,15,6.3,28.9,18.9,26.6,18,25,8.4,20.7,0,64,113,6,0.270334928229665,1,1,1,1
"Amari Cooper",10,"0",7300,25.8,-0.06,0.07,-0.06,0,0,0.3,0,0,6.7,9.1,8.3,1,9.2,11.2,17.5,14,6.7,28.2,17.1,13.9,11,11,6.2,15.7,0,68,110,3,0.247747747747748,1,1,3,0
"Larry Fitzgerald",11,"0",7100,25.5,0.03,0.1,-0.01,0,0.1,0,0,1,9.7,10.1,9,1.5,7.3,16.6,17.5,14,10.4,24.7,18.3,17.8,20,13,9.3,12.3,28.3,81,116,6,0.247334754797441,1,1,1,0
"Jordy Nelson",7,"0",7000,25.8,-0.16,0.01,-0.17,0,0,0,0,0,11.7,9.8,8.6,2,7,20.8,17.8,14,8.8,26.8,16.9,28.8,6,3,17.1,11.8,33.6,63,112,9,0.238297872340426,1,1,1,1
"Dez Bryant",0,"0",6900,23.3,-0.13,-0.06,-0.23,0,0,0,0,0,8,8.1,7.4,1.1,8.5,21.6,15.9,12,5.9,25.8,15.2,18.4,2,2,12.2,26,26.6,33,67,6,0.191428571428571,3,3,1,0
"Michael Thomas",22,"0",6900,29.8,0,-0.03,-0.02,0,0,0,0,0,7,7.6,7.7,1,9.4,17.5,17.3,12,8.8,25.8,14.8,8.2,19,10,34.8,11.8,6,68,88,7,0.191304347826087,1,1,1,0
"Brandon Marshall",6,"0",6900,24.8,0.11,0.09,0.05,0,0,0,0,0,8,9.2,9.1,1.6,6.6,11.6,12.8,15,5.3,20.2,17.6,8.3,29,21,18.7,0,5.5,51,104,4,0.272965879265092,1,1,1,0
"Julian Edelman",14,"0",6800,28.8,-0.07,0.05,0.07,0.7,1,0.3,0.1,4.6,12.3,9.1,8.4,1,6.2,18.4,12.8,13,7.4,18.2,16.5,21.1,10,18,16.3,22.9,15.9,67,104,2,0.263291139240506,1,1,6,1
"Doug Baldwin",22,"0",6700,25.8,0.12,-0.25,0.07,0,0.1,0,0,-4,7,7.1,6.8,0.8,9.8,20.8,16.2,12,6.6,25.8,15.4,13.5,25,26,10.4,22,29.9,63,88,5,0.251428571428571,1,1,1,0
"Stefon Diggs",2,"0",6700,20.3,0.1,-0.24,0.08,0.3,0.3,0.2,0.1,3.3,12,9.8,10.7,0.9,8.5,21.4,18.2,18,6.9,29.5,19.8,13.9,15,17,0,9.7,32.4,68,90,2,0.233160621761658,1,1,3,0
"Demaryius Thomas",1,"0",6600,21.3,-0.17,0.1,-0.09,0,0,0,0,0,9.7,8.5,8.3,1.1,7.9,14.8,15.2,13,9.5,20.8,14,12.1,13,6,11,0,22.7,62,105,5,0.274151436031332,1,2,1,0
"Donte Moncrief",5,"0",6600,23.8,0.05,-0.2,0.08,0,0.2,0,0,-1,8,7.2,7.7,1.2,5.8,14.9,13.2,13,7.4,19,14.1,12.6,18,25,16.5,13.7,0,25,42,6,0.100478468899522,4,4,1,0
