"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"Antonio Brown",12,"0",9200,29.3,0.14,0.06,0.05,0.3,0.3,0.2,0,3,13,11.4,11.7,1,8,24.8,22.3,19,12.3,32.2,25.8,32.1,29,19,15.6,37.4,21.5,78,119,7,0.288834951456311,1,1,1,1
"Julio Jones",5,"0",8500,26.3,-0.21,-0.09,-0.09,0,0,0,0,0,10.7,9.7,9,0.6,11.4,20.2,21.9,15,7.1,36.8,19.7,7.5,1,5,0,26.5,28.1,63,98,5,0.278409090909091,1,1,1,0
"T.Y. Hilton",3,"1",7900,20.8,0.08,-0.1,-0.08,0,0,0.2,0,0,7.7,9.9,9.3,0.9,9,12.6,18.5,16,7,30,18.2,8.4,15,4,20.7,0,14.2,61,108,6,0.278350515463918,1,1,1,0
"Amari Cooper",30,"0",7700,26,0.11,-0.23,0.06,0,0,0.2,0,0,9.3,9.3,9.1,0.9,9.7,21.9,18.6,15,8,29.2,19,6.2,23,24,15.7,0,11.6,64,104,3,0.25615763546798,1,1,2,0
"Dez Bryant",4,"0",7700,29.3,0.06,0.05,0.01,0,0,0,0,0,7,8.3,7.5,1.1,8.2,18.5,16.4,12,5.8,27,16.1,12.2,19,14,26,26.6,2.9,28,60,6,0.18348623853211,3,3,1,0
"Mike Evans",14,"0",7500,20.5,-0.02,-0.08,-0.09,0,0,0,0,0,11.7,11.9,10.7,1.2,7.7,23.7,21.6,18,11.5,31.6,19.3,33.4,6,8,19.5,10.6,41,68,124,8,0.313924050632911,1,1,1,1
"Jordy Nelson",4,"0",7400,21.3,-0.07,-0.01,-0.02,0,0,0,0,0,12,9.6,9,2.1,6.9,22.6,17.8,14,8.3,27.3,17.7,17.1,6,19,11.8,33.6,22.4,54,99,9,0.230232558139535,2,1,1,0
"Allen Robinson",5,"0",7200,17.5,-0.01,0.01,-0.03,0,0,0,0,0,10.3,10.1,9.4,1.5,5.6,20.7,14.9,17,6.4,23.3,16.6,4.4,13,12,10.8,30.7,20.6,51,107,6,0.250585480093677,1,1,1,0
"Larry Fitzgerald",21,"0",7000,22.8,0.13,-0.03,0.1,0,0.1,0,0,1,12,10.7,10,1.5,7,19.3,18.4,16,11.4,25.3,19.7,9.3,30,28,12.3,28.3,0,77,112,6,0.264775413711584,1,1,1,0
"Demaryius Thomas",8,"0",6900,21.8,0.01,0.14,0.13,0,0,0,0,0,10.3,8.5,9.3,1.2,8,15.4,15.6,16,9.8,21.3,16.4,11,12,27,0,22.7,10.6,57,96,5,0.275862068965517,1,1,1,0
"Julian Edelman",20,"0",6800,28.5,0.04,-0.2,0.06,1,1.1,0.3,0.1,4.6,11.3,8.9,8.7,1.1,6,17.5,12.5,15,6.9,18,17.1,16.3,18,19,22.9,15.9,0,59,93,2,0.270348837209302,1,1,5,0
"Brandin Cooks",10,"0",6800,26.8,-0.12,-0.04,0.03,0.7,0.5,0.2,0.3,5.2,6.3,7.5,7.6,0.8,9.8,14.1,16.9,12,6.3,27.6,15.1,0,4,13,11.9,18.8,11.6,52,77,6,0.182033096926714,2,1,1,0
"Kelvin Benjamin",6,"0",6700,22.5,0.09,0.09,0.09,0,0,0,0,0,7.7,8,7,0.9,8.5,11.9,14,12,5.4,22.6,13.3,13.3,25,22,8.6,14.4,12.6,46,81,4,0.220108695652174,2,2,1,0
"Davante Adams",2,"0",6600,21.3,-0.07,-0.01,-0.02,0,0,0,0,0,7.7,8,6.5,1.3,8.3,15.3,16,10,5,27,10.1,31.3,6,19,7.2,24.6,14.1,55,85,6,0.197674418604651,1,2,2,1
"Michael Thomas",12,"0",6600,26.8,-0.12,-0.04,0.03,0,0,0,0,0,6.3,7.4,7.6,1,9.2,14,15.5,12,9,22,13.3,34.8,4,13,11.8,6,24.3,59,77,5,0.182033096926714,1,1,2,1
"Michael Crabtree",4,"0",6500,26,0.11,-0.23,0.06,0,0,0,0,0,9.7,8.8,8.1,1,6.8,10,15.6,13,5.6,25.6,15.1,22,23,24,3.5,0,4.7,56,96,7,0.236453201970443,2,2,1,1
