"Place_lo","Place_hi","Payout"
"1","1","2e+05"
"2","2","1e+05"
"3","3","75000"
"4","4","50000"
"5","5","30000"
"6","7","20000"
"8","10","15000"
"11","20","10000"
"21","40","7500"
"41","65","5000"
"66","95","4000"
"96","150","3000"
