"Nolan Arenado_COL","Corey Seager_LAD","Paul Goldschmidt_ARI","Mike Trout_LAA","Cody Bellinger_LAD","Charlie Blackmon_COL","Yasiel Puig_LAD","Ian Desmond_COL","Mark Reynolds_COL","Justin Turner_LAD","Joc Pederson_LAD","Logan Forsythe_LAD","DJ LeMahieu_COL","Trevor Story_COL","AJ Pollock_ARI","Jake Lamb_ARI","Yasmani Grandal_LAD","Adrian Gonzalez_LAD","Chase Utley_LAD","Franklin Gutierrez_LAD","Joey Gallo_TEX","Chris Taylor_LAD","David Dahl_COL","Rajai Davis_OAK","Khris Davis_OAK","Yonder Alonso_OAK","Rougned Odor_TEX","Carlos Gonzalez_COL","Adrian Beltre_TEX","Carlos Gomez_TEX","Yasmany Tomas_ARI","Miguel Cabrera_DET","Shin-Soo Choo_TEX","Elvis Andrus_TEX","David Peralta_ARI","Trayce Thompson_LAD","Justin Upton_DET","JD Martinez_DET","Marcus Semien_OAK","Chris Owings_ARI","Starling Marte_PIT","Gregory Polanco_PIT","Andrew Toles_LAD","Austin Barnes_LAD","Ian Kinsler_DET","Mike Napoli_TEX","Nomar Mazara_TEX","Andrew McCutchen_PIT","Gerardo Parra_COL","Nicholas Castellanos_DET","Trevor Plouffe_OAK","Jonathan Lucroy_TEX","Ryon Healy_OAK","Rob Segedin_LAD","Pat Valaika_COL","Albert Pujols_LAA","Josh Harrison_PIT","Brandon Drury_ARI","Andre Ethier_LAD","Kike Hernandez_LAD","Stephen Cardullo_COL","Raimel Tapia_COL","Jed Lowrie_OAK","Delino DeShields_TEX","Scott Van Slyke_LAD","Dustin Garneau_COL","Yunel Escobar_LAA","Alex Avila_DET","Kole Calhoun_LAA","Stephen Vogt_OAK","Josh Phegley_OAK","Mark Canha_OAK","Tom Murphy_COL","Jim Adduci_DET","CJ Cron_LAA","Tyler Collins_DET","Francisco Cervelli_PIT","Jeremy Hazelbaker_ARI","Alen Hanson_PIT","Victor Martinez_DET","Luis Valbuena_LAA","Cameron Maybin_LAA","Andrew Romine_DET","Robinson Chirinos_TEX","Chris Herrmann_ARI","Josh Bell_PIT","Jefry Marte_LAA","Chris Iannetta_ARI","Socrates Brito_ARI","Ben Revere_LAA","James McCann_DET","Jake Smolinski_OAK","Pete Kozma_TEX","Ryan LaMarre_OAK","Brett Nicholas_TEX","Gregor Blanco_ARI","David Freese_PIT","Adam Frazier_PIT","Tony Wolters_COL","Jurickson Profar_TEX","Bruce Maxwell_OAK","John Jaso_PIT","Danny Ortiz_PIT","Kevin Newman_PIT","Andrelton Simmons_LAA","Adam Rosales_OAK","Matt Joyce_OAK","Ryan Rua_TEX","Jordy Mercer_PIT","Jose Osuna_PIT","Nick Ahmed_ARI","Ryan Hanigan_COL","Cristhian Adames_COL","Brett Eibner_LAD","Alexi Amarista_COL","Danny Espinosa_LAA","Hanser Alberto_TEX","Daniel Descalso_ARI","Elias Diaz_PIT","Phil Gosselin_PIT","JaCoby Jones_DET","Chad Pinder_OAK","Dixon Machado_DET","Jose Iglesias_DET","John Hicks_DET","Mikie Mahtook_DET","Gift Ngoepe_PIT","Jaff Decker_OAK","Chris Bostick_PIT","Max Moroff_PIT","Martin Maldonado_LAA","Juan Graterol_LAA","Drew Robinson_TEX","Matt Olson_OAK","Carlos Perez_LAA","Jeff Mathis_ARI","Chris Stewart_PIT","John Bormann_PIT","Cliff Pennington_LAA"
32,0,0,0,0,31,0,9,29,0,0,0,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,31,0,0,14,0,30,0,0,28,16,11,0,0,0,0,25,21,15,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35,0,0,0,0,0,0,0,0,0,0,0,30,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,26,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28,0,27,0,0,0,0,0,13,0,0,0,0,0,2,21,0,0,0,0,15,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,3,0,0,0,6
0,14,0,0,15,0,14,0,0,14,6,0,0,0,0,0,12,7,9,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,32,0,9,29,0,0,0,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,0,0,14,0,32,0,0,29,17,11,0,0,0,0,25,21,14,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,9,0,10,8,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,29,0,8,30,0,0,0,28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,6,0,0,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,28,0,0,14,0,29,0,0,30,16,10,0,0,0,0,23,19,13,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
