Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,14967,Le'Veon Bell,RB,16,PIT,KC,0,0,0,114,1,5,36,0,29
2,11270,Dez Bryant,WR,16,DAL,IND,0,0,0,0,0,7,108,1,26.80
3,6029,Calvin Johnson,WR,16,DET,CHI,0,0,0,0,0,7,106,1,26.60
4,14008,Andrew Luck,QB,16,IND,DAL,292,3,1,22,0,0,0,0,24.88
5,11056,Antonio Brown,WR,16,PIT,KC,0,0,0,0,0,8,98,1,23.80
6,732,Matt Ryan,QB,16,ATL,NO,313,2,1,8,0,0,0,0,23.32
7,7242,Drew Brees,QB,16,NO,ATL,319,2,1,2,0,0,0,0,22.96
8,11197,Demaryius Thomas,WR,16,DEN,CIN,0,0,0,0,0,7,99,1,22.90
9,16389,Odell Beckham Jr,WR,16,NYG,LA,0,0,0,0,0,7,94,1,22.40
10,12845,AJ Green,WR,16,CIN,DEN,0,0,0,0,0,7,91,1,22.10
11,11063,Emmanuel Sanders,WR,16,DEN,CIN,0,0,0,2,0,6,90,1,21.20
12,14187,Alshon Jeffery,WR,16,CHI,DET,0,0,0,2,0,7,78,1,21
13,8914,Jeremy Maclin,WR,16,PHI,WAS,0,0,0,0,0,6,89,1,20.90
14,14986,DeAndre Hopkins,WR,16,HOU,BAL,0,0,0,0,0,6,87,1,20.70
15,13291,Julio Jones,WR,16,ATL,NO,0,0,0,0,0,6,87,1,20.70
16,2593,Aaron Rodgers,QB,16,GB,TB,275,2,0,15,0,0,0,0,20.50
17,4556,Jordy Nelson,WR,16,GB,TB,0,0,0,0,0,5,95,1,20.50
18,15138,Eddie Lacy,RB,16,GB,TB,0,0,0,93,1,3,21,0,20.40
19,12323,Joique Bell,RB,16,DET,CHI,0,0,0,75,1,4,28,0,20.30
20,11792,Arian Foster,RB,16,HOU,BAL,0,0,0,76,1,4,27,0,20.30
21,7969,Jamaal Charles,RB,16,KC,PIT,0,0,0,75,1,4,26,0,20.10
22,16597,Mike Evans,WR,16,TB,GB,0,0,0,0,0,6,81,1,20.10
23,11463,Brandon LaFell,WR,16,NE,NYJ,0,0,0,0,0,6,80,1,20
24,7328,Peyton Manning,QB,16,DEN,CIN,297,2,0,-1,0,0,0,0,19.78
25,13227,Randall Cobb,WR,16,GB,TB,0,0,0,3,0,6,74,1,19.70
26,10974,Rob Gronkowski,TE,16,NE,NYJ,0,0,0,0,0,6,77,1,19.70
27,9038,Matthew Stafford,QB,16,DET,CHI,302,1,0,5,0,0,0,0,19.58
28,4314,Tom Brady,QB,16,NE,NYJ,286,2,0,0,0,0,0,0,19.44
29,15196,Kenny Stills,WR,16,NO,ATL,0,0,0,0,0,5,84,1,19.40
30,13124,DeMarco Murray,RB,16,DAL,IND,0,0,0,100,1,0,3,0,19.30
31,12386,Marshawn Lynch,RB,16,SEA,ARI,0,0,0,82,1,3,20,0,19.20
32,11611,Golden Tate,WR,16,DET,CHI,0,0,0,0,0,6,71,1,19.10
33,15020,CJ Anderson,RB,16,DEN,CIN,0,0,0,96,1,2,14,0,19
34,2699,Matt Forte,RB,16,CHI,DET,0,0,0,37,1,5,39,0,18.60
35,1181,Martellus Bennett,TE,16,CHI,DET,0,0,0,0,0,6,65,1,18.50
36,3943,DeSean Jackson,WR,16,WAS,PHI,0,0,0,0,0,5,74,1,18.40
37,3867,Tony Romo,QB,16,DAL,IND,254,2,0,2,0,0,0,0,18.36
38,7175,Delanie Walker,TE,16,TEN,JAX,0,0,0,0,0,6,63,1,18.30
39,16003,Sammy Watkins,WR,16,BUF,OAK,0,0,0,0,0,5,71,1,18.10
40,16020,Jarvis Landry,WR,16,MIA,MIN,0,0,0,0,0,6,61,1,18.10
41,8415,Mark Sanchez,QB,16,PHI,WAS,266,2,1,4,0,0,0,0,18.04
42,14257,Robert Griffin III,QB,16,WAS,PHI,265,1,0,34,0,0,0,0,18
43,11488,Jimmy Graham,TE,16,NO,ATL,0,0,0,0,0,5,70,1,18
