"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"3B","Alex Bregman",2900,"LAA@HOU 04:10PM ET",6.542,"HOU","LAA",5.74,7.7,6.97,NA,"8","9",0
"OF","Matt Szczur",2900,"KC@SD 04:10PM ET",3.297,"SD","KC",NA,0,6.68,NA,"x","x",NA
"1B","Ryan O'Hearn",2900,"KC@SD 04:10PM ET",0,"KC","SD",NA,0,NA,NA,"x","x",NA
"OF","Mac Williamson",2900,"MIN@SF 04:05PM ET",4.9,"SF","MIN",NA,0,NA,NA,"x","x",NA
"C","Kurt Suzuki",2900,"NYM@ATL 01:10PM ET",5.862,"ATL","NYM",5.63,0,1.48,NA,"x","x",0
"2B","Micah Johnson",2900,"NYM@ATL 01:10PM ET",0,"ATL","NYM",NA,0,NA,NA,"x","x",NA
"SS","Gavin Cecchini",2900,"NYM@ATL 01:10PM ET",0,"NYM","ATL",NA,0,NA,NA,"x","x",NA
"OF/SS","Alexi Amarista",2800,"COL@CHC 02:20PM ET",4.806,"COL","CHC",NA,9.1,1.66,NA,"x","6",3
"2B/3B","Tommy La Stella",2800,"COL@CHC 02:20PM ET",3.412,"CHC","COL",NA,0,NA,NA,"x","x",NA
"C","Andrew Knapp",2800,"PHI@STL 02:15PM ET",5.583,"PHI","STL",4.65,0,1.29,NA,"x","x",NA
"OF","Ichiro Suzuki",2800,"MIA@PIT 04:05PM ET",1.7,"MIA","PIT",NA,0,1.56,NA,"x","x",NA
"C","Tomas Telis",2800,"MIA@PIT 04:05PM ET",0,"MIA","PIT",NA,0,1.43,NA,"x","x",NA
"1B/3B","Luis Valbuena",2800,"LAA@HOU 04:10PM ET",4.688,"LAA","HOU",NA,NA,NA,NA,"4","x",NA
"OF","Norichika Aoki",2800,"LAA@HOU 04:10PM ET",4.488,"HOU","LAA",NA,NA,NA,NA,"9","x",NA
"OF","Alex Gordon",2800,"KC@SD 04:10PM ET",4.208,"KC","SD",5.37,5.9,5.75,NA,"7","8",14
"SS","Chase d'Arnaud",2800,"KC@SD 04:10PM ET",3.16,"SD","KC",NA,NA,NA,NA,"8","x",NA
"OF","Terrance Gore",2800,"KC@SD 04:10PM ET",0,"KC","SD",NA,0,NA,NA,"x","x",NA
"2B/SS","Kelby Tomlinson",2800,"MIN@SF 04:05PM ET",2,"SF","MIN",NA,0,1.46,NA,"x","x",NA
"2B/SS","Matt Reynolds",2800,"NYM@ATL 01:10PM ET",1.842,"NYM","ATL",NA,0,1.57,NA,"x","x",NA
"C","Kevin Plawecki",2800,"NYM@ATL 01:10PM ET",2.7,"NYM","ATL",NA,0,NA,NA,"x","x",NA
