"Place_lo","Place_hi","Payout"
"1","1","25000"
"2","2","15000"
"3","3","10000"
"4","4","5000"
"5","5","3000"
"6","6","2000"
"7","8","1500"
"9","10","1000"
"11","15","750"
"16","20","500"
"21","30","400"
"31","45","350"
"46","60","300"
"61","80","250"
"81","100","200"
"101","150","150"
"151","200","100"
"201","275","70"
"276","375","50"
"376","500","40"
"501","700","30"
"701","900","25"
"901","1400","20"
"1401","2500","15"
"2501","5000","12"
"5001","9675","10"
"9676","17675","8"
