Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Sck,Int,FF,FR,Fantasy Points
1,16263,Allen Robinson,WR,13,JAX,TEN,0,0,0,0,0,10,153,3,0,0,0,0,46.30
2,16763,Marcus Mariota,QB,13,TEN,JAX,268,3,1,112,1,0,0,0,0,0,0,0,40.92
3,11056,Antonio Brown,WR,13,PIT,IND,0,0,0,0,0,8,118,2,0,0,0,0,40.80
4,13320,Cam Newton,QB,13,CAR,NO,331,5,1,49,0,0,0,0,0,0,0,0,40.14
5,16886,Javorius Allen,RB,13,BAL,MIA,0,0,0,63,0,12,107,1,0,0,0,0,38
6,4314,Tom Brady,QB,13,NE,PHI,312,3,2,17,1,1,36,0,0,0,0,0,37.78
7,3807,Ben Roethlisberger,QB,13,PIT,IND,364,4,0,13,0,0,0,0,0,0,0,0,36.86
8,16245,Blake Bortles,QB,13,JAX,TEN,322,5,0,-1,0,0,0,0,0,0,0,0,35.78
9,11667,Brandon Marshall,WR,13,NYJ,NYG,0,0,0,0,0,12,131,1,0,0,0,0,34.10
10,14536,Russell Wilson,QB,13,SEA,MIN,274,3,0,51,1,0,0,0,0,0,0,0,34.06
11,16491,Richard Rodgers,TE,13,GB,DET,0,0,0,0,0,8,146,1,0,0,0,0,31.60
12,16056,James White,RB,13,NE,PHI,0,0,0,4,0,10,115,1,0,0,0,0,30.90
13,16389,Odell Beckham Jr,WR,13,NYG,NYJ,0,0,0,0,0,6,149,1,0,0,0,0,29.90
14,8914,Jeremy Maclin,WR,13,KC,OAK,0,0,0,0,0,9,95,2,0,0,0,0,29.50
15,12831,Tyrod Taylor,QB,13,BUF,HOU,211,3,0,28,1,0,0,0,0,0,0,0,29.24
16,8283,Ryan Fitzpatrick,QB,13,NYJ,NYG,390,2,0,22,0,0,0,0,0,0,0,0,28.80
17,26,Philadelphia Eagles,DST,13,PHI,NE,0,0,0,0,0,0,0,0,4,2,0,0,27
18,12845,AJ Green,WR,13,CIN,CLE,0,0,0,0,0,5,128,1,0,0,0,0,26.80
19,2593,Aaron Rodgers,QB,13,GB,DET,273,2,1,27,1,0,0,0,0,0,0,0,26.62
20,13460,Doug Baldwin,WR,13,SEA,MIN,0,0,0,0,0,5,94,2,0,0,0,0,26.40
21,16801,Dorial Green-Beckham,WR,13,TEN,JAX,0,0,0,0,0,5,119,1,0,0,0,0,25.90
22,16568,Brandin Cooks,WR,13,NO,CAR,0,0,0,0,0,6,104,1,0,0,0,0,25.40
23,12982,Blaine Gabbert,QB,13,SF,CHI,196,1,0,75,1,0,0,0,0,0,0,0,25.34
24,2428,Carson Palmer,QB,13,ARI,LA,356,2,0,0,0,0,0,0,0,0,0,0,25.24
25,12109,Ted Ginn,WR,13,CAR,NO,0,0,0,0,0,5,80,2,0,0,0,0,25
26,12800,Bilal Powell,RB,13,NYJ,NYG,0,0,0,17,0,8,91,1,0,0,0,0,24.80
27,6739,Alex Smith,QB,13,KC,OAK,162,2,0,23,1,0,0,0,0,0,0,0,24.78
28,16146,Martavis Bryant,WR,13,PIT,IND,0,0,0,0,0,4,114,1,0,0,0,0,24.40
29,8358,Brian Hoyer,QB,13,HOU,BUF,293,3,1,15,0,0,0,0,0,0,0,0,24.22
30,12841,Andy Dalton,QB,13,CIN,CLE,220,2,0,11,1,0,0,0,0,0,0,0,23.90
31,1658,Greg Olsen,TE,13,CAR,NO,0,0,0,0,0,9,129,0,0,0,0,0,23.90
32,16797,TJ Yeldon,RB,13,JAX,TEN,0,0,0,57,1,4,79,0,0,0,0,0,23.60
33,7580,DeAngelo Williams,RB,13,PIT,IND,0,0,0,134,0,5,31,0,0,0,0,0,23.50
34,7242,Drew Brees,QB,13,NO,CAR,282,3,1,12,0,0,0,0,0,0,0,0,23.48
35,2699,Matt Forte,RB,13,CHI,SF,0,0,0,84,1,5,39,0,0,0,0,0,23.30
36,17050,Thomas Rawls,RB,13,SEA,MIN,0,0,0,101,1,3,22,0,0,0,0,0,23.30
37,7175,Delanie Walker,TE,13,TEN,JAX,0,0,0,0,0,8,92,1,0,0,0,0,23.20
38,49,Denver Broncos,DST,13,DEN,SD,0,0,0,0,0,0,0,0,4,1,4,2,23
