"Place_lo","Place_hi","Payout"
"1","1","5000"
"2","2","3000"
"3","3","2000"
"4","4","1000"
"5","5","750"
"6","6","500"
"7","8","400"
"9","10","300"
"11","15","200"
"16","25","150"
"26","45","100"
"46","80","80"
"81","130","60"
"131","200","50"
"201","325","40"
"326","550","30"
"551","865","25"
"866","1300","20"
"1301","2015","15"
"2016","3140","12"
