"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs","Projection_dfn_floor","Projection_dfn_ceiling","Actual","Week14","FreqInd"
"RB","David Johnson (7941961)","David Johnson",7941961,10100,"NO@Ari 04:05PM ET","Ari","David","Johnson","NO",25.68,22.6,2,0.194192377495463,"Johnson, David",73,107,4,2,2,18.8,36.1,26.8,18.1,1
"RB","Le'Veon Bell (7941994)","Le'Veon Bell",7941994,9800,"Pit@Cin 01:00PM ET","Pit","Le'Veon","Bell","Cin",26.44,29.4,NA,NA,"Bell, Le'Veon",NA,NA,NA,NA,NA,17.2,40.1,18.1,54.8,1
"RB","LeSean McCoy (7941911)","LeSean McCoy",7941911,8900,"Cle@Buf 01:00PM ET","Buf","LeSean","McCoy","Cle",20.4,22.1,4,0.130208333333333,"McCoy, LeSean",43,50,1,2,3,11.1,31.2,34.9,22.8,1
"WR","Antonio Brown (7942140)","Antonio Brown",7942140,8400,"Pit@Cin 01:00PM ET","Pit","Antonio","Brown","Cin",20.66,21.3,1,0.288577154308617,"Brown, Antonio",95,144,11,1,1,12.3,31.5,8.8,12.8,1
"WR","Mike Evans (7942019)","Mike Evans",7942019,8300,"TB@Dal 08:30PM ET","TB","Mike","Evans","Dal",20.21,20.4,1,0.314465408805031,"Evans, Mike",84,150,10,1,1,9.7,31.2,9.9,8.2,1
"RB","Ezekiel Elliott (7941896)","Ezekiel Elliott",7941896,8200,"TB@Dal 08:30PM ET","Dal","Ezekiel","Elliott","TB",19.68,20.2,5,0.0888888888888889,"Elliott, Ezekiel",28,36,1,5,6,13.9,31.4,30.8,13.7,1
"WR","Julio Jones (7942105)","Julio Jones",7942105,8100,"SF@Atl 04:05PM ET","Atl","Julio","Jones","SF",19.75,20.5,1,0.253863134657837,"Jones, Julio",74,115,5,1,1,6.6,34.7,0,NA,1
"WR","Odell Beckham Jr. (7942076)","Odell Beckham Jr.",7942076,8000,"Det@NYG 01:00PM ET","NYG","Odell","Beckham","Det",20.98,19,1,0.292338709677419,"Beckham, Odell",82,145,9,1,1,9.3,29.4,19.3,NA,NA
"WR","A.J. Green (7942141)","A.J. Green",7942141,7400,"Pit@Cin 01:00PM ET","Cin","A.J.","Green","Pit",18.05,20.3,1,0.227368421052632,"Green, A.J.",68,108,4,1,3,6.5,33.2,0,NA,1
"WR","Jordy Nelson (7941998)","Jordy Nelson",7941998,7300,"GB@Chi 01:00PM ET","GB","Jordy","Nelson","Chi",18.74,17.1,1,0.252390057361377,"Nelson, Jordy",78,132,12,1,1,10.1,27.8,22.4,22.1,1
"QB","Matt Ryan (7941859)","Matt Ryan",7941859,7300,"SF@Atl 04:05PM ET","Atl","Matt","Ryan","SF",21.64,21.7,NA,NA,"Ryan, Matt",NA,NA,NA,NA,NA,15.4,31.1,19.3,21.5,1
"WR","T.Y. Hilton (7942081)","T.Y. Hilton",7942081,7200,"Ind@Min 01:00PM ET","Ind","T.Y.","Hilton","Min",16.87,19,1,0.277327935222672,"Hilton, T.Y.",82,137,7,1,1,8.1,30.2,7.5,29.5,1
"QB","Aaron Rodgers (7941812)","Aaron Rodgers",7941812,7100,"GB@Chi 01:00PM ET","GB","Aaron","Rodgers","Chi",21.75,19.6,NA,NA,"Rodgers, Aaron",NA,NA,NA,NA,NA,18.3,30.9,12,21.2,1
"WR","Amari Cooper (7942135)","Amari Cooper",7942135,7100,"Oak@SD 04:25PM ET","Oak","Amari","Cooper","SD",14.41,16,2,0.24236641221374,"Cooper, Amari",76,127,4,1,2,6.3,26.6,3.8,7.9,1
"WR","Larry Fitzgerald (7942089)","Larry Fitzgerald",7942089,7000,"NO@Ari 04:05PM ET","Ari","Larry","Fitzgerald","NO",15.58,18.6,1,0.252268602540835,"Fitzgerald, Larry",95,139,6,1,1,9,24,11.7,4.2,1
"RB","DeMarco Murray (7941927)","DeMarco Murray",7941927,6900,"Ten@KC 01:00PM ET","Ten","DeMarco","Murray","KC",18.49,19.6,4,0.134615384615385,"Murray, DeMarco",45,56,3,3,3,15.8,27.3,19.1,15.2,1
"WR","Dez Bryant (7942012)","Dez Bryant",7942012,6800,"TB@Dal 08:30PM ET","Dal","Dez","Bryant","TB",15.92,15.8,3,0.197530864197531,"Bryant, Dez",38,80,7,3,1,4.6,24.7,16.2,1,0
"RB","Devonta Freeman (7941969)","Devonta Freeman",7941969,6700,"SF@Atl 04:05PM ET","Atl","Devonta","Freeman","SF",17.25,19.5,3,0.114790286975717,"Freeman, Devonta",41,52,2,3,6,7.3,24.7,37.5,3.8,1
"QB","Tom Brady (7941864)","Tom Brady",7941864,6700,"NE@Den 04:25PM ET","NE","Tom","Brady","Den",19.57,16.6,NA,NA,"Brady, Tom",NA,NA,NA,NA,NA,17,32.3,7.4,30.1,1
"QB","Drew Brees (7941855)","Drew Brees",7941855,6600,"NO@Ari 04:05PM ET","NO","Drew","Brees","Ari",19.47,18,NA,NA,"Brees, Drew",NA,NA,NA,NA,NA,13.9,33.5,33.4,7.5,1
"WR","Emmanuel Sanders (7942117)","Emmanuel Sanders",7942117,6600,"NE@Den 04:25PM ET","Den","Emmanuel","Sanders","NE",15.14,15.3,2,0.283549783549784,"Sanders, Emmanuel",75,131,5,2,1,5.8,26.5,7.8,30,1
"QB","Ben Roethlisberger (7941874)","Ben Roethlisberger",7941874,6600,"Pit@Cin 01:00PM ET","Pit","Ben","Roethlisberger","Cin",18.36,17.9,NA,NA,"Roethlisberger, Ben",NA,NA,NA,NA,NA,10,30.5,14.9,5.6,1
"QB","Marcus Mariota (7941843)","Marcus Mariota",7941843,6500,"Ten@KC 01:00PM ET","Ten","Marcus","Mariota","KC",19.26,17.2,13,0.00240384615384615,"Mariota, Marcus",0,1,0,14,10,11.7,28.6,7.4,7.3,1
"WR","Golden Tate (7942072)","Golden Tate",7942072,6500,"Det@NYG 01:00PM ET","Det","Golden","Tate","NYG",13.59,14.2,1,0.22964509394572,"Tate, Golden",71,110,4,1,3,3.4,23.9,23.2,11.7,1
"RB","Melvin Gordon (7941986)","Melvin Gordon",7941986,6500,"Oak@SD 04:25PM ET","SD","Melvin","Gordon","Oak",0,0,5,0.12691466083151,"Gordon, Melvin",42,58,2,3,6,9.8,30.4,0,0.5,1
"QB","Andrew Luck (7941853)","Andrew Luck",7941853,6400,"Ind@Min 01:00PM ET","Ind","Andrew","Luck","Min",19.58,19,NA,NA,"Luck, Andrew",NA,NA,NA,NA,NA,15.2,30.1,18.8,19.2,1
"WR","Michael Thomas (7942098)","Michael Thomas",7942098,6400,"NO@Ari 04:05PM ET","NO","Michael","Thomas","Ari",13.69,13.8,2,0.171903881700555,"Thomas, Michael",71,93,7,1,1,8,25,18.2,NA,1
"QB","Matthew Stafford (7941847)","Matthew Stafford",7941847,6300,"Det@NYG 01:00PM ET","Det","Matthew","Stafford","NYG",17.7,18.3,NA,NA,"Stafford, Matthew",NA,NA,NA,NA,NA,12.7,26.5,11.2,18.4,1
"WR","Demaryius Thomas (7942119)","Demaryius Thomas",7942119,6300,"NE@Den 04:25PM ET","Den","Demaryius","Thomas","NE",15.93,16.5,1,0.285714285714286,"Thomas, Demaryius",79,132,5,1,1,9.7,21.7,16.1,25.6,1
"QB","Derek Carr (7941872)","Derek Carr",7941872,6300,"Oak@SD 04:25PM ET","Oak","Derek","Carr","SD",19.19,18.3,NA,NA,"Carr, Derek",NA,NA,NA,NA,NA,10.2,29,12,5,1
"QB","Dak Prescott (7941820)","Dak Prescott",7941820,6200,"TB@Dal 08:30PM ET","Dal","Dak","Prescott","TB",18.27,18,NA,NA,"Prescott, Dak",NA,NA,NA,NA,NA,13.4,25.9,19.2,8.7,1
"WR","Stefon Diggs (7942085)","Stefon Diggs",7942085,6200,"Ind@Min 01:00PM ET","Min","Stefon","Diggs","Ind",16.03,15.8,1,0.220806794055202,"Diggs, Stefon",80,104,2,1,3,6.4,27.5,3.3,8.5,1
"WR","Brandin Cooks (7942095)","Brandin Cooks",7942095,6200,"NO@Ari 04:05PM ET","NO","Brandin","Cooks","Ari",11.7,13.5,1,0.177449168207024,"Cooks, Brandin",65,96,7,2,1,6.5,26,40.6,11.1,1
"QB","Philip Rivers (7941870)","Philip Rivers",7941870,6200,"Oak@SD 04:25PM ET","SD","Philip","Rivers","Oak",17.89,18.6,NA,NA,"Rivers, Philip",NA,NA,NA,NA,NA,13.4,24.7,15.2,12.4,1
"WR","Davante Adams (7942007)","Davante Adams",7942007,6100,"GB@Chi 01:00PM ET","GB","Davante","Adams","Chi",13.51,12.1,2,0.198852772466539,"Adams, Davante",65,104,9,2,2,5.4,28.1,4.5,23.4,1
"QB","Jameis Winston (7941821)","Jameis Winston",7941821,6100,"TB@Dal 08:30PM ET","TB","Jameis","Winston","Dal",17.87,17.2,NA,NA,"Winston, Jameis",NA,NA,NA,NA,NA,12.5,25.1,14.5,9,1
"WR","Julian Edelman (7942118)","Julian Edelman",7942118,6100,"NE@Den 04:25PM ET","NE","Julian","Edelman","Den",14.38,14.1,1,0.273858921161826,"Edelman, Julian",83,132,2,1,7,8.1,19,13.5,14.3,1
"RB","Jordan Howard (7941887)","Jordan Howard",7941887,6000,"GB@Chi 01:00PM ET","Chi","Jordan","Howard","GB",13.09,13.5,4,0.0978723404255319,"Howard, Jordan",26,46,1,5,4,6.4,26.5,21.3,13,1
"WR","Alshon Jeffery (7942002)","Alshon Jeffery",7942002,6000,"GB@Chi 01:00PM ET","Chi","Alshon","Jeffery","GB",12.72,15.5,1,0.157446808510638,"Jeffery, Alshon",41,74,1,3,4,8.3,16.6,20.9,NA,1
"QB","Carson Palmer (7941856)","Carson Palmer",7941856,6000,"NO@Ari 04:05PM ET","Ari","Carson","Palmer","NO",18.81,19.1,NA,NA,"Palmer, Carson",NA,NA,NA,NA,NA,11.8,24.7,23.7,13.3,1
"WR","Sammy Watkins (7942041)","Sammy Watkins",7942041,5900,"Cle@Buf 01:00PM ET","Buf","Sammy","Watkins","Cle",12.26,13.5,5,0.0729166666666667,"Watkins, Sammy",15,28,1,5,3,4.8,13.4,2,15.4,0
"TE","Travis Kelce (7942185)","Travis Kelce",7942185,5900,"Ten@KC 01:00PM ET","KC","Travis","Kelce","Ten",17.79,12.7,1,0.223684210526316,"Kelce, Travis",70,102,3,1,2,7.8,22.4,7.1,18.1,1
"RB","Carlos Hyde (7941967)","Carlos Hyde",7941967,5900,"SF@Atl 04:05PM ET","SF","Carlos","Hyde","Atl",12.84,14.1,6,0.0673316708229426,"Hyde, Carlos",23,27,2,4,4,6.7,25.9,7.7,30,1
"WR","Michael Crabtree (7942127)","Michael Crabtree",7942127,5900,"Oak@SD 04:25PM ET","Oak","Michael","Crabtree","SD",13.58,15.1,1,0.244274809160305,"Crabtree, Michael",75,128,8,2,1,6.4,25.1,18,6.1,1
"QB","Colin Kaepernick (7941861)","Colin Kaepernick",7941861,5800,"SF@Atl 04:05PM ET","SF","Colin","Kaepernick","Atl",18.79,19,NA,NA,"Kaepernick, Colin",NA,NA,NA,NA,NA,9,29.9,17.4,11.6,1
"RB","Latavius Murray (7941982)","Latavius Murray",7941982,5800,"Oak@SD 04:25PM ET","Oak","Latavius","Murray","SD",14.72,12.7,5,0.0782442748091603,"Murray, Latavius",30,41,1,4,6,9.6,25.9,9.2,19.3,1
"WR","Tyrell Williams (7942134)","Tyrell Williams",7942134,5800,"Oak@SD 04:25PM ET","SD","Tyrell","Williams","Oak",14.37,14.1,1,0.192560175054705,"Williams, Tyrell",57,88,6,1,1,6.7,22.6,6,8.8,1
"QB","Tyrod Taylor (7941829)","Tyrod Taylor",7941829,5700,"Cle@Buf 01:00PM ET","Buf","Tyrod","Taylor","Cle",18.84,18.3,NA,NA,"Taylor, Tyrod",NA,NA,NA,NA,NA,11.8,23.9,15.9,16.3,1
"QB","Joe Flacco (7941835)","Joe Flacco",7941835,5700,"Phi@Bal 01:00PM ET","Bal","Joe","Flacco","Phi",17.88,15.3,NA,NA,"Flacco, Joe",NA,NA,NA,NA,NA,11.2,24.6,14.1,23.1,1
"RB","Spencer Ware (7941930)","Spencer Ware",7941930,5700,"Ten@KC 01:00PM ET","KC","Spencer","Ware","Ten",12.78,13.9,6,0.081140350877193,"Ware, Spencer",29,37,2,5,3,5.9,24.2,12.5,7.3,1
"WR","Tyreek Hill (7942067)","Tyreek Hill",7942067,5700,"Ten@KC 01:00PM ET","KC","Tyreek","Hill","Ten",14.23,14.4,2,0.151315789473684,"Hill, Tyreek",57,69,6,2,1,4.4,22.2,12.8,23.8,1
"QB","Eli Manning (7941845)","Eli Manning",7941845,5600,"Det@NYG 01:00PM ET","NYG","Eli","Manning","Det",18.25,17,NA,NA,"Manning, Eli",NA,NA,NA,NA,NA,10.2,22.8,16,8.5,1
