"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Max Scherzer",13400,"Was@Atl 07:35PM ET",27.817,"Was",NA,NA,NA,NA,NA
"SP","Noah Syndergaard",11800,"Phi@NYM 07:10PM ET",24.383,"NYM",29.01,NA,24.669,21.7,25
"SP","Stephen Strasburg",11100,"Was@Atl 07:35PM ET",20.883,"Was",25.5,NA,20.799,18.1,30.9
"SP","Vince Velasquez",9900,"Phi@NYM 07:10PM ET",10.717,"Phi",NA,NA,NA,NA,NA
"SP","Jacob deGrom",9900,"Phi@NYM 07:10PM ET",17.288,"NYM",NA,NA,NA,NA,NA
"SP","Yu Darvish",9800,"KC@Tex 08:05PM ET",17.675,"Tex",NA,NA,NA,NA,NA
"SP","Felix Hernandez",9600,"Sea@Oak 10:05PM ET",15.475,"Sea",NA,NA,NA,NA,NA
"SP","James Paxton",9600,"Sea@Oak 10:05PM ET",30.683,"Sea",21.36,NA,16.747,15.9,9.8
"SP","Steven Matz",9300,"Phi@NYM 07:10PM ET",0,"NYM",NA,NA,NA,NA,NA
"SP","Jerad Eickhoff",9100,"Phi@NYM 07:10PM ET",18.35,"Phi",NA,NA,NA,NA,NA
"SP","Carlos Martinez",9000,"StL@Mil 08:10PM ET",19.183,"StL",20.36,NA,20.623,17.3,9.8
"SP","Cole Hamels",8700,"KC@Tex 08:05PM ET",11.167,"Tex",NA,NA,NA,NA,NA
"SP","Zack Greinke",8700,"Ari@SD 09:10PM ET",16.5,"Ari",NA,NA,NA,NA,NA
"SP","Robbie Ray",8700,"Ari@SD 09:10PM ET",24.017,"Ari",NA,NA,NA,NA,NA
"SP","Tanner Roark",8700,"Was@Atl 07:35PM ET",15.9,"Was",NA,NA,NA,NA,NA
"SP","Aaron Nola",8500,"Phi@NYM 07:10PM ET",18.875,"Phi",18.12,NA,15.937,12.6,4.7
"SP","Julio Teheran",8500,"Was@Atl 07:35PM ET",13.188,"Atl",NA,NA,NA,NA,NA
"SP","Jeremy Hellickson",8300,"Phi@NYM 07:10PM ET",13.75,"Phi",NA,NA,NA,NA,NA
"SP","Taijuan Walker",8300,"Ari@SD 09:10PM ET",16.067,"Ari",NA,NA,NA,NA,NA
"SP","Danny Duffy",8200,"KC@Tex 08:05PM ET",21.933,"KC",21.94,NA,17.032,15.4,22.3
"SP","Drew Smyly",8000,"Sea@Oak 10:05PM ET",0,"Sea",NA,NA,NA,NA,NA
"SP","Gio Gonzalez",8000,"Was@Atl 07:35PM ET",19.783,"Was",NA,NA,NA,NA,NA
"SP","Hisashi Iwakuma",7900,"Sea@Oak 10:05PM ET",5.25,"Sea",NA,NA,NA,NA,NA
"SP","Matt Harvey",7900,"Phi@NYM 07:10PM ET",14.613,"NYM",NA,NA,NA,NA,NA
"SP","Anthony DeSclafani",7900,"Bal@Cin 07:10PM ET",0,"Cin",NA,NA,NA,NA,NA
"SP","Jharel Cotton",7800,"Sea@Oak 10:05PM ET",11.033,"Oak",NA,NA,NA,NA,NA
"SP","Sean Manaea",7700,"Sea@Oak 10:05PM ET",14.717,"Oak",NA,NA,NA,NA,NA
