"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,14100,25.177304964539,35.5,"Chris Sale","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,8,1,0,1,4,1,0
2,1,2900,110.344827586207,32,"Chris Gimenez","MIN",NA,"C",7,2,2,4,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,4500,67,30.15,"Nick Pivetta","PHI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,7,0,0,0,4,2,0
4,2,4800,62.5,30,"Edwin Encarnacion","CLE",NA,"1B",4,4,1,1,0,3,2,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,5400,50,27,"Nolan Arenado","COL",NA,"3B",3,2,0,4,0,5,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,4,3900,69.2307692307692,27,"Jed Lowrie","OAK",NA,"2B",3,1,1,1,0,5,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,3,8800,30,26.4,"Jose Berrios","MIN",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,8,0,0,2,5,1,0
8,5,4900,53.0612244897959,26,"Gary Sanchez","NYY",NA,"C",5,1,0,2,1,3,2,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6,3500,74.2857142857143,26,"Brandon Crawford","SF",NA,"SS",6,1,1,3,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,7,3700,67.5675675675676,25,"Lonnie Chisenhall","CLE",NA,"OF",6,1,1,5,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,8,4800,50,24,"Buster Posey","SF",NA,"C/1B",4,1,1,2,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,9,4500,53.3333333333333,24,"Starlin Castro","NYY",NA,"2B",4,3,0,1,1,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,10,2900,82.7586206896552,24,"Alex Gordon","KC",NA,"OF",9,2,1,1,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,11,3400,67.6470588235294,23,"Miguel Cabrera","DET",NA,"1B",3,2,1,2,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,4,9000,25.2777777777778,22.75,"Gio Gonzalez","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,7,0,0,2,5,0,0
16,12,3700,59.4594594594595,22,"Eduardo Escobar","MIN",NA,"SS/3B",2,1,1,2,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,13,4000,52.5,21,"Eric Thames","MIL",NA,"1B/OF",2,1,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,14,4400,47.7272727272727,21,"Chris Taylor","LAD",NA,"2B/OF",1,1,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
