"Rank","TRank","Price","Ratio","Value","Name","Team","Game","Pos","Order","R","HR","RBI","SB","AB","1B","2B","3B","BB","HBP","CS","W","SO","IP","CG","SHO","ER","H","BB__1","HBP__1"
1,1,4900,108.163265306122,53,"Corey Seager","LAD",NA,"SS",2,3,3,6,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,3900,107.692307692308,42,"Manny Machado","BAL",NA,"3B",2,3,2,4,0,4,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,13200,25.5681818181818,33.75,"Chris Sale","BOS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,8.33333333333333,0,0,3,4,1,0
4,3,3900,84.6153846153846,33,"Jose Abreu","CHW",NA,"1B",3,2,1,2,0,5,1,2,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,3700,83.7837837837838,31,"Ian Kinsler","DET",NA,"2B",1,2,1,1,2,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,5,4300,65.1162790697674,28,"Andrew McCutchen","PIT",NA,"OF",6,2,1,3,0,3,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,6,3700,70.2702702702703,26,"Cameron Maybin","LAA",NA,"OF",1,2,1,2,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,7,3900,66.6666666666667,26,"Avisail Garcia","CHW",NA,"OF",5,2,1,2,0,4,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,8,4600,54.3478260869565,25,"Daniel Murphy","WAS",NA,"2B",5,2,1,2,0,3,1,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2,9600,25.3645833333333,24.35,"Gio Gonzalez","WAS",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,7,0,0,3,6,2,1
11,9,4500,53.3333333333333,24,"Ben Gamel","SEA",NA,"OF",1,2,1,1,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,10,2500,92,23,"Alex Bregman","HOU",NA,"3B",8,1,0,2,1,3,1,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,11,4200,54.7619047619048,23,"Miguel Sano","MIN",NA,"3B",3,2,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,12,3400,67.6470588235294,23,"Nick Franklin","LAA",NA,"OF",6,1,1,2,0,3,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,13,2900,75.8620689655172,22,"Yasmani Grandal","LAD",NA,"C",6,2,1,1,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,3,6400,34.21875,21.9,"Brandon McCarthy","LAD",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,0,0,0,4,1,1
17,4,7100,30.6338028169014,21.75,"Alex Cobb","TB",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,0,0,2,8,2,0
18,14,4700,44.6808510638298,21,"Edwin Encarnacion","CLE",NA,"1B",4,1,1,2,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,15,4600,45.6521739130435,21,"Corey Dickerson","TB",NA,"OF",2,2,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,16,3800,55.2631578947368,21,"Carlos Beltran","HOU",NA,"OF",6,2,1,1,0,4,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,17,4200,50,21,"Michael Taylor","WAS",NA,"OF",8,2,0,0,2,4,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,18,4300,48.8372093023256,21,"Marcell Ozuna","MIA",NA,"OF",4,2,1,2,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,5,5300,39.5283018867924,20.95,"Matt Moore","SF",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,7,0,0,3,7,1,0
24,19,2300,86.9565217391304,20,"Johan Camargo","ATL",NA,"3B",8,1,0,1,0,4,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,6,10600,18.8207547169811,19.95,"Michael Pineda","NYY",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,5.66666666666667,0,0,1,7,1,0
26,20,4600,41.304347826087,19,"Matt Davidson","CHW",NA,"1B/3B",6,1,1,1,0,5,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,21,4300,44.1860465116279,19,"Thomas Pham","STL",NA,"OF",7,1,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,22,3300,57.5757575757576,19,"Luis Valbuena","LAA",NA,"1B/3B",5,1,1,2,0,5,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,7,7700,24.025974025974,18.5,"Mike Leake","STL",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,6,0,0,1,3,2,0
30,8,5500,33.6363636363636,18.5,"Mike Montgomery","CHC",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,6,0,0,0,3,2,0
31,23,3900,46.1538461538462,18,"Adrian Beltre","TEX",NA,"3B",3,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,24,5800,31.0344827586207,18,"Paul Goldschmidt","ARI",NA,"1B",3,2,1,1,0,3,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,25,3300,54.5454545454545,18,"Jose Osuna","PIT",NA,"1B/OF",7,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,26,5200,34.6153846153846,18,"Cody Bellinger","LAD",NA,"1B/OF",4,1,1,2,0,3,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,27,4400,40.9090909090909,18,"Ryan Zimmerman","WAS",NA,"1B",4,2,0,3,0,5,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,28,3800,47.3684210526316,18,"Austin Slater","SF",NA,"OF",7,1,1,3,0,4,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,29,3600,50,18,"Kennys Vargas","MIN",NA,"1B",6,1,1,3,0,5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,30,2000,90,18,"Taylor Featherston","TB",NA,"2B",8,2,0,0,1,2,0,1,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,31,2200,81.8181818181818,18,"Tucker Barnhart","CIN",NA,"C",8,0,0,1,0,4,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,9,5900,29.8305084745763,17.6,"Jordan Zimmermann","DET",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,6.66666666666667,0,0,3,6,3,0
41,10,4800,35.9375,17.25,"Nick Martinez","TEX",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,6.33333333333333,0,0,1,2,3,0
42,11,4700,36.7021276595745,17.25,"Chad Kuhl","PIT",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,5,0,0,2,7,2,1
43,12,8600,19.8837209302326,17.1,"Zack Greinke","ARI",NA,"SP",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7.33333333333333,0,0,4,9,0,0
44,32,3900,43.5897435897436,17,"Jonathan Schoop","BAL",NA,"2B",6,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,33,3600,47.2222222222222,17,"Carlos Gonzalez","COL",NA,"OF",5,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,34,2800,60.7142857142857,17,"Stephen Drew","WAS",NA,"SS/3B",6,0,0,3,0,5,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,35,2500,68,17,"Taylor Motter","SEA",NA,"2B/SS",9,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,36,3700,45.9459459459459,17,"Adam Duvall","CIN",NA,"OF",4,2,0,0,0,5,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,37,4500,37.7777777777778,17,"J.D. Martinez","ARI",NA,"OF",4,1,1,1,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
