"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg"
"RB","Le'Veon Bell (8045550)","Le'Veon Bell",8045550,10300,"Mia@Pit 01:05PM ET","Pit","Le'Veon","Bell","Mia",26.62,26.3,2,0.159016393442623
"WR","Antonio Brown (8045586)","Antonio Brown",8045586,9400,"Mia@Pit 01:05PM ET","Pit","Antonio","Brown","Mia",20.86,20.6,1,0.268852459016393
"WR","Odell Beckham Jr. (8045602)","Odell Beckham Jr.",8045602,9100,"NYG@GB 04:40PM ET","NYG","Odell","Beckham","GB",21.74,20.9,1,0.293637846655791
"WR","Jordy Nelson (8045597)","Jordy Nelson",8045597,8000,"NYG@GB 04:40PM ET","GB","Jordy","Nelson","NYG",19.04,21.1,1,0.252365930599369
"QB","Aaron Rodgers (8045522)","Aaron Rodgers",8045522,7900,"NYG@GB 04:40PM ET","GB","Aaron","Rodgers","NYG",23.37,22.4,0,0
"QB","Ben Roethlisberger (8045517)","Ben Roethlisberger",8045517,7600,"Mia@Pit 01:05PM ET","Pit","Ben","Roethlisberger","Mia",20.33,18,0,0
"QB","Russell Wilson (8045513)","Russell Wilson",8045513,7000,"Det@Sea 08:15PM ET","Sea","Russell","Wilson","Det",19.01,19.4,15,0.00375234521575985
"WR","Doug Baldwin (8045576)","Doug Baldwin",8045576,7000,"Det@Sea 08:15PM ET","Sea","Doug","Baldwin","Det",16.14,16.9,1,0.24953095684803
"RB","Jay Ajayi (8045552)","Jay Ajayi",8045552,6800,"Mia@Pit 01:05PM ET","Mia","Jay","Ajayi","Pit",13.38,14.2,4,0.0805084745762712
"WR","DeAndre Hopkins (8045568)","DeAndre Hopkins",8045568,6700,"Oak@Hou 04:35PM ET","Hou","DeAndre","Hopkins","Oak",14.15,12.4,1,0.268456375838926
"WR","Golden Tate (8045577)","Golden Tate",8045577,6300,"Det@Sea 08:15PM ET","Det","Golden","Tate","Sea",13.47,13.6,1,0.233830845771144
"RB","Lamar Miller (8045530)","Lamar Miller",8045530,6100,"Oak@Hou 04:35PM ET","Hou","Lamar","Miller","Oak",14.95,15.1,5,0.0671140939597315
"QB","Eli Manning (8045523)","Eli Manning",8045523,6100,"NYG@GB 04:40PM ET","NYG","Eli","Manning","GB",17.22,17.4,0,0
"QB","Derek Carr (8045507)","Derek Carr",8045507,5900,"Oak@Hou 04:35PM ET","Oak","Derek","Carr","Hou",0,0,0,0
"QB","Matthew Stafford (8045512)","Matthew Stafford",8045512,5700,"Det@Sea 08:15PM ET","Det","Matthew","Stafford","Sea",17.04,15.9,0,0
"RB","Thomas Rawls (8045543)","Thomas Rawls",8045543,5700,"Det@Sea 08:15PM ET","Sea","Thomas","Rawls","Det",11.35,7.6,8,0.0318949343339587
"RB","DeAngelo Williams (8045548)","DeAngelo Williams",8045548,5600,"Mia@Pit 01:05PM ET","Pit","DeAngelo","Williams","Mia",3.42,3.5,8,0.0442622950819672
"WR","Davante Adams (8045603)","Davante Adams",8045603,5600,"NYG@GB 04:40PM ET","GB","Davante","Adams","NYG",14.33,14.3,2,0.200315457413249
"RB","Ty Montgomery (8045561)","Ty Montgomery",8045561,5500,"NYG@GB 04:40PM ET","GB","Ty","Montgomery","NYG",12.09,13.7,4,0.0914826498422713
"WR","Michael Crabtree (8045565)","Michael Crabtree",8045565,5300,"Oak@Hou 04:35PM ET","Oak","Michael","Crabtree","Hou",11.65,12,1,0.250401284109149
"TE","Jimmy Graham (8045615)","Jimmy Graham",8045615,5300,"Det@Sea 08:15PM ET","Sea","Jimmy","Graham","Det",17.13,11.6,2,0.181988742964353
"QB","Tom Savage (8045509)","Tom Savage",8045509,5200,"Oak@Hou 04:35PM ET","Hou","Tom","Savage","Oak",0,0,0,0
"WR","Amari Cooper (8045569)","Amari Cooper",8045569,5200,"Oak@Hou 04:35PM ET","Oak","Amari","Cooper","Hou",12.59,12.7,2,0.234349919743178
"QB","Brock Osweiler (8045508)","Brock Osweiler",8045508,5100,"Oak@Hou 04:35PM ET","Hou","Brock","Osweiler","Oak",14.79,14.4,15,0.00167785234899329
"QB","Matt Moore (8045516)","Matt Moore",8045516,5100,"Mia@Pit 01:05PM ET","Mia","Matt","Moore","Pit",0,0,0,0
"WR","Jarvis Landry (8045589)","Jarvis Landry",8045589,5100,"Mia@Pit 01:05PM ET","Mia","Jarvis","Landry","Pit",14.87,14.5,1,0.283898305084746
"QB","Brandon Weeden (8045505)","Brandon Weeden",8045505,5000,"Oak@Hou 04:35PM ET","Hou","Brandon","Weeden","Oak",0,0,0,0
"QB","Matt McGloin (8045506)","Matt McGloin",8045506,5000,"Oak@Hou 04:35PM ET","Oak","Matt","McGloin","Hou",0,0,0,0
"QB","Connor Cook (8045510)","Connor Cook",8045510,5000,"Oak@Hou 04:35PM ET","Oak","Connor","Cook","Hou",14.13,12.3,0,0
"RB","Latavius Murray (8045529)","Latavius Murray",8045529,5000,"Oak@Hou 04:35PM ET","Oak","Latavius","Murray","Hou",11.11,9.6,5,0.0738362760834671
"QB","Dan Orlovsky (8045511)","Dan Orlovsky",8045511,5000,"Det@Sea 08:15PM ET","Det","Dan","Orlovsky","Sea",0,0,0,0
"QB","Trevone Boykin (8045514)","Trevone Boykin",8045514,5000,"Det@Sea 08:15PM ET","Sea","Trevone","Boykin","Det",0,0,0,0
"QB","Jake Rudock (8045515)","Jake Rudock",8045515,5000,"Det@Sea 08:15PM ET","Det","Jake","Rudock","Sea",0,0,0,0
"QB","T.J. Yates (8045518)","T.J. Yates",8045518,5000,"Mia@Pit 01:05PM ET","Mia","T.J.","Yates","Pit",0,0,0,0
"QB","Ryan Tannehill (8045519)","Ryan Tannehill",8045519,5000,"Mia@Pit 01:05PM ET","Mia","Ryan","Tannehill","Pit",0,15.8,0,0
"QB","Landry Jones (8045520)","Landry Jones",8045520,5000,"Mia@Pit 01:05PM ET","Pit","Landry","Jones","Mia",0,0,0,0
"QB","Zach Mettenberger (8045521)","Zach Mettenberger",8045521,5000,"Mia@Pit 01:05PM ET","Pit","Zach","Mettenberger","Mia",0,0,0,0
"QB","Josh Johnson (8045524)","Josh Johnson",8045524,5000,"NYG@GB 04:40PM ET","NYG","Josh","Johnson","GB",0,0,0,0
"QB","Brett Hundley (8045525)","Brett Hundley",8045525,5000,"NYG@GB 04:40PM ET","GB","Brett","Hundley","NYG",0,0,0,0
"QB","Joe Callahan (8045526)","Joe Callahan",8045526,5000,"NYG@GB 04:40PM ET","GB","Joe","Callahan","NYG",0,0,0,0
"WR","Sterling Shepard (8045605)","Sterling Shepard",8045605,4800,"NYG@GB 04:40PM ET","NYG","Sterling","Shepard","GB",12.1,11.9,2,0.174551386623165
"RB","C.J. Prosise (8045545)","C.J. Prosise",8045545,4600,"Det@Sea 08:15PM ET","Sea","C.J.","Prosise","Det",0,0,7,0.0375234521575985
"RB","Zach Zenner (8045541)","Zach Zenner",8045541,4500,"Det@Sea 08:15PM ET","Det","Zach","Zenner","Sea",9.67,13.9,0,0
"RB","Alex Collins (8045547)","Alex Collins",8045547,4500,"Det@Sea 08:15PM ET","Sea","Alex","Collins","Det",6.41,7.8,9,0.0206378986866792
"TE","Ladarius Green (8045623)","Ladarius Green",8045623,4500,"Mia@Pit 01:05PM ET","Pit","Ladarius","Green","Mia",10.39,10.2,6,0.0540983606557377
"WR","Will Fuller V (8045572)","Will Fuller V",8045572,4400,"Oak@Hou 04:35PM ET","Hou","Will","Fuller V","Oak",0,0,0,0
"RB","Alfred Blue (8045531)","Alfred Blue",8045531,4300,"Oak@Hou 04:35PM ET","Hou","Alfred","Blue","Oak",4.53,6.8,10,0.0285234899328859
"TE","C.J. Fiedorowicz (8045612)","C.J. Fiedorowicz",8045612,4200,"Oak@Hou 04:35PM ET","Hou","C.J.","Fiedorowicz","Oak",10.13,8.9,3,0.149328859060403
"WR","DeVante Parker (8045592)","DeVante Parker",8045592,4200,"Mia@Pit 01:05PM ET","Mia","DeVante","Parker","Pit",12.12,9.9,2,0.184322033898305
"RB","Rashad Jennings (8045555)","Rashad Jennings",8045555,4200,"NYG@GB 04:40PM ET","NYG","Rashad","Jennings","GB",9.83,10.8,5,0.0701468189233279
"WR","Marvin Jones Jr. (8045579)","Marvin Jones Jr.",8045579,4100,"Det@Sea 08:15PM ET","Det","Marvin","Jones","Sea",9.33,10.7,2,0.192371475953566
"RB","Aaron Ripkowski (8045562)","Aaron Ripkowski",8045562,4100,"NYG@GB 04:40PM ET","GB","Aaron","Ripkowski","NYG",5.69,5.4,0,0
"RB","Paul Perkins (8045564)","Paul Perkins",8045564,4100,"NYG@GB 04:40PM ET","NYG","Paul","Perkins","GB",10.08,6.9,7,0.0407830342577488
"WR","Anquan Boldin (8045574)","Anquan Boldin",8045574,4000,"Det@Sea 08:15PM ET","Det","Anquan","Boldin","Sea",9.26,9,3,0.164179104477612
"WR","Jermaine Kearse (8045578)","Jermaine Kearse",8045578,4000,"Det@Sea 08:15PM ET","Sea","Jermaine","Kearse","Det",9.36,10,3,0.168855534709193
"RB","Fitzgerald Toussaint (8045549)","Fitzgerald Toussaint",8045549,4000,"Mia@Pit 01:05PM ET","Pit","Fitzgerald","Toussaint","Mia",1.18,0,14,0.00491803278688525
"WR","Eli Rogers (8045594)","Eli Rogers",8045594,4000,"Mia@Pit 01:05PM ET","Pit","Eli","Rogers","Mia",9.25,8.6,3,0.10983606557377
"WR","Randall Cobb (8045601)","Randall Cobb",8045601,4000,"NYG@GB 04:40PM ET","GB","Randall","Cobb","NYG",9.49,8,3,0.140378548895899
"TE","Eric Ebron (8045619)","Eric Ebron",8045619,3900,"Det@Sea 08:15PM ET","Det","Eric","Ebron","Sea",9.74,10.7,4,0.144278606965174
"WR","Kenny Stills (8045588)","Kenny Stills",8045588,3800,"Mia@Pit 01:05PM ET","Mia","Kenny","Stills","Pit",10.93,11.5,3,0.167372881355932
"WR","Victor Cruz (8045598)","Victor Cruz",8045598,3800,"NYG@GB 04:40PM ET","NYG","Victor","Cruz","GB",6.76,7.3,3,0.119086460032626
"RB","Damien Williams (8045553)","Damien Williams",8045553,3600,"Mia@Pit 01:05PM ET","Mia","Damien","Williams","Pit",3.55,3.7,6,0.0677966101694915
"TE","Jared Cook (8045629)","Jared Cook",8045629,3600,"NYG@GB 04:40PM ET","GB","Jared","Cook","NYG",8.08,7.3,5,0.083596214511041
"RB","Jalen Richard (8045537)","Jalen Richard",8045537,3400,"Oak@Hou 04:35PM ET","Oak","Jalen","Richard","Hou",4.83,5.3,6,0.0642054574638844
"RB","Dwayne Washington (8045546)","Dwayne Washington",8045546,3400,"Det@Sea 08:15PM ET","Det","Dwayne","Washington","Sea",3.89,5.3,8,0.0248756218905473
"WR","Paul Richardson (8045581)","Paul Richardson",8045581,3400,"Det@Sea 08:15PM ET","Sea","Paul","Richardson","Det",8.43,8.1,5,0.0694183864915572
"RB","Christine Michael (8045560)","Christine Michael",8045560,3400,"NYG@GB 04:40PM ET","GB","Christine","Michael","NYG",4.42,3,13,0.00473186119873817
"RB","DeAndre Washington (8045535)","DeAndre Washington",8045535,3300,"Oak@Hou 04:35PM ET","Oak","DeAndre","Washington","Hou",8.52,6.7,9,0.0369181380417336
"RB","Akeem Hunt (8045536)","Akeem Hunt",8045536,3300,"Oak@Hou 04:35PM ET","Hou","Akeem","Hunt","Oak",0,2.3,14,0.00671140939597315
"WR","Geronimo Allison (8045607)","Geronimo Allison",8045607,3300,"NYG@GB 04:40PM ET","GB","Geronimo","Allison","NYG",8.06,5.4,8,0.0347003154574132
"RB","Taiwan Jones (8045527)","Taiwan Jones",8045527,3000,"Oak@Hou 04:35PM ET","Oak","Taiwan","Jones","Hou",0,0,12,0.00642054574638844
"RB","Jonathan Grimes (8045528)","Jonathan Grimes",8045528,3000,"Oak@Hou 04:35PM ET","Hou","Jonathan","Grimes","Oak",2.68,1,8,0.0318791946308725
