"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Actual","Projection_reg","Projection_reg_split"
"RB","David Johnson (7941961)","David Johnson",7941961,10100,"NO@Ari 04:05PM ET","Ari","David","Johnson","NO",25.68,22.6,2,0.194192377495463,0,23.1469825864627,23.9564652447547
"RB","Le'Veon Bell (7941994)","Le'Veon Bell",7941994,9800,"Pit@Cin 01:00PM ET","Pit","Le'Veon","Bell","Cin",26.44,29.4,2,0.166332665330661,0,27.0291969751518,27.9728504109917
"RB","LeSean McCoy (7941911)","LeSean McCoy",7941911,8900,"Cle@Buf 01:00PM ET","Buf","LeSean","McCoy","Cle",20.4,22.1,4,0.130208333333333,0,20.5501622802106,21.2677512072793
"WR","Antonio Brown (7942140)","Antonio Brown",7942140,8400,"Pit@Cin 01:00PM ET","Pit","Antonio","Brown","Cin",20.66,21.3,1,0.288577154308617,0,20.2480252348132,20.9553157703704
"WR","Mike Evans (7942019)","Mike Evans",7942019,8300,"TB@Dal 08:30PM ET","TB","Mike","Evans","Dal",20.21,20.4,1,0.314465408805031,0,19.5796086830384,20.2636549157201
"RB","Ezekiel Elliott (7941896)","Ezekiel Elliott",7941896,8200,"TB@Dal 08:30PM ET","Dal","Ezekiel","Elliott","TB",19.68,20.2,5,0.0888888888888889,0,19.2408220802168,19.9129511232458
"WR","Julio Jones (7942105)","Julio Jones",7942105,8100,"SF@Atl 04:05PM ET","Atl","Julio","Jones","SF",19.75,20.5,1,0.253863134657837,0,19.428232324672,20.1068533218663
"WR","Odell Beckham Jr. (7942076)","Odell Beckham Jr.",7942076,8000,"Det@NYG 01:00PM ET","NYG","Odell","Beckham","Det",20.98,19,1,0.292338709677419,0,19.1902377402547,19.8612078657896
"WR","A.J. Green (7942141)","A.J. Green",7942141,7400,"Pit@Cin 01:00PM ET","Cin","A.J.","Green","Pit",18.05,20.3,1,0.227368421052632,0,18.5717898571066,19.2201225177968
"WR","Jordy Nelson (7941998)","Jordy Nelson",7941998,7300,"GB@Chi 01:00PM ET","GB","Jordy","Nelson","Chi",18.74,17.1,1,0.252390057361377,0,17.2083873570039,17.8100308094273
"QB","Matt Ryan (7941859)","Matt Ryan",7941859,7300,"SF@Atl 04:05PM ET","Atl","Matt","Ryan","SF",21.64,21.7,0,0,0,20.8902031676535,21.6200719357228
"WR","T.Y. Hilton (7942081)","T.Y. Hilton",7942081,7200,"Ind@Min 01:00PM ET","Ind","T.Y.","Hilton","Min",16.87,19,1,0.277327935222672,0,17.3718056000009,17.9782411840324
"QB","Aaron Rodgers (7941812)","Aaron Rodgers",7941812,7100,"GB@Chi 01:00PM ET","GB","Aaron","Rodgers","Chi",21.75,19.6,0,0,0,19.8437960024889,20.5376421923511
"WR","Amari Cooper (7942135)","Amari Cooper",7942135,7100,"Oak@SD 04:25PM ET","Oak","Amari","Cooper","SD",14.41,16,2,0.24236641221374,0,14.7190071537821,15.2328879667098
"WR","Larry Fitzgerald (7942089)","Larry Fitzgerald",7942089,7000,"NO@Ari 04:05PM ET","Ari","Larry","Fitzgerald","NO",15.58,18.6,1,0.252268602540835,0,16.592470985049,17.1714607677445
"RB","DeMarco Murray (7941927)","DeMarco Murray",7941927,6900,"Ten@KC 01:00PM ET","Ten","DeMarco","Murray","KC",18.49,19.6,4,0.134615384615385,0,18.4014386357669,19.044096843804
"WR","Dez Bryant (7942012)","Dez Bryant",7942012,6800,"TB@Dal 08:30PM ET","Dal","Dez","Bryant","TB",15.92,15.8,3,0.197530864197531,0,15.2828000074368,15.8167953739398
"RB","Devonta Freeman (7941969)","Devonta Freeman",7941969,6700,"SF@Atl 04:05PM ET","Atl","Devonta","Freeman","SF",17.25,19.5,3,0.114790286975717,0,17.8006654470696,18.4220557712375
"QB","Tom Brady (7941864)","Tom Brady",7941864,6700,"NE@Den 04:25PM ET","NE","Tom","Brady","Den",19.57,16.6,0,0,0,17.3148810110805,17.9205689436154
"QB","Drew Brees (7941855)","Drew Brees",7941855,6600,"NO@Ari 04:05PM ET","NO","Drew","Brees","Ari",19.47,18,0,0,0,18.0006873635893,18.6299716326645
"WR","Emmanuel Sanders (7942117)","Emmanuel Sanders",7942117,6600,"NE@Den 04:25PM ET","Den","Emmanuel","Sanders","NE",15.14,15.3,2,0.283549783549784,0,14.6769637963531,15.1897236887534
"QB","Ben Roethlisberger (7941874)","Ben Roethlisberger",7941874,6600,"Pit@Cin 01:00PM ET","Pit","Ben","Roethlisberger","Cin",18.36,17.9,0,0,0,17.4574314931968,18.0674891169419
"QB","Marcus Mariota (7941843)","Marcus Mariota",7941843,6500,"Ten@KC 01:00PM ET","Ten","Marcus","Mariota","KC",19.26,17.2,13,0.00240384615384615,0,17.4906030904743,18.1022091056275
"WR","Golden Tate (7942072)","Golden Tate",7942072,6500,"Det@NYG 01:00PM ET","Det","Golden","Tate","NYG",13.59,14.2,1,0.22964509394572,0,13.4175693230353,13.8862176770055
"RB","Melvin Gordon (7941986)","Melvin Gordon",7941986,6500,"Oak@SD 04:25PM ET","SD","Melvin","Gordon","Oak",0,0,5,0.12691466083151,0,0,0
"QB","Andrew Luck (7941853)","Andrew Luck",7941853,6400,"Ind@Min 01:00PM ET","Ind","Andrew","Luck","Min",19.58,19,0,0,0,18.5708204662023,19.2198080228553
"WR","Michael Thomas (7942098)","Michael Thomas",7942098,6400,"NO@Ari 04:05PM ET","NO","Michael","Thomas","Ari",13.69,13.8,2,0.171903881700555,0,13.2532275730355,13.7162556762024
"QB","Matthew Stafford (7941847)","Matthew Stafford",7941847,6300,"Det@NYG 01:00PM ET","Det","Matthew","Stafford","NYG",17.7,18.3,0,0,0,17.3740063335757,17.9808911805713
"WR","Demaryius Thomas (7942119)","Demaryius Thomas",7942119,6300,"NE@Den 04:25PM ET","Den","Demaryius","Thomas","NE",15.93,16.5,1,0.285714285714286,0,15.6522496382934,16.1989852831615
"QB","Derek Carr (7941872)","Derek Carr",7941872,6300,"Oak@SD 04:25PM ET","Oak","Derek","Carr","SD",19.19,18.3,0,0,0,18.0332432895315,18.6635238705514
"QB","Dak Prescott (7941820)","Dak Prescott",7941820,6200,"TB@Dal 08:30PM ET","Dal","Dak","Prescott","TB",18.27,18,0,0,0,17.4697582715444,18.0802003387207
"WR","Stefon Diggs (7942085)","Stefon Diggs",7942085,6200,"Ind@Min 01:00PM ET","Min","Stefon","Diggs","Ind",16.03,15.8,1,0.220806794055202,0,15.3314685075409,15.8671910758846
"WR","Brandin Cooks (7942095)","Brandin Cooks",7942095,6200,"NO@Ari 04:05PM ET","NO","Brandin","Cooks","Ari",11.7,13.5,1,0.177449168207024,0,12.2163307813083,12.642719407272
"QB","Philip Rivers (7941870)","Philip Rivers",7941870,6200,"Oak@SD 04:25PM ET","SD","Philip","Rivers","Oak",17.89,18.6,0,0,0,17.6145094872355,18.2297705085861
"WR","Davante Adams (7942007)","Davante Adams",7942007,6100,"GB@Chi 01:00PM ET","GB","Davante","Adams","Chi",13.51,12.1,2,0.198852772466539,0,12.2870983849636,12.7167408120927
"QB","Jameis Winston (7941821)","Jameis Winston",7941821,6100,"TB@Dal 08:30PM ET","TB","Jameis","Winston","Dal",17.87,17.2,0,0,0,16.8756102255222,17.4653906901427
"WR","Julian Edelman (7942118)","Julian Edelman",7942118,6100,"NE@Den 04:25PM ET","NE","Julian","Edelman","Den",14.38,14.1,1,0.273858921161826,0,13.714951181714,14.1942063766939
"RB","Jordan Howard (7941887)","Jordan Howard",7941887,6000,"GB@Chi 01:00PM ET","Chi","Jordan","Howard","GB",13.09,13.5,4,0.0978723404255319,0,12.8313236462603,13.2795378227568
"WR","Alshon Jeffery (7942002)","Alshon Jeffery",7942002,6000,"GB@Chi 01:00PM ET","Chi","Alshon","Jeffery","GB",12.72,15.5,1,0.157446808510638,0,13.7105497145643,14.1889063836161
"QB","Carson Palmer (7941856)","Carson Palmer",7941856,6000,"NO@Ari 04:05PM ET","Ari","Carson","Palmer","NO",18.81,19.1,0,0,0,18.2822874257244,18.920982178066
"WR","Sammy Watkins (7942041)","Sammy Watkins",7942041,5900,"Cle@Buf 01:00PM ET","Buf","Sammy","Watkins","Cle",12.26,13.5,5,0.0729166666666667,0,12.4640976909293,12.8992793444457
"TE","Travis Kelce (7942185)","Travis Kelce",7942185,5900,"Ten@KC 01:00PM ET","KC","Travis","Kelce","Ten",17.79,12.7,1,0.223684210526316,0,14.4936242414291,15.0012561734396
"RB","Carlos Hyde (7941967)","Carlos Hyde",7941967,5900,"SF@Atl 04:05PM ET","SF","Carlos","Hyde","Atl",12.84,14.1,6,0.0673316708229426,0,13.0335921802563,13.4886665494661
"WR","Michael Crabtree (7942127)","Michael Crabtree",7942127,5900,"Oak@SD 04:25PM ET","Oak","Michael","Crabtree","SD",13.58,15.1,1,0.244274809160305,0,13.882463056193,14.3671328689774
"QB","Colin Kaepernick (7941861)","Colin Kaepernick",7941861,5800,"SF@Atl 04:05PM ET","SF","Colin","Kaepernick","Atl",18.79,19,0,0,0,18.2212921472727,18.8578752543423
"RB","Latavius Murray (7941982)","Latavius Murray",7941982,5800,"Oak@SD 04:25PM ET","Oak","Latavius","Murray","SD",14.72,12.7,5,0.0782442748091603,0,13.1353306476142,13.5947579464336
"WR","Tyrell Williams (7942134)","Tyrell Williams",7942134,5800,"Oak@SD 04:25PM ET","SD","Tyrell","Williams","Oak",14.37,14.1,1,0.192560175054705,0,13.7105267726136,14.1896249492443
"QB","Tyrod Taylor (7941829)","Tyrod Taylor",7941829,5700,"Cle@Buf 01:00PM ET","Buf","Tyrod","Taylor","Cle",18.84,18.3,0,0,0,17.8783889710184,18.5031739098178
"QB","Joe Flacco (7941835)","Joe Flacco",7941835,5700,"Phi@Bal 01:00PM ET","Bal","Joe","Flacco","Phi",17.88,15.3,0,0,0,15.8892518898557,16.4450348099249
"RB","Spencer Ware (7941930)","Spencer Ware",7941930,5700,"Ten@KC 01:00PM ET","KC","Spencer","Ware","Ten",12.78,13.9,6,0.081140350877193,0,12.9027528051523,13.3532898471197
"WR","Tyreek Hill (7942067)","Tyreek Hill",7942067,5700,"Ten@KC 01:00PM ET","KC","Tyreek","Hill","Ten",14.23,14.4,2,0.151315789473684,0,13.805024425961,14.2873171714247
"QB","Eli Manning (7941845)","Eli Manning",7941845,5600,"Det@NYG 01:00PM ET","NYG","Eli","Manning","Det",18.25,17,0,0,0,16.9394448508347,17.5315967955757
"WR","Willie Snead (7942094)","Willie Snead",7942094,5600,"NO@Ari 04:05PM ET","NO","Willie","Snead","Ari",10.31,12.4,3,0.155268022181146,0,11.0277268535965,11.4125162347166
"WR","Taylor Gabriel (7942113)","Taylor Gabriel",7942113,5600,"SF@Atl 04:05PM ET","Atl","Taylor","Gabriel","SF",10.95,9.6,4,0.0883002207505519,0,9.85078814899545,10.1952936643978
"RB","Jeremy Hill (7941997)","Jeremy Hill",7941997,5600,"Pit@Cin 01:00PM ET","Cin","Jeremy","Hill","Pit",13.09,14.1,7,0.0568421052631579,0,13.1442024077657,13.6032022357044
"TE","Tyler Eifert (7942235)","Tyler Eifert",7942235,5600,"Pit@Cin 01:00PM ET","Cin","Tyler","Eifert","Pit",14.02,13.3,5,0.0926315789473684,0,13.1385007720934,13.597722437914
"WR","Donte Moncrief (7942083)","Donte Moncrief",7942083,5500,"Ind@Min 01:00PM ET","Ind","Donte","Moncrief","Min",9.71,13.5,4,0.107287449392713,0,11.3358733703339,11.7310153448153
"QB","Andy Dalton (7941875)","Andy Dalton",7941875,5500,"Pit@Cin 01:00PM ET","Cin","Andy","Dalton","Pit",18.47,17.7,0,0,0,17.4018070727992,18.0099966812376
"RB","DeAngelo Williams (7941990)","DeAngelo Williams",7941990,5500,"Pit@Cin 01:00PM ET","Pit","DeAngelo","Williams","Cin",0,3.7,8,0.0460921843687375,0,1.92941902928302,1.9959305465101
"RB","Lamar Miller (7941900)","Lamar Miller",7941900,5400,"Jax@Hou 01:00PM ET","Hou","Lamar","Miller","Jax",14.27,15.6,5,0.0818965517241379,0,14.4484795853732,14.952971707118
"WR","Jordan Matthews (7942049)","Jordan Matthews",7942049,5400,"Phi@Bal 01:00PM ET","Phi","Jordan","Matthews","Bal",13.86,17.2,1,0.207739307535642,0,15.1014221762722,15.6282382828808
"QB","Alex Smith (7941840)","Alex Smith",7941840,5400,"Ten@KC 01:00PM ET","KC","Alex","Smith","Ten",15.58,17.5,15,0.0043859649122807,0,16.0188599222892,16.5780760106739
"RB","Theo Riddick (7941939)","Theo Riddick",7941939,5400,"Det@NYG 01:00PM ET","Det","Theo","Riddick","NYG",12.6,13.7,4,0.144050104384134,0,12.7188205208438,13.162936015379
"RB","Doug Martin (7941889)","Doug Martin",7941889,5300,"TB@Dal 08:30PM ET","TB","Doug","Martin","Dal",11.37,10.3,8,0.0335429769392034,0,10.4016385529674,10.7653220990503
"WR","Steve Smith Sr. (7942045)","Steve Smith Sr.",7942045,5300,"Phi@Bal 01:00PM ET","Bal","Steve","Smith","Phi",13.54,13.1,3,0.156363636363636,0,12.8218362147736,13.2699257826873
"WR","Terrelle Pryor Sr. (7942036)","Terrelle Pryor Sr.",7942036,5200,"Cle@Buf 01:00PM ET","Cle","Terrelle","Pryor","Buf",12.98,12.4,1,0.250535331905782,0,12.2090440833964,12.6357573637414
"QB","Trevor Siemian (7941866)","Trevor Siemian",7941866,5200,"NE@Den 04:25PM ET","Den","Trevor","Siemian","NE",16.71,15,0,0,0,15.2151566443592,15.747175591856
"QB","Tony Romo (7941816)","Tony Romo",7941816,5100,"TB@Dal 08:30PM ET","Dal","Tony","Romo","TB",0,0,0,0,0,0,0
"WR","Cole Beasley (7942015)","Cole Beasley",7942015,5100,"TB@Dal 08:30PM ET","Dal","Cole","Beasley","TB",11.48,10.5,1,0.219753086419753,0,10.5545999735733,10.9236059386444
"QB","Brock Osweiler (7941824)","Brock Osweiler",7941824,5100,"Jax@Hou 01:00PM ET","Hou","Brock","Osweiler","Jax",14.94,13.3,14,0.0021551724137931,0,13.5455464093278,14.0192137632708
"RB","Derrick Henry (7941934)","Derrick Henry",7941934,5100,"Ten@KC 01:00PM ET","Ten","Derrick","Henry","KC",5.61,5.8,9,0.0288461538461538,0,5.5065881998617,5.69893679101356
"WR","Dontrelle Inman (7942128)","Dontrelle Inman",7942128,5100,"Oak@SD 04:25PM ET","SD","Dontrelle","Inman","Oak",11.58,11.4,2,0.179431072210066,0,11.0681622068351,11.454916832561
"QB","Matt Barkley (7941813)","Matt Barkley",7941813,5000,"GB@Chi 01:00PM ET","Chi","Matt","Barkley","GB",13.33,15.6,0,0,0,14.0325851299381,14.5223175268621
"QB","David Fales (7941814)","David Fales",7941814,5000,"GB@Chi 01:00PM ET","Chi","David","Fales","GB",0,0,0,0,0,0,0
"QB","Brett Hundley (7941815)","Brett Hundley",7941815,5000,"GB@Chi 01:00PM ET","GB","Brett","Hundley","Chi",0,0,0,0,0,0,0
"QB","Mark Sanchez (7941817)","Mark Sanchez",7941817,5000,"TB@Dal 08:30PM ET","Dal","Mark","Sanchez","TB",0,0,0,0,0,0,0
"QB","Mike Glennon (7941818)","Mike Glennon",7941818,5000,"TB@Dal 08:30PM ET","TB","Mike","Glennon","Dal",0,0,0,0,0,0,0
"QB","Ryan Griffin (7941819)","Ryan Griffin",7941819,5000,"TB@Dal 08:30PM ET","TB","Ryan","Griffin","Dal",0,0,0,0,0,0,0
