"Position","Name","Roster_Position","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Hyun-Jin Ryu","T1","LAD@DET 04:05PM ET",14.75,"LAD"
"SP","Michael Fulmer","T2","LAD@DET 04:05PM ET",15.777,"DET"
"SS","Corey Seager","T3","LAD@DET 04:05PM ET",8.929,"LAD"
"1B/OF","Cody Bellinger","T3","LAD@DET 04:05PM ET",10.198,"LAD"
"OF","Justin Upton","T3","LAD@DET 04:05PM ET",9.379,"DET"
"3B","Justin Turner","T4","LAD@DET 04:05PM ET",9.421,"LAD"
"2B/OF","Chris Taylor","T4","LAD@DET 04:05PM ET",9.175,"LAD"
"2B","Ian Kinsler","T5","LAD@DET 04:05PM ET",7.863,"DET"
"OF","Mikie Mahtook","T7","LAD@DET 04:05PM ET",6.313,"DET"
"C","Yasmani Grandal","T7","LAD@DET 04:05PM ET",6.625,"LAD"
"3B","Nicholas Castellanos","T7","LAD@DET 04:05PM ET",7.513,"DET"
"1B","Miguel Cabrera","T8","LAD@DET 04:05PM ET",6.886,"DET"
"OF","Yasiel Puig","T8","LAD@DET 04:05PM ET",7.452,"LAD"
"SP","Jose Quintana","T1","TOR@CHC 02:20PM ET",16.346,"CHC"
"SP","Nick Tepesch","T2","TOR@CHC 02:20PM ET",4.667,"TOR"
"1B","Anthony Rizzo","T3","TOR@CHC 02:20PM ET",9.367,"CHC"
"3B","Kris Bryant","T3","TOR@CHC 02:20PM ET",9.207,"CHC"
"OF","Kyle Schwarber","T4","TOR@CHC 02:20PM ET",6.673,"CHC"
"2B/OF","Ian Happ","T4","TOR@CHC 02:20PM ET",7.595,"CHC"
"3B","Josh Donaldson","T5","TOR@CHC 02:20PM ET",8.8,"TOR"
"1B","Justin Smoak","T5","TOR@CHC 02:20PM ET",8.769,"TOR"
"OF","Jose Bautista","T6","TOR@CHC 02:20PM ET",7.575,"TOR"
"1B/C","Alex Avila","T7","TOR@CHC 02:20PM ET",6.46,"CHC"
"OF","Steve Pearce","T7","TOR@CHC 02:20PM ET",6.68,"TOR"
"2B/OF","Ben Zobrist","T7","TOR@CHC 02:20PM ET",5.924,"CHC"
"OF","Kevin Pillar","T8","TOR@CHC 02:20PM ET",6.681,"TOR"
"OF","Jon Jay","T8","TOR@CHC 02:20PM ET",4.932,"CHC"
"OF","Jason Heyward","T8","TOR@CHC 02:20PM ET",6.461,"CHC"
"SP","Michael Wacha","T1","STL@PIT 04:05PM ET",15.68,"STL"
"SP","Chad Kuhl","T2","STL@PIT 04:05PM ET",10.582,"PIT"
"OF","Dexter Fowler","T3","STL@PIT 04:05PM ET",8.272,"STL"
"OF","Tommy Pham","T3","STL@PIT 04:05PM ET",9.462,"STL"
"OF","Andrew McCutchen","T3","STL@PIT 04:05PM ET",9,"PIT"
"1B","Josh Bell","T4","STL@PIT 04:05PM ET",7.542,"PIT"
"2B/SS","Paul DeJong","T5","STL@PIT 04:05PM ET",8.609,"STL"
"1B","Matt Carpenter","T5","STL@PIT 04:05PM ET",7.864,"STL"
"OF","Starling Marte","T6","STL@PIT 04:05PM ET",7.905,"PIT"
"2B/3B","Josh Harrison","T6","STL@PIT 04:05PM ET",7.539,"PIT"
"3B","Jedd Gyorko","T6","STL@PIT 04:05PM ET",7.138,"STL"
"C","Yadier Molina","T6","STL@PIT 04:05PM ET",6.836,"STL"
"3B","David Freese","T7","STL@PIT 04:05PM ET",6.273,"PIT"
"2B/OF","Adam Frazier","T8","STL@PIT 04:05PM ET",6.427,"PIT"
"SP","Jake Odorizzi","T2","SEA@TB 06:10PM ET",12.755,"TB"
"SP","Ariel Miranda","T2","SEA@TB 06:10PM ET",12.946,"SEA"
"OF","Steven Souza Jr.","T4","SEA@TB 06:10PM ET",8.466,"TB"
"SS","Jean Segura","T4","SEA@TB 06:10PM ET",8.793,"SEA"
"OF","Nelson Cruz","T4","SEA@TB 06:10PM ET",9.042,"SEA"
"2B","Robinson Cano","T5","SEA@TB 06:10PM ET",8.106,"SEA"
"1B","Logan Morrison","T5","SEA@TB 06:10PM ET",8.017,"TB"
"OF","Corey Dickerson","T5","SEA@TB 06:10PM ET",8.205,"TB"
"1B","Lucas Duda","T6","SEA@TB 06:10PM ET",7.186,"TB"
"3B","Evan Longoria","T6","SEA@TB 06:10PM ET",7.617,"TB"
"1B","Yonder Alonso","T6","SEA@TB 06:10PM ET",7.345,"SEA"
"3B","Kyle Seager","T7","SEA@TB 06:10PM ET",7.342,"SEA"
"C","Wilson Ramos","T8","SEA@TB 06:10PM ET",5,"TB"
"OF","Ben Gamel","T8","SEA@TB 06:10PM ET",7.381,"SEA"
