"Paul Goldschmidt_ARI","Cody Bellinger_LAD","Corey Seager_LAD","Robinson Cano_SEA","Justin Turner_LAD","Nelson Cruz_SEA","Mike Moustakas_KC","Eric Hosmer_KC","Chris Taylor_LAD","Chris Owings_ARI","Jean Segura_SEA","Jake Lamb_ARI","Whit Merrifield_KC","Joc Pederson_LAD","Austin Barnes_LAD","Lorenzo Cain_KC","Logan Forsythe_LAD","Salvador Perez_KC","Ben Gamel_SEA","David Peralta_ARI","AJ Pollock_ARI","Kyle Seager_SEA","Adrian Gonzalez_LAD","Yasiel Puig_LAD","Alcides Escobar_KC","Mitch Haniger_SEA","Daniel Descalso_ARI","Yasmani Grandal_LAD","Kike Hernandez_LAD","Jarrod Dyson_SEA","Guillermo Heredia_SEA","Gregor Blanco_ARI","Yasmany Tomas_ARI","Alex Gordon_KC","Jorge Bonifacio_KC","Chase Utley_LAD","Franklin Gutierrez_LAD","Peter O'Brien_LAD","Danny Valencia_SEA","Mike Zunino_SEA","Chris Herrmann_ARI","Leonys Martin_SEA","Chris Iannetta_ARI","Brandon Moss_KC","Cheslor Cuthbert_KC","Taylor Motter_SEA","Jorge Soler_KC","Trayce Thompson_LAD","Paulo Orlando_KC","Billy Burns_KC","Jeremy Hazelbaker_ARI","Christian Walker_ARI","Andrew Toles_LAD","Brandon Drury_ARI","Nick Ahmed_ARI","Ketel Marte_ARI","Willie Calhoun_LAD","Rey Fuentes_ARI","Rob Segedin_LAD","Alex Verdugo_LAD","DJ Peterson_SEA","Tyler Smith_SEA","Ryan O'Hearn_KC","Andre Ethier_LAD","Jack Reinheimer_ARI","Socrates Brito_ARI","Dawel Lugo_ARI","Domingo Leyba_ARI","Shawn O'Malley_SEA","Terrance Gore_KC","Scott Van Slyke_LAD","Carlos Ruiz_SEA","Tuffy Gosewisch_SEA","Boog Powell_SEA","Ramon Torres_KC","Raul Mondesi_KC","Hunter Dozier_KC","Daniel Vogelbach_SEA","Kyle Lewis_SEA","Mike Freeman_LAD","Jeff Mathis_ARI","Drew Butera_KC","Brett Eibner_LAD","Ildemaro Vargas_ARI"
66.5806561859193,0,0,0,0,0,0,0,0,-0.312820512820513,0,6.19114688128773,0,0,0,0,0,0,0,22.8674812030075,31.0040322580645,0,0,0,0,0,1.84873949579832,0,0,0,0,13.1923076923077,2.48245614035088,0,0,0,0,0,0,0,18.6523076923077,0,-7.43447293447293,0,0,0,0,0,0,0,19.6,0,0,18.7165898617512,15.3460317460317,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38502673796791,0,0,0
0,98.1648158971362,24.9411764705882,0,11.3436507936508,0,0,0,9.15070921985816,0,0,0,0,-10.1630769230769,3.20833333333333,0,0.978835978835979,0,0,0,0,0,-4.06833333333333,39.5929694727105,0,0,0,-7.8520202020202,0,0,0,0,0,0,0,4.63461538461539,-1.02380952380952,0,0,0,0,0,0,0,0,0,0,-4.83333333333333,0,0,0,0,13.7361111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.5833333333333,0
0,24.9411764705882,78.575873827792,0,1.00656565656566,0,0,0,-14.7159468438538,0,0,0,0,16.8548387096774,7.72916666666667,0,24.9001782531194,0,0,0,0,0,3.24466571834993,16.4135008766803,0,0,0,28.6712089447939,0,0,0,0,0,0,0,4.88850174216028,0.688888888888889,0,0,0,0,0,0,0,0,0,0,-10.9166666666667,0,0,0,0,1.18014705882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.3333333333333,0,0,0,0,0,0,0,0,0,0,0,-7.35,0
0,0,0,85.8746803069054,0,-1.25191256830601,0,0,0,0,6.75,0,0,0,0,0,0,0,17.7711416490486,0,0,13.4807692307692,0,0,0,5.11095305832148,0,0,0,8.6422305764411,12.2264808362369,0,0,0,0,0,0,0,5.54135338345865,-21.1404081632653,0,3.03205128205128,0,0,0,13.5596153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5,0,0,0,0,0,0,0,0,0,26.953216374269,0,0,0,0,0,0,0,0,0,0,0,0
0,11.3436507936508,1.00656565656566,0,48.2989840348331,0,0,0,25.5086206896552,0,0,0,0,7.02795698924731,33.8541666666667,0,21.5,0,0,0,0,0,9.87619047619048,2.85410628019324,0,0,0,2.96443812233286,0,0,0,0,0,0,0,14.1116666666667,10.8472222222222,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,12.6708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,13,0
0,0,0,-1.25191256830601,0,57.2623742454728,0,0,0,0,13.3333333333333,0,0,0,0,0,0,0,9.27053140096618,0,0,7.13817277250113,0,0,0,11.6071428571429,0,0,0,3.09322033898305,1.21040974529347,0,0,0,0,0,0,0,12.1735827001753,6.85200845665962,0,17.3653846153846,0,0,0,22.0004625346901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,-0.80952380952381,-1.9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,57.3401175938489,7.91429217548621,0,0,0,0,4.69920174165457,0,0,-1.29735576923077,0,5.03360607831677,0,0,0,0,0,0,-4.35685210312076,0,0,0,0,0,0,0,0,14.1333333333333,9.40051020408163,0,0,0,0,0,0,0,0,13.980303030303,2.30769230769231,0,1.97058823529412,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.35,-12.8888888888889,0,0,0,0,0,25.6545454545455,0,0
0,0,0,0,0,0,7.91429217548621,39.1864912280702,0,0,0,0,4.04971751412429,0,0,3.29832572298326,0,7.54938542581212,0,0,0,0,0,0,9.09701754385965,0,0,0,0,0,0,0,0,11.7071460877431,2.0461215932914,0,0,0,0,0,0,0,0,7.01304347826087,2.56060606060606,0,10.0131578947368,0,0.718181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.21428571428571,0.777777777777778,0,0,0,0,0,21.0718954248366,0,0
0,9.15070921985816,-14.7159468438538,0,25.5086206896552,0,0,0,83.4309954751131,0,0,0,0,14.0606060606061,-6.52614379084967,0,24.6376811594203,0,0,0,0,0,3.66959064327485,10.7603658536585,0,0,0,-9.84761904761905,0,0,0,0,0,0,0,-2.10344827586207,0.486111111111111,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,-1.16666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,26.6,0
-0.312820512820513,0,0,0,0,0,0,0,0,60.540825285338,0,-8.86356425171867,0,0,0,0,0,0,0,-0.5,-3.78387096774194,0,0,0,0,0,6.7816091954023,0,0,0,0,22.3438735177866,20.1966966966967,0,0,0,0,0,0,0,-16.2055335968379,0,4.81385281385281,0,0,0,0,0,0,0,-12.5,0,0,2.40348330914369,-3.43230769230769,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93939393939394,0,0,0
