"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"OF","Aaron Judge",5700,"CIN@NYY 01:05PM ET",11.156,"NYY","CIN",NA,NA,NA,NA,"3","x",NA
"OF","AJ Pollock",5500,"ATL@ARI 03:40PM ET",9.352,"ARI","ATL",9.13,10.9,10.41,NA,"1","2",0
"1B","Paul Goldschmidt",5400,"ATL@ARI 03:40PM ET",10.707,"ARI","ATL",10.89,11,10.8,NA,"3","4",22
"3B","Jake Lamb",5400,"ATL@ARI 03:40PM ET",9.726,"ARI","ATL",10.18,11,9.17,NA,"4","3",6
"OF","JD Martinez",5300,"ATL@ARI 03:40PM ET",9.323,"ARI","ATL",9.03,9.4,2.21,NA,"5","5",34
"OF","David Peralta",5200,"ATL@ARI 03:40PM ET",7.83,"ARI","ATL",NA,NA,NA,NA,"2","x",NA
"1B/3B","Freddie Freeman",5100,"ATL@ARI 03:40PM ET",11.491,"ATL","ARI",7.71,9.3,9.53,NA,"3","3",10
"OF","Mookie Betts",5000,"BOS@SEA 03:40PM ET",9.687,"BOS","SEA",NA,NA,NA,NA,"1","x",NA
"OF","Andrew McCutchen",4700,"PIT@SF 03:45PM ET",9.02,"PIT","SF",6.99,7.8,9.84,NA,"3","3",0
"OF","Brett Gardner",4600,"CIN@NYY 01:05PM ET",8.774,"NYY","CIN",10.26,10.1,9.91,NA,"1","1",13
"SS","Didi Gregorius",4500,"CIN@NYY 01:05PM ET",8.267,"NYY","CIN",8.81,8.9,8.11,NA,"5","5",18
"C","Gary Sanchez",4400,"CIN@NYY 01:05PM ET",8.591,"NYY","CIN",8.84,10.7,10.43,NA,"2","3",9
"2B","Dustin Pedroia",4400,"BOS@SEA 03:40PM ET",7.916,"BOS","SEA",7.63,7.3,7.98,NA,"2","3",6
"1B","Josh Bell",4400,"PIT@SF 03:45PM ET",7.5,"PIT","SF",6.38,8.4,8.94,NA,"4","4",0
"OF","Gregor Blanco",4300,"ATL@ARI 03:40PM ET",5.804,"ARI","ATL",NA,9.8,1.8,NA,"x","1",20
"OF","Starling Marte",4300,"PIT@SF 03:45PM ET",8.857,"PIT","SF",6.2,8.7,10.62,NA,"1","1",0
"1B","Joey Votto",4200,"CIN@NYY 01:05PM ET",9.72,"CIN","NYY",8.28,9.9,10.29,NA,"3","3",12
"OF","Yasmany Tomas",4200,"ATL@ARI 03:40PM ET",6.896,"ARI","ATL",NA,0,1.74,NA,"x","x",NA
"OF","Andrew Benintendi",4000,"BOS@SEA 03:40PM ET",7.832,"BOS","SEA",8.79,8.4,8.58,NA,"5","2",3
"1B/C","Buster Posey",4000,"PIT@SF 03:45PM ET",7.854,"SF","PIT",7.89,7.6,9.15,NA,"4","4",9
"1B","Matt Holliday",3900,"CIN@NYY 01:05PM ET",7.366,"NYY","CIN",7.08,9,9.29,NA,"4","4",7
"3B","Chase Headley",3900,"CIN@NYY 01:05PM ET",6.733,"NYY","CIN",6.88,7.7,7.22,NA,"8","6",7
"SS","Zack Cozart",3900,"CIN@NYY 01:05PM ET",8.747,"CIN","NYY",NA,NA,NA,NA,"2","x",NA
"2B","Starlin Castro",3900,"CIN@NYY 01:05PM ET",8.165,"NYY","CIN",NA,0,NA,NA,"x","x",NA
"OF","Adam Duvall",3900,"CIN@NYY 01:05PM ET",8.469,"CIN","NYY",5.95,7.9,9.01,NA,"4","4",18
"1B","Hanley Ramirez",3900,"BOS@SEA 03:40PM ET",7.414,"BOS","SEA",7.25,7.5,8.22,NA,"6","4",6
"OF","Ender Inciarte",3900,"ATL@ARI 03:40PM ET",8.316,"ATL","ARI",6.6,7.9,7.6,NA,"1","1",5
"2B/3B","Josh Harrison",3900,"PIT@SF 03:45PM ET",7.639,"PIT","SF",5.71,7,8.85,NA,"2","2",11
"3B","Todd Frazier",3800,"CIN@NYY 01:05PM ET",6.967,"NYY","CIN",7.26,8.5,8.24,NA,"6","7",19
"OF","Gregory Polanco",3800,"PIT@SF 03:45PM ET",6.704,"PIT","SF",NA,0,NA,NA,"x","x",NA
