"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Projection_fc","Projection_dfn_perturbed","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","FreqInd","Week1","Week2","Temp.Name","CompletionsRolling","TargetsRolling","TDsRolling","RankCompletions","RankTDs"
"WR","Antonio Brown (7451829)","Antonio Brown",7451829,9600,"Pit@Phi 04:25PM ET","Pit","Antonio","Brown","Phi",27.75,25.2,24.4,25.2,1,0.295774647887324,24.9863163446285,26.1814733585514,1,35.6,7.9,"Brown, Antonio",12,21,2,1,1
"WR","Odell Beckham Jr. (7451720)","Odell Beckham",7451720,9100,"Was@NYG 01:00PM ET","NYG","Odell","Beckham","Was",21.5,19.7,20.24,19.7,1,0.301369863013699,19.4465935967394,20.3299022228064,1,11.3,16.6,"Beckham, Odell",12,22,0,1,4
"WR","Dez Bryant (7451840)","Dez Bryant",7451840,8400,"Chi@Dal 08:30PM ET","Dal","Dez","Bryant","Chi",17.84,17.1,16.89,17.1,2,0.233766233766234,16.5128900468009,17.0627976244781,0,1.8,20.2,"Bryant, Dez",8,18,1,3,1
"WR","A.J. Green (7451765)","A.J. Green",7451765,8100,"Den@Cin 01:00PM ET","Cin","A.J.","Green","Den",18.56,18,16.66,18,1,0.252873563218391,17.2842481233088,17.8053762324195,1,39,5.8,"Green, A.J.",14,22,1,1,1
"WR","Alshon Jeffery (7451844)","Alshon Jeffery",7451844,8000,"Chi@Dal 08:30PM ET","Chi","Alshon","Jeffery","Dal",15.71,19.3,17.8,19.3,1,0.23728813559322,16.6618774809836,16.1158989487934,1,17.5,14.6,"Jeffery, Alshon",9,14,0,1,2
"QB","Cam Newton (7451539)","Cam Newton",7451539,7800,"Min@Car 01:00PM ET","Car","Cam","Newton","Min",22.49,22.4,21.21,22.4,NA,NA,21.2383622219395,21.7268806509331,0,22.2,34.8,"Newton, Cam",NA,NA,NA,NA,NA
"RB","David Johnson (7451579)","David Johnson",7451579,7700,"Ari@Buf 01:00PM ET","Ari","David","Johnson","Buf",21.69,19,18.15,19,3,0.148648648648649,19.181459710945,20.2848778754103,1,23.2,17.3,"Johnson, David",7,11,0,2,4
"WR","Amari Cooper (7451710)","Amari Cooper",7451710,7700,"Oak@Ten 01:00PM ET","Oak","Amari","Cooper","Ten",17.5,16.8,16.46,16.8,1,0.264367816091954,16.2111291833219,16.7442665162158,1,24.7,12.1,"Cooper, Amari",12,23,0,1,5
"QB","Aaron Rodgers (7451525)","Aaron Rodgers",7451525,7700,"Det@GB 01:00PM ET","GB","Aaron","Rodgers","Det",22.4,22.8,21.92,22.8,NA,NA,21.3981578646843,21.7657954747737,0,23.6,19.4,"Rodgers, Aaron",NA,NA,NA,NA,NA
"QB","Andrew Luck (7451561)","Andrew Luck",7451561,7600,"SD@Ind 04:25PM ET","Ind","Andrew","Luck","SD",23.27,21.9,21.25,21.9,NA,NA,21.3365997120008,22.1521948661136,0,38.5,12.1,"Luck, Andrew",NA,NA,NA,NA,NA
"WR","Allen Robinson (7451748)","Allen Robinson",7451748,7500,"Bal@Jax 01:00PM ET","Jax","Allen","Robinson","Bal",19.46,17.1,17.63,17.1,1,0.238636363636364,17.2360824220182,18.213077095444,0,13.2,8.4,"Robinson, Allen",9,21,0,3,4
"RB","DeAngelo Williams (7451675)","DeAngelo Williams",7451675,7500,"Pit@Phi 04:25PM ET","Pit","DeAngelo","Williams","Phi",21.47,20.3,20.62,20.3,2,0.197183098591549,19.7331606407318,20.4628296094633,1,38.1,23.2,"Williams, DeAngelo",10,14,1,2,2
"WR","Jordy Nelson (7451751)","Jordy Nelson",7451751,7400,"Det@GB 01:00PM ET","GB","Jordy","Nelson","Det",19.74,18.3,15.44,18.3,1,0.272727272727273,17.9609976257894,18.7203485478493,1,15.2,18.3,"Nelson, Jordy",11,21,2,2,1
"WR","Randall Cobb (7451755)","Randall Cobb",7451755,7300,"Det@GB 01:00PM ET","GB","Randall","Cobb","Det",14.96,15.3,14.15,15.3,2,0.233766233766234,14.3273362269253,14.5551697677368,0,12.8,9.3,"Cobb, Randall",12,18,0,1,3
"RB","C.J. Anderson (7451627)","C.J. Anderson",7451627,7300,"Den@Cin 01:00PM ET","Den","C.J.","Anderson","Cin",18.63,16,16.16,16,3,0.166666666666667,16.3156321919412,17.3409834718787,1,29.9,18.3,"Anderson, C.J.",7,10,1,3,1
