"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Value"
"DeAndre Hopkins",0,"0",5000,21.5,-0.17,0.05,-0.1,0,0,0,0,0,7.3,9,7.9,0.5,6,10.7,12.1,13,5.7,18.5,13.1,16.7,10,5,5.3,14.8,12,60,123,4,0.265086206896552,1,1,1,0
"Mohamed Sanu",7,"0",4900,32.5,-0.01,0.59,0.08,0.3,0.1,0,0.1,5,4.3,5.8,6.6,0.9,7.4,7.7,10,10,2.9,17.2,14.1,7.4,32,31,0,4.6,15,51,75,3,0.165562913907285,2,2,3,0
"Mike Wallace",7,"0",4800,23,-0.01,-0.06,0.09,0.3,0.4,0.2,0,6.2,6.3,7.8,6.8,0.7,8.9,10.2,14.4,12,8.3,20.5,11.5,8,12,30,10.2,11.9,8.6,63,103,4,0.187272727272727,2,1,1,0
"Ty Montgomery",10,"0",4800,22.8,-0.09,0,0.06,5.3,3.7,8.2,0.6,5.2,3,3.6,4.2,0.8,7.3,9.5,7.8,20,-0.4,16.1,11.6,33.3,11,24,17.6,7.6,3.4,37,45,1,0.0860420650095602,4,4,5,1
"Adam Thielen",8,"1",4800,24.8,0.07,0.07,-0.01,0,0.1,0,0,11,8.3,5.8,6.1,0.5,10.1,15,12,10,5.4,18.5,13.4,0,29,14,17.1,14.6,13.3,57,76,3,0.16135881104034,3,3,2,0
"Jeremy Maclin",3,"0",4700,24.5,0.14,-0.19,0.2,0,0.1,0,0,-1,4.7,6.6,6.6,0.7,6.6,5.3,9.1,11,3.6,14.6,12.2,14.2,23,32,2.6,0,0,31,58,2,0.12719298245614,4,4,3,0
"Malcolm Mitchell",3,"0",4700,23.3,-0.22,0.18,-0.37,0,0,0,0,0,7.3,4.2,6.3,0.9,8.5,17.2,8.8,10,0.7,16.9,10.8,2.4,1,1,14.1,16.2,21.2,29,44,4,0.0912863070539419,5,5,2,0
"Brandon LaFell",1,"0",4700,21.3,0.04,-0.16,-0.1,0,0.1,0,0,-2,7.3,5.9,7.4,1.1,7.5,10.8,10.1,12,2.5,17.6,11.2,16.1,9,3,5.2,20.5,6.8,44,81,5,0.170526315789474,4,2,1,0
"Pierre Garcon",3,"0",4700,28.8,0.13,-0.16,0.09,0,0,0,0,0,6.3,7,7.4,0.9,8.5,13.3,12.5,12,6.6,18.4,13.9,14.8,28,27,16.9,14.8,8.3,65,95,3,0.18664047151277,1,1,4,0
"Marvin Jones",0,"0",4700,19.3,0.06,-0.14,-0.05,0,0.1,0,0,3,6,6.8,6.7,0.8,9.7,7.5,13,11,2.4,23.6,11.9,7.1,7,7,10.7,0,9.4,46,95,4,0.198329853862213,4,2,3,0
"DeVante Parker",1,"0",4700,21,0.03,-0.05,0.06,0,0,0,0,0,4.3,5.9,6.3,0.7,8.4,8.4,10.8,11,3.9,17.7,11.2,2.7,24,17,3.4,12.4,9.4,47,70,4,0.178117048346056,2,2,2,0
"Rishard Matthews",3,"0",4600,18.5,0.02,0.15,0.16,0,0,0,0,0,7.7,5.8,6.2,0.6,9.1,14.4,12.6,10,6,19.2,11.9,16.5,15,28,3.6,0,15.4,51,78,8,0.1875,2,2,1,0
"Tyler Boyd",2,"0",4600,21.3,0.04,-0.16,-0.1,0.7,0.2,0.2,0,14.3,7,5.5,6.5,0.6,7.4,12.2,8.5,11,3.3,13.6,11.3,3.3,9,3,14.9,10.6,11.2,49,72,1,0.151578947368421,2,3,4,0
"Kenny Britt",0,"0",4600,12.3,-0.04,-0.08,0.03,0,0,0,0,0,9.3,7.6,6.9,0.8,9.5,15.4,14.7,12,7.4,22.1,11.7,9,5,20,15.2,14.7,16.2,64,102,5,0.226666666666667,1,1,1,0
"Randall Cobb",0,"0",4600,22.8,-0.09,0,0.06,0,0.8,0.6,0.2,3.3,4.3,6.9,6.7,1.1,7.3,9.1,12.6,12,5.5,19.8,11.1,0,11,24,6.3,10.9,10.1,62,88,5,0.168260038240918,3,3,3,0
"Sterling Shepard",1,"0",4600,23.3,0.02,-0.09,-0.02,0.3,0.1,0,0,22,4,6.5,7.2,0.6,6.4,7.1,11.2,12,5.1,17.3,12.4,15.6,18,8,6.9,12.1,2.2,54,86,6,0.173387096774194,2,2,2,0
"Ted Ginn",2,"0",4500,21.8,0.07,0.05,-0.01,1.3,0.9,0,0.1,6.2,6.7,5.5,5.3,0.2,8.3,16.7,9.9,9,2.9,16.9,9.3,16.4,25,13,4.6,19.6,25.8,44,72,4,0.156862745098039,3,3,2,0
"Anquan Boldin",0,"0",4500,19.3,0.06,-0.14,-0.05,0,0,0,0,0,7,6,7,1.3,6.2,13.9,11.2,11,6,16.3,12.4,4.3,7,7,13.9,8,19.9,58,83,8,0.173277661795407,2,3,1,0
"Allen Robinson",7,"0",4400,18,-0.13,-0.02,-0.1,0,0,0,0,0,5.7,9.1,7.4,1.2,5.4,4.4,12.5,12,3.8,21.1,12.2,3.5,6,6,2.7,6.1,4.4,57,125,6,0.234082397003745,1,1,1,0
"Quincy Enunwa",1,"0",4300,18.5,-0.03,0.25,0.02,0,0,0,0,0,4.7,6.4,5.6,0.8,8.2,10.9,10.9,9,3.7,18.2,7.6,11.4,23,22,5.9,2,24.9,46,83,4,0.184035476718404,2,2,1,0
"Cameron Meredith",2,"0",4200,18.3,0.05,-0.1,0.04,0,0.1,0,0.1,6,7,6,5.7,0.7,8.9,10.9,11.4,10,1.8,21,11.7,22.4,16,22,19.2,9.7,3.9,47,74,3,0.157446808510638,2,1,2,1
"Robby Anderson",1,"0",4200,18.5,-0.03,0.25,0.02,0.7,0.3,0,0,14,8.3,5.6,6.5,0.3,7.5,12.5,8.1,11,3.2,13.1,10.2,18,23,22,17.1,16.1,4.4,36,61,2,0.135254988913525,4,3,3,0
"Will Fuller",0,"0",4100,21.5,-0.17,0.05,-0.1,0,0,0,0,0,5.3,6.5,4.6,0.5,7.5,8.4,10.4,7,1.4,19.3,8.3,7.9,10,5,4.2,10.9,10,37,71,2,0.15301724137931,4,3,3,0
"Corey Coleman",2,"0",4100,16.5,-0.04,0.17,-0.06,0.3,0.1,0.2,0,1,10,7.9,6.5,0.4,6.1,8.8,11.1,12,2.2,20,11,5.4,19,11,5.7,0,12.8,23,56,3,0.119914346895075,6,4,2,0
"Tyler Lockett",0,"0",4000,27.3,-0.05,0.03,0.14,1.3,0.5,0,0.1,19,6,4.2,4.6,0.5,7.8,11.8,7.1,8,0.5,13.7,8.9,29,14,25,9.6,24.8,0.9,36,62,0,0.147268408551069,4,4,5,1
"Marqise Lee",8,"0",4000,18,-0.13,-0.02,-0.1,1,0.5,0,0,5.8,7.7,6.6,7,0.5,8.5,13.5,11.3,12,5.8,16.8,11,6,6,6,19.3,7.4,13.9,56,90,2,0.168539325842697,2,2,4,0
"J.J. Nelson",22,"0",3900,25.8,0.1,-0.08,0.03,0.3,0.4,0.8,0.1,20.8,2.7,4,6.6,0.4,7.3,11.9,8.3,11,-0.3,17,13.6,14.8,27,15,19.4,11.2,5,23,46,4,0.0834845735027223,6,6,2,0
"Kenny Stills",1,"0",3800,21,0.03,-0.05,0.06,0,0,0,0,0,6,4.8,4.3,0.3,9.5,14,10.2,8,2.5,17.9,6.9,12.2,24,17,21.7,4.1,16.2,36,62,6,0.157760814249364,3,3,1,0
"Phillip Dorsett",0,"0",3800,19.8,-0.14,-0.05,-0.2,0.3,0.2,0.2,0,5,5,4.4,5.5,0.6,7.8,3.9,6.3,9,2.4,10.1,10,12,2,2,4.9,0.7,6.1,27,54,1,0.109311740890688,6,3,6,0
"John Brown",0,"0",3800,25.8,0.1,-0.08,0.03,0,0.1,0,0,10,2.3,5.5,5,0.4,6.7,1,7.4,8,-1.1,15.8,9.9,19.1,27,15,0,0,2.9,32,63,1,0.114337568058076,4,4,6,1
"Chris Hogan",0,"0",3800,23.3,-0.22,0.18,-0.37,0.7,0.3,0,0,3,5.7,3.9,5,0.4,13,17,10.3,8,1.5,19,8.3,2.8,1,1,27.6,12.3,11,32,51,4,0.105809128630705,4,4,2,0
"Travis Benjamin",0,"0",3800,23.5,0.07,0.12,0.06,0.3,0.2,0,0,-1.5,3,5.7,4.3,0.6,8,2,9.8,7,0.4,19.2,8,13.6,25,18,-0.2,4.4,1.8,42,70,3,0.153172866520788,3,3,5,0
"Adam Humphries",1,"0",3700,20.5,0.08,-0.23,0.08,0.7,0.4,0,0,3.6,3.3,5.3,5.5,0.5,7.4,5.2,8.5,9,2.5,14.4,9.8,12.9,11,15,0,3.9,3.1,47,70,1,0.146750524109015,3,3,4,0
"Tavon Austin",0,"0",3700,12.3,-0.04,-0.08,0.03,1.7,1.8,1.9,0.3,5.6,5.7,7.5,6.3,0.7,5.1,11.8,10.6,14,3.3,17.9,9.8,5.7,5,20,15.9,0,15.5,51,89,3,0.197777777777778,2,2,2,0
"Eli Rogers",0,"0",3600,24.3,-0.03,0.11,-0.17,0,0,0,0,0,2.7,4.9,5,0.6,7.6,4.5,8.5,8,2.3,14.8,8.4,18.5,17,4,5,2.8,5.6,34,49,2,0.0981963927855711,4,4,4,1
"Robert Woods",0,"0",3500,27,0.02,0.36,0.03,0,0.1,0,0,6,6.3,6.3,4.3,0.8,8.3,13.4,10.5,7,2.4,18.6,6.9,1.5,31,27,3.9,0,0,44,68,1,0.177083333333333,1,2,3,0
"Dorial Green-Beckham",1,"0",3500,18,-0.02,-0.3,0.07,0,0,0,0,0,9.3,5.8,5.2,1,5.6,12.5,7.4,9,2.4,12.3,8.3,2.1,5,29,0,6.9,14.2,35,66,2,0.134419551934827,4,3,3,0
"Russell Shepard",0,"0",3400,20.5,0.08,-0.23,0.08,0,0.1,0,0,9,2.7,2.5,3.7,0.6,9.3,3.2,5.3,6,-0.4,11,4.5,2.9,11,15,2.7,2.5,4.3,17,27,2,0.0566037735849057,4,6,3,0
"Jeremy Kerley",0,"0",3400,19,0.13,-0.06,0.07,0,0,0,0,0,4.7,6.9,6.8,0.5,5.7,5.7,9.2,11,0.8,17.6,10.9,7.8,30,23,10,2.8,4.4,48,90,3,0.224438902743142,1,1,2,0
"Aldrick Robinson",1,"0",3400,32.5,-0.01,0.59,0.08,0,0,0,0,0,3.3,2.4,4,0.3,6.7,6.1,4.1,6,-0.6,8.8,8.7,18.1,32,31,7.2,9.8,0,14,25,2,0.0551876379690949,9,8,6,0
"Devin Funchess",2,"0",3400,21.8,0.07,0.05,-0.01,0,0,0,0,0,3.7,4.2,4.1,0.8,7.2,7.2,7,7,2.6,11.5,5.9,0,25,13,11.3,6.4,3.9,22,55,4,0.119825708061002,5,4,2,0
"Josh Bellamy",0,"0",3300,18.3,0.05,-0.1,0.04,0.3,0.2,0,0,9.5,7.3,3.2,4,0.2,8.2,10,4.5,7,-0.1,9.1,6.5,8,16,22,7.5,14.5,8.1,17,33,0,0.0702127659574468,7,7,9,0
