"Place_lo","Place_hi","Payout"
"1","1","1000"
"2","2","750"
"3","3","500"
"4","4","300"
"5","5","250"
"6","6","200"
"7","8","150"
"9","10","125"
"11","15","100"
"16","20","80"
"21","30","60"
"31","40","50"
"41","50","40"
"51","75","30"
"76","100","25"
"101","150","20"
"151","225","15"
"226","350","12"
"351","555","10"
"556","905","8"
"906","1605","6"
