"Bryce Harper_WAS","Ryan Zimmerman_WAS","Daniel Murphy_WAS","Trea Turner_WAS","Anthony Rendon_WAS","Yonder Alonso_OAK","Chris Taylor_LAD","Cody Bellinger_LAD","Josh Donaldson_TOR","Jose Bautista_TOR","Kendrys Morales_TOR","Justin Smoak_TOR","Corey Seager_LAD","Yasiel Puig_LAD","Jed Lowrie_OAK","Ryon Healy_OAK","Adam Eaton_WAS","Russell Martin_TOR","Chase Utley_LAD","Yasmani Grandal_LAD","Michael Taylor_WAS","Joc Pederson_LAD","Devon Travis_TOR","Jayson Werth_WAS","Justin Turner_LAD","Logan Forsythe_LAD","Troy Tulowitzki_TOR","Khris Davis_OAK","Kevin Pillar_TOR","Kike Hernandez_LAD","Steve Pearce_TOR","Marcus Semien_OAK","Franklin Gutierrez_LAD","Adam Lind_WAS","Brian Goodwin_WAS","Adrian Gonzalez_LAD","Matt Wieters_WAS","Austin Barnes_LAD","Rajai Davis_OAK","Matt Joyce_OAK","Trayce Thompson_LAD","Ezequiel Carrera_TOR","Andrew Toles_LAD","Rob Segedin_LAD","Josh Phegley_OAK","Dalton Pompey_TOR","Chad Pinder_OAK","Rowdy Tellez_TOR","Andre Ethier_LAD","Ryan Goins_TOR","Mark Canha_OAK","Stephen Drew_WAS","Scott Van Slyke_LAD","Wilmer Difo_WAS","Jarrod Saltalamacchia_TOR","Trevor Plouffe_OAK","Jake Smolinski_OAK","Ryan LaMarre_OAK","Stephen Vogt_OAK","Darrell Ceciliani_TOR","Bruce Maxwell_OAK","Chris Heisey_WAS","Chris Coghlan_TOR","Anthony Alford_TOR","Luke Maile_TOR","Dwight Smith_TOR","Mike Freeman_LAD","Rafael Bautista_WAS","Adam Rosales_OAK","Jose Lobaton_WAS","Darwin Barney_TOR","Jaff Decker_OAK","Mike Ohlman_TOR","Matt Olson_OAK","Grant Green_WAS","Brett Eibner_LAD"
114.922764227642,34.4512012012012,9.37553342816501,32.310752688172,34.0917496443812,0,0,0,0,0,0,0,0,0,0,0,53.8235294117647,0,0,0,15.66,0,0,15.065873015873,0,0,0,0,0,0,0,0,0,-25.9047619047619,-37.5,0,27.0322580645161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.9166666666667,0,32.9230769230769,0,0,0,0,0,0,0,-35.5,0,0,0,0,0,0,0,23.2636363636364,0,0,0,0,0,0
34.4512012012012,78.0420819490587,-0.374493927125506,20.1966386554622,6.13765182186235,0,0,0,0,0,0,0,0,0,0,0,9.58571428571429,0,0,0,7.91954022988506,0,0,-1.83033033033033,0,0,0,0,0,0,0,0,0,-13.1,-25.6666666666667,0,21.4075268817204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.3333333333333,0,23.0090909090909,0,0,0,0,0,0,0,-45.1666666666667,0,0,0,0,0,0,0,-11.7575757575758,0,0,0,0,0,0
9.37553342816501,-0.374493927125506,78.5285412262157,29.0472370766488,15.1072874493927,0,0,0,0,0,0,0,0,0,0,0,8.59803921568627,0,0,0,14.457264957265,0,0,16.502024291498,0,0,0,0,0,0,0,0,0,44.9583333333333,97.9,0,22.0206896551724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62.85,0,20.2444444444444,0,0,0,0,0,0,0,-12.4,0,0,0,0,0,0,0,-6.63736263736264,0,0,0,0,0,0
32.310752688172,20.1966386554622,29.0472370766488,93.1948790896159,-14.0409982174688,0,0,0,0,0,0,0,0,0,0,0,28.9444444444444,0,0,0,21.5689655172414,0,0,-0.524064171122995,0,0,0,0,0,0,0,0,0,-47.4523809523809,0.6,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,12.4,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,-12.1969696969697,0,0,0,0,0,0
34.0917496443812,6.13765182186235,15.1072874493927,-14.0409982174688,154.319238900634,0,0,0,0,0,0,0,0,0,0,0,7.1625,0,0,0,14.7563218390805,0,0,27.4054054054054,0,0,0,0,0,0,0,0,0,0.333333333333333,105.45,0,60.2741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,-4.46212121212121,0,0,0,0,0,0,0,-19.3,0,0,0,0,0,0,0,9.53846153846154,0,0,0,0,0,0
0,0,0,0,0,73.195681511471,0,0,0,0,0,0,0,0,11.5111111111111,20.7047619047619,0,0,0,0,0,0,0,0,0,0,0,-1.78228228228228,0,0,0,35.2,0,0,0,0,0,0,15.5151515151515,8.59243697478992,0,0,0,0,26.2619047619048,0,-16.0833333333333,0,0,0,-17.1111111111111,0,0,0,0,1.12701612903226,0,0,-5.24838709677419,0,13.45,0,0,0,0,0,0,0,4.43230769230769,0,0,2.38181818181818,0,0,0,0
0,0,0,0,0,0,97.2137931034483,2.65669515669516,0,0,0,0,-3.99230769230769,21.295,0,0,0,0,-0.297794117647059,0.619047619047619,0,34.3909090909091,0,0,1.08791208791209,29.4761904761905,0,0,0,0,0,0,-20.3,0,0,-0.0238095238095238,0,-4.12222222222222,0,0,0,0,-1.16666666666667,0,0,0,0,0,0,0,0,0,-3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.75
0,0,0,0,0,0,2.65669515669516,60.890756302521,0,0,0,0,10.2064393939394,28.7512315270936,0,0,0,0,-14.3183333333333,-3.63227513227513,0,-12.5681818181818,0,0,-6.31372549019608,-14.25,0,0,0,0,0,0,20.0833333333333,0,0,2.05,0,20.1964285714286,0,0,0,0,13.7361111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43.5833333333333
0,0,0,0,0,0,0,0,63.4958333333333,19.1,11.1541666666667,22.0320512820513,0,0,0,0,0,13.9909090909091,0,0,0,0,-8.58241758241758,0,0,0,26.8333333333333,0,4.89583333333333,0,11.55,0,0,0,0,0,0,0,0,0,0,-16.1527777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21,0,0.25,0,0,0,0,0,0.95,0,0,0,0,0
0,0,0,0,0,0,0,0,19.1,55.9317496229261,6.02925531914894,1.60353535353535,0,0,0,0,0,13.7322580645161,0,0,0,0,-0.341463414634146,0,0,0,10.6699604743083,0,-5.28486394557823,0,6.11904761904762,0,0,0,0,0,0,0,0,0,0,8.46673387096774,0,0,0,0,0,0,0,7.42036290322581,0,0,0,0,4.16666666666667,0,0,0,0,0,0,0,20.5490196078431,0,1.11111111111111,0,0,0,0,0,-6.43162393162393,0,13,0,0,0
