Rk,ID,Player,Pos,Week,Team,Opp,Pass Yds,TD,Int,Rush Yds,TD,Rec,Yds,TD,Fantasy Points
1,13124,DeMarco Murray,RB,14,DAL,CHI,0,0,0,104,1,4,28,0,26.20
2,4556,Jordy Nelson,WR,14,GB,ATL,0,0,0,0,0,6,104,1,25.40
3,7242,Drew Brees,QB,14,NO,CAR,317,2,0,1,0,0,0,0,23.78
4,11056,Antonio Brown,WR,14,PIT,CIN,0,0,0,0,0,8,97,1,23.70
5,11792,Arian Foster,RB,14,HOU,JAX,0,0,0,99,1,4,37,0,23.60
6,11197,Demaryius Thomas,WR,14,DEN,BUF,0,0,0,0,0,8,95,1,23.50
7,14967,Le'Veon Bell,RB,14,PIT,CIN,0,0,0,74,1,6,34,0,22.80
8,2699,Matt Forte,RB,14,CHI,DAL,0,0,0,78,1,5,38,0,22.60
9,12845,AJ Green,WR,14,CIN,PIT,0,0,0,0,0,7,95,1,22.50
10,13291,Julio Jones,WR,14,ATL,GB,0,0,0,0,0,7,95,1,22.50
11,15020,CJ Anderson,RB,14,DEN,BUF,0,0,0,80,1,5,33,0,22.30
12,6029,Calvin Johnson,WR,14,DET,TB,0,0,0,0,0,7,93,1,22.30
13,7328,Peyton Manning,QB,14,DEN,BUF,304,2,1,0,0,0,0,0,22.16
14,14587,Josh Gordon,WR,14,CLE,IND,0,0,0,0,0,7,91,1,22.10
15,16389,Odell Beckham Jr,WR,14,NYG,TEN,0,0,0,0,0,7,89,1,21.90
16,14005,TY Hilton,WR,14,IND,CLE,0,0,0,5,0,6,92,1,21.70
17,11063,Emmanuel Sanders,WR,14,DEN,BUF,0,0,0,0,0,7,84,1,21.40
18,11488,Jimmy Graham,TE,14,NO,CAR,0,0,0,0,0,7,79,1,20.90
19,11270,Dez Bryant,WR,14,DAL,CHI,0,0,0,0,0,6,88,1,20.80
20,15138,Eddie Lacy,RB,14,GB,ATL,0,0,0,98,1,3,19,0,20.70
21,8914,Jeremy Maclin,WR,14,PHI,SEA,0,0,0,0,0,6,87,1,20.70
22,12386,Marshawn Lynch,RB,14,SEA,PHI,0,0,0,93,1,3,23,0,20.60
23,13227,Randall Cobb,WR,14,GB,ATL,0,0,0,2,0,6,83,1,20.50
24,2593,Aaron Rodgers,QB,14,GB,ATL,273,2,0,15,0,0,0,0,20.42
25,14008,Andrew Luck,QB,14,IND,CLE,282,2,1,21,0,0,0,0,20.38
26,3807,Ben Roethlisberger,QB,14,PIT,CIN,316,1,0,6,0,0,0,0,20.24
27,11611,Golden Tate,WR,14,DET,TB,0,0,0,0,0,6,81,1,20.10
28,15196,Kenny Stills,WR,14,NO,CAR,0,0,0,0,0,6,81,1,20.10
29,16597,Mike Evans,WR,14,TB,DET,0,0,0,0,0,6,81,1,20.10
30,9369,Justin Forsett,RB,14,BAL,MIA,0,0,0,91,1,3,19,0,20
31,14187,Alshon Jeffery,WR,14,CHI,DAL,0,0,0,3,0,6,75,1,19.80
32,8972,Jay Cutler,QB,14,CHI,DAL,285,2,1,13,0,0,0,0,19.70
33,16550,Kelvin Benjamin,WR,14,CAR,NO,0,0,0,0,0,6,77,1,19.70
34,4314,Tom Brady,QB,14,NE,SD,290,2,0,0,0,0,0,0,19.60
35,10974,Rob Gronkowski,TE,14,NE,SD,0,0,0,0,0,6,76,1,19.60
36,8649,Rashad Jennings,RB,14,NYG,TEN,0,0,0,61,1,5,22,0,19.30
37,732,Matt Ryan,QB,14,ATL,GB,317,1,1,6,0,0,0,0,19.28
38,14986,DeAndre Hopkins,WR,14,HOU,JAX,0,0,0,0,0,5,81,1,19.10
39,11712,Anquan Boldin,WR,14,SF,OAK,0,0,0,0,0,6,71,1,19.10
40,13337,Mark Ingram,RB,14,NO,CAR,0,0,0,97,1,2,10,0,18.70
41,2429,Andre Johnson,WR,14,HOU,JAX,0,0,0,0,0,6,67,1,18.70
42,15216,Stedman Bailey,WR,14,LA,WAS,0,0,0,0,0,5,76,1,18.60
43,1181,Martellus Bennett,TE,14,CHI,DAL,0,0,0,0,0,6,66,1,18.60
44,13027,Julius Thomas,TE,14,DEN,BUF,0,0,0,0,0,6,65,1,18.50
45,3867,Tony Romo,QB,14,DAL,CHI,250,2,0,2,0,0,0,0,18.20
46,16020,Jarvis Landry,WR,14,MIA,BAL,0,0,0,0,0,6,60,1,18
47,7175,Delanie Walker,TE,14,TEN,NYG,0,0,0,0,0,6,60,1,18
48,15076,Keenan Allen,WR,14,SD,NE,0,0,0,0,0,5,67,1,17.70
49,11463,Brandon LaFell,WR,14,NE,SD,0,0,0,0,0,5,65,1,17.50
50,14536,Russell Wilson,QB,14,SEA,PHI,218,1,0,46,0,0,0,0,17.32
51,4358,Steve Smith,WR,14,BAL,MIA,0,0,0,0,0,5,62,1,17.20
52,1658,Greg Olsen,TE,14,CAR,NO,0,0,0,0,0,5,62,1,17.20
53,16175,Zach Mettenberger,QB,14,TEN,NYG,216,2,0,3,0,0,0,0,16.94
54,8529,Mike Wallace,WR,14,MIA,BAL,0,0,0,0,0,5,58,1,16.80
55,5571,Larry Fitzgerald,WR,14,ARI,KC,0,0,0,0,0,5,58,1,16.80
56,13799,Ryan Tannehill,QB,14,MIA,BAL,278,1,0,16,0,0,0,0,16.72
57,204,Roddy White,WR,14,ATL,GB,0,0,0,0,0,5,56,1,16.60
58,9331,Michael Crabtree,WR,14,SF,OAK,0,0,0,0,0,5,56,1,16.60
59,13443,Colin Kaepernick,QB,14,SF,OAK,214,1,0,40,0,0,0,0,16.56
60,12323,Joique Bell,RB,14,DET,TB,0,0,0,70,1,2,15,0,16.50
61,722,Jason Witten,TE,14,DAL,CHI,0,0,0,0,0,5,55,1,16.50
62,13320,Cam Newton,QB,14,CAR,NO,246,1,1,35,0,0,0,0,16.34
63,14871,Robert Woods,WR,14,BUF,DEN,0,0,0,0,0,5,53,1,16.30
64,13460,Doug Baldwin,WR,14,SEA,PHI,0,0,0,0,0,5,52,1,16.20
65,8244,Philip Rivers,QB,14,SD,NE,291,1,0,5,0,0,0,0,16.14
