"Place_lo","Place_hi","Payout"
"1","1","50000"
"2","2","20000"
"3","3","10000"
"4","4","7500"
"5","5","5000"
"6","6","4000"
"7","7","3000"
"8","8","2000"
"9","10","1000"
"11","15","700"
"16","20","500"
"21","30","400"
"31","45","300"
"46","60","200"
"61","90","150"
"91","140","100"
"141","240","70"
"241","340","60"
"341","540","50"
"541","740","40"
"741","1040","30"
"1041","1440","20"
"1441","1940","15"
"1941","2440","12"
"2441","3040","10"
"3041","4040","9"
"4041","7040","8"
"7041","12040","7"
"12041","26040","6"
