Week,Fpts.Cash,Fpts.Win
1,,
2,137.32,211.12
3,145.16,223.24
4,,
5,156.06,238.70
6,146.82,226.26
7,121.14,211.48
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
