1,1,1000000
2,2,100000
3,3,40000
4,4,25000
5,5,15000
6,6,10000
7,8,7000
9,10,5000
11,15,4000
16,25,3000
26,35,2000
36,50,1500
51,70,1000
71,100,750
101,150,600
151,200,500
201,300,400
301,400,300
401,500,250
501,700,200
701,1000,150
1001,1500,125
1501,2500,100
2501,3500,75
3501,5500,60
5501,11070,50
11071,21070,45
21071,37570,40
