Week,Fpts.Cash,Fpts.Win
1,,
2,140.12,193.92
3,144.40,210.90
4,144.22,217.40
5,161.90,238.70
6,153.02,227.50
7,162.84,222.64
8,122.82,203.82
9,146.98,220.86
10,,
11,,
12,,
13,,
14,,
15,,
