"player","salary","team","pos","opp","ceil","floor","fpts"
"Jared Goff",4800,"LAR","QB","IND",17.4615,15.7985,16.63
"Russell Wilson",6900,"SEA","QB","GBP",25.9582,22.5618,24.26
"Aaron Rodgers",7000,"GBP","QB","SEA",23.112,20.088,21.6
"Andrew Luck",6500,"IND","QB","LAR",20.3838,18.0762,19.23
"Kirk Cousins",6400,"WAS","QB","PHI",22.9066,20.3134,21.61
"Andy Dalton",5700,"CIN","QB","BAL",18.4496,17.0304,17.74
"Carson Wentz",5300,"PHI","QB","WAS",17.2016,15.8784,16.54
"Cam Newton",7100,"CAR","QB","SFO",23.0338,20.4262,21.73
"Brian Hoyer",5100,"SFO","QB","CAR",18.4101,15.3699,16.89
"Philip Rivers",5800,"LAC","QB","DEN",16.1595,14.6205,15.39
"Trevor Siemian",5000,"DEN","QB","LAC",16.7027,14.5173,15.61
"Sam Bradford",5900,"MIN","QB","NOS",19.1012,16.9388,18.02
"Drew Brees",7200,"NOS","QB","MIN",19.0859,15.9341,17.51
"Eli Manning",5600,"NYG","QB","DAL",18.459,16.701,17.58
"Dak Prescott",6300,"DAL","QB","NYG",19.2921,16.7679,18.03
"Joe Flacco",5500,"BAL","QB","CIN",17.543,15.557,16.55
"Tyrod Taylor",6200,"BUF","QB","NYJ",17.437,15.463,16.45
"Marcus Mariota",6800,"TEN","QB","OAK",22.3995,18.7005,20.55
"Carson Palmer",6000,"ARI","QB","DET",21.4544,19.0256,20.24
"Derek Carr",6700,"OAK","QB","TEN",21.0384,17.9216,19.48
"Jay Cutler",5400,"MIA","QB","TBB",19.089,17.271,18.18
"Tom Brady",7600,"NEP","QB","KCC",26.5895,23.1105,24.85
"Jameis Winston",6600,"TBB","QB","MIA",24.221,21.479,22.85
"Matthew Stafford",6100,"DET","QB","ARI",19.2602,17.0798,18.17
"Matt Ryan",6900,"ATL","QB","CHI",20.5428,18.2172,19.38
"Tom Savage",4800,"HOU","QB","JAC",14.1855,12.8345,13.51
"Josh McCown",4600,"NYJ","QB","BUF",15.0228,12.7972,13.91
"Blake Bortles",4800,"JAC","QB","HOU",18.7806,14.4594,16.62
"DeShone Kizer",4800,"CLE","QB","PIT",NA,NA,14.7
"Mike Glennon",4900,"CHI","QB","ATL",NA,NA,14
"Ben Roethlisberger",7300,"PIT","QB","CLE",26.1382,21.8218,23.98
"Alex Smith",5400,"KCC","QB","NEP",18.3698,16.2902,17.33
"Pharoh Cooper",3100,"LAR","WR","IND",1.1817,1.1583,1.17
"Cooper Kupp",3700,"LAR","WR","IND",NA,NA,11.13
"Tavon Austin",3800,"LAR","WR","IND",7.3034,6.4766,6.89
"Tyler Higbee",2600,"LAR","TE","IND",6.3954,6.1446,6.27
"Gerald Everett",2500,"LAR","TE","IND",NA,NA,5.2
"Thomas Rawls",4800,"SEA","RB","GBP",7.992,6.808,7.4
"Eddie Lacy",5000,"SEA","RB","GBP",5.7324,5.5076,5.62
"Robert Woods",4000,"LAR","WR","IND",9.1372,8.1028,8.62
"Sammy Watkins",6200,"LAR","WR","IND",17.2152,14.6648,15.94
"Phillip Dorsett",3300,"IND","WR","LAR",1.7888,1.6512,1.72
"Chester Rogers",3000,"IND","WR","LAR",7.7559,7.3041,7.53
"Donte Moncrief",5000,"IND","WR","LAR",13.398,12.122,12.76
"Kamar Aiken",3500,"IND","WR","LAR",1.7098,1.6102,1.66
"Jack Doyle",3700,"IND","TE","LAR",9.9645,9.0155,9.49
"Malcolm Brown",3900,"LAR","RB","IND",2.7775,2.7225,2.75
"Todd Gurley",6000,"LAR","RB","IND",20.0445,18.1355,19.09
"C.J. Prosise",4100,"SEA","RB","GBP",9.126,7.774,8.45
"Doug Baldwin",6700,"SEA","WR","GBP",20.4768,17.4432,18.96
"Jeff Janis",3600,"GBP","WR","SEA",1.5965,1.5035,1.55
"Geronimo Allison",3000,"GBP","WR","SEA",1.5476,1.3724,1.46
"Randall Cobb",5300,"GBP","WR","SEA",12.906,10.994,11.95
"Martellus Bennett",4100,"GBP","TE","SEA",8.7372,7.4428,8.09
"Lance Kendricks",2500,"GBP","TE","SEA",3.1304,2.8896,3.01
"Jonathan Stewart",5000,"CAR","RB","SFO",9.9296,8.6304,9.28
"Christian McCaffrey",5400,"CAR","RB","SFO",NA,NA,16.61
"Davante Adams",5200,"GBP","WR","SEA",14.6124,12.4476,13.53
"Jordy Nelson",7600,"GBP","WR","SEA",19.2564,16.4036,17.83
"Jermaine Kearse",3400,"SEA","WR","GBP",2.9664,2.7936,2.88
"Paul Richardson",3700,"SEA","WR","GBP",9.3184,8.6016,8.96
"Tyler Lockett",4400,"SEA","WR","GBP",12.5083,10.8717,11.69
"Jimmy Graham",5100,"SEA","TE","GBP",15.8894,14.0906,14.99
"Luke Willson",2500,"SEA","TE","GBP",1.6068,1.5132,1.56
"Jamaal Williams",3900,"GBP","RB","SEA",NA,NA,3.85
"Ty Montgomery",5800,"GBP","RB","SEA",16.35,13.65,15
"T.Y. Hilton",6900,"IND","WR","LAR",20.3256,17.3144,18.82
"Marlon Mack",3400,"IND","RB","LAR",NA,NA,1.05
"Tyler Kroft",2500,"CIN","TE","BAL",1.1628,1.1172,1.14
"Tyler Eifert",4600,"CIN","TE","BAL",10.1736,8.6664,9.42
"John Ross",3300,"CIN","WR","BAL",NA,NA,3.75
"Darren Sproles",3900,"PHI","RB","WAS",9.9645,9.0155,9.49
"LeGarrette Blount",4500,"PHI","RB","WAS",11.3844,10.0956,10.74
"Alshon Jeffery",5800,"PHI","WR","WAS",14.9835,13.5565,14.27
"Wendell Smallwood",3800,"PHI","RB","WAS",4.935,4.465,4.7
"Tyler Boyd",3600,"CIN","WR","BAL",7.3008,6.7392,7.02
"Brandon LaFell",3700,"CIN","WR","BAL",11.1708,9.7092,10.44
"Benjamin Watson",2800,"BAL","TE","CIN",NA,NA,4.23
"Chris Moore",3000,"BAL","WR","CIN",0.9393,0.9207,0.93
"Michael Campanaro",3000,"BAL","WR","CIN",3.535,3.465,3.5
"Joe Mixon",5500,"CIN","RB","BAL",NA,NA,9.95
"Jeremy Hill",4400,"CIN","RB","BAL",7.4044,6.4356,6.92
"A.J. Green",8000,"CIN","WR","BAL",25.278,20.682,22.98
"Giovani Bernard",4500,"CIN","RB","BAL",7.35,6.65,7
"Torrey Smith",3700,"PHI","WR","WAS",10.1535,9.1865,9.67
"Nelson Agholor",3800,"PHI","WR","WAS",8.7464,8.0736,8.41
"Brian Quick",3100,"WAS","WR","PHI",1.2705,1.1495,1.21
"Josh Doctson",3500,"WAS","WR","PHI",9.6511,9.0889,9.37
"Jamison Crowder",5600,"WAS","WR","PHI",17.8822,15.8578,16.87
"Jordan Reed",5900,"WAS","TE","PHI",15.5844,13.2756,14.43
"Vernon Davis",3000,"WAS","TE","PHI",1.7115,1.5485,1.63
"Robert Turbin",4000,"IND","RB","LAR",5.3664,4.9536,5.16
"Frank Gore",4300,"IND","RB","LAR",13.8112,12.7488,13.28
"Terrelle Pryor",6100,"WAS","WR","PHI",16.3173,13.6227,14.97
"Samaje Perine",4200,"WAS","RB","PHI",NA,NA,2.43
"Bryce Treggs",3000,"PHI","WR","WAS",1.0403,0.9797,1.01
"Mack Hollins",3000,"PHI","WR","WAS",NA,NA,3.77
"Zach Ertz",3500,"PHI","TE","WAS",10.5948,9.0252,9.81
"Brent Celek",2500,"PHI","TE","WAS",2.142,2.058,2.1
"Chris Thompson",3700,"WAS","RB","PHI",9.0376,8.3424,8.69
"Robert Kelley",4300,"WAS","RB","PHI",12.8628,10.9572,11.91
"Fozzy Whittaker",3700,"CAR","RB","SFO",0.6552,0.6048,0.63
"Kelvin Benjamin",5900,"CAR","WR","SFO",16.2533,14.1267,15.19
"Adam Thielen",4800,"MIN","WR","NOS",17.222,14.378,15.8
"Stefon Diggs",6000,"MIN","WR","NOS",16.3944,13.9656,15.18
"Jerick McKinnon",3200,"MIN","RB","NOS",1.8083,1.5717,1.69
"Laquon Treadwell",3500,"MIN","WR","NOS",6.8276,6.6924,6.76
"Jarius Wright",3000,"MIN","WR","NOS",4.368,3.952,4.16
"David Morgan",2500,"MIN","TE","NOS",NA,NA,1.3
"Kyle Rudolph",4700,"MIN","TE","NOS",9.702,8.778,9.24
"Latavius Murray",4200,"MIN","RB","NOS",8.0244,6.8356,7.43
"Dalvin Cook",5900,"MIN","RB","NOS",NA,NA,17.26
"Ted Ginn",4200,"NOS","WR","MIN",NA,NA,11.32
"Michael Thomas",7400,"NOS","WR","MIN",17.985,15.015,16.5
"Alvin Kamara",3500,"NOS","RB","MIN",NA,NA,4.69
"Brandon Coleman",3300,"NOS","WR","MIN",2.5029,2.3571,2.43
"Tommylee Lewis",3000,"NOS","WR","MIN",1.2342,1.1858,1.21
"Josh Hill",2500,"NOS","TE","MIN",1.4144,1.3056,1.36
"Coby Fleener",2900,"NOS","TE","MIN",6.413,5.687,6.05
"Melvin Gordon",6600,"LAC","RB","DEN",NA,NA,16.62
"Branden Oliver",4000,"LAC","RB","DEN",NA,NA,2.84
"Emmanuel Sanders",5200,"DEN","WR","LAC",14.1048,12.0152,13.06
"Demaryius Thomas",6300,"DEN","WR","LAC",16.4745,14.9055,15.69
"Jamaal Charles",4200,"DEN","RB","LAC",7.5649,6.5751,7.07
"Carlos Henderson",3000,"DEN","WR","LAC",NA,NA,5.94
"Bennie Fowler",3000,"DEN","WR","LAC",3.068,2.832,2.95
"Virgil Green",2700,"DEN","TE","LAC",5.5929,5.2671,5.43
"Jordan Taylor",3000,"DEN","WR","LAC",1.4935,1.4065,1.45
"Devontae Booker",3500,"DEN","RB","LAC",3.4662,3.0738,3.27
"C.J. Anderson",4600,"DEN","RB","LAC",13.4676,11.4724,12.47
"Tyrell Williams",4900,"LAC","WR","DEN",12.2748,10.8852,11.58
"Keenan Allen",6100,"LAC","WR","DEN",NA,NA,13.75
"Travis Benjamin",3400,"LAC","WR","DEN",9.1378,7.9422,8.54
"Dontrelle Inman",3500,"LAC","WR","DEN",3.4989,3.0411,3.27
"Antonio Gates",3000,"LAC","TE","DEN",4.6725,4.2275,4.45
"Hunter Henry",3400,"LAC","TE","DEN",8.9145,8.0655,8.49
"Adrian Peterson",4500,"NOS","RB","MIN",9.6657,9.4743,9.57
"Mark Ingram",4800,"NOS","RB","MIN",14.3662,11.9938,13.18
"Vance McDonald",2800,"CAR","TE","SFO",5.292,4.788,5.04
"Aldrick Robinson",3300,"SFO","WR","CAR",3.78,3.42,3.6
"Jeremy Kerley",3800,"SFO","WR","CAR",10.0912,8.9488,9.52
"Garrett Celek",2600,"SFO","TE","CAR",2.5688,2.3712,2.47
"Paul Perkins",4300,"NYG","RB","DAL",10.0674,9.6726,9.87
"Orleans Darkwa",3100,"NYG","RB","DAL",2.9574,2.6226,2.79
"Shane Vereen",3800,"NYG","RB","DAL",8.316,7.524,7.92
"Marquise Goodwin",3200,"SFO","WR","CAR",11.8614,10.5186,11.19
"Pierre Garcon",5300,"SFO","WR","CAR",17.8776,16.5024,17.19
"Russell Shepard",3300,"CAR","WR","SFO",7.436,6.864,7.15
"Curtis Samuel",3600,"CAR","WR","SFO",NA,NA,3.29
"Devin Funchess",4300,"CAR","WR","SFO",12.8232,11.8368,12.33
"Greg Olsen",6200,"CAR","TE","SFO",15.7622,13.9778,14.87
"Ed Dickson",2500,"CAR","TE","SFO",1.2875,1.2125,1.25
"Kyle Juszczyk",3000,"SFO","RB","CAR",6.7259,6.3341,6.53
"Carlos Hyde",4600,"SFO","RB","CAR",16.1244,13.7356,14.93
"Odell Beckham",8300,"NYG","WR","DAL",NA,NA,0
"Brandon Marshall",5100,"NYG","WR","DAL",14.6174,12.9626,13.79
"Cole Beasley",4700,"DAL","WR","NYG",11.5856,10.6944,11.14
"Terrance Williams",3800,"DAL","WR","NYG",8.4864,7.8336,8.16
"Dez Bryant",7500,"DAL","WR","NYG",16.313,13.347,14.83
"Brice Butler",3000,"DAL","WR","NYG",3.5984,3.3216,3.46
"Ryan Switzer",3000,"DAL","WR","NYG",NA,NA,0.98
"Geoff Swaim",2500,"DAL","TE","NYG",1.428,1.372,1.4
"Jason Witten",3900,"DAL","TE","NYG",9.7755,8.8445,9.31
"Rod Smith",3900,"DAL","RB","NYG",0.9292,0.9108,0.92
"Alfred Morris",4400,"DAL","RB","NYG",4.635,4.365,4.5
"Roger Lewis",3300,"NYG","WR","DAL",2.2672,2.0928,2.18
"Sterling Shepard",4100,"NYG","WR","DAL",10.1745,9.2055,9.69
"Dwayne Harris",3000,"NYG","WR","DAL",1.0918,1.0282,1.06
"Evan Engram",2900,"NYG","TE","DAL",NA,NA,6.48
"Darren McFadden",6100,"DAL","RB","NYG",14.1474,13.5926,13.87
"Will Tye",2600,"NYG","TE","DAL",2.4888,2.3912,2.44
"Jeremy Maclin",5000,"BAL","WR","CIN",18.148,16.752,17.45
"Breshad Perriman",3500,"BAL","WR","CIN",8.3096,7.6704,7.99
"Corey Davis",4000,"TEN","WR","OAK",NA,NA,7.8
"Rishard Matthews",4200,"TEN","WR","OAK",12.402,10.998,11.7
"Derrick Henry",5500,"TEN","RB","OAK",8.8934,7.8866,8.39
"Eric Decker",5000,"TEN","WR","OAK",18.4755,15.4245,16.95
