"Yoenis Cespedes_NYM","Evan Longoria_TB","Matt Holliday_NYY","Curtis Granderson_NYM","Brett Gardner_NYY","Brad Miller_TB","Jacoby Ellsbury_NYY","Aaron Judge_NYY","Steven Souza_TB","Asdrubal Cabrera_NYM","Kevin Kiermaier_TB","Lucas Duda_NYM","Neil Walker_NYM","Jay Bruce_NYM","Starlin Castro_NYY","Corey Dickerson_TB","Logan Morrison_TB","Jose Reyes_NYM","Chase Headley_NYY","Tim Beckham_TB","Travis d'Arnaud_NYM","Derek Norris_TB","Ronald Torreyes_NYY"
196.461538461538,0,0,39.2727272727273,0,0,0,0,0,62.0384615384615,0,148.944444444444,14.6153846153846,-28.1538461538462,0,0,0,14.6363636363636,0,0,187.211111111111,0,0
0,47.3809523809524,0,0,0,8.25,0,0,9.21428571428571,0,26.8571428571429,0,0,0,0,1.18181818181818,23.6363636363636,0,0,-9.28571428571429,0,-4.8030303030303,0
0,0,62.5454545454545,0,61.4444444444444,0,-10.9090909090909,16.8909090909091,0,0,0,0,0,0,3,0,0,0,-13.5818181818182,0,0,0,0.733333333333333
0,0,0,40.4175824175824,0,0,0,0,0,27.4166666666667,0,49.6785714285714,-3.09615384615385,-21.9807692307692,0,0,0,0,0,0,47.1428571428571,0,0
0,0,0,0,54.75,0,-10.4090909090909,-0.888888888888889,0,0,0,0,0,0,2.15909090909091,0,0,0,-14.7818181818182,0,0,0,-6.79545454545455
0,0,0,0,0,70.8333333333333,0,0,46.9166666666667,0,7.25,0,0,0,0,-1.00909090909091,39.7333333333333,0,0,12.6666666666667,0,-2.54444444444444,0
0,0,0,0,0,0,39.5428571428571,-16.5705128205128,0,0,0,0,0,0,-11.5142857142857,0,0,0,-1.04945054945055,0,0,0,-4.38461538461539
0,0,0,0,0,0,0,86.0641025641026,0,0,0,0,0,0,27.7628205128205,0,0,0,16.9393939393939,0,0,0,12.3181818181818
0,0,0,0,0,0,0,0,41.0285714285714,0,-5.35714285714286,0,0,0,0,2.27272727272727,15.7090909090909,0,0,-7.13186813186813,0,2.83333333333333,0
0,0,0,0,0,0,0,0,0,69.1428571428571,0,76.8611111111111,0,0.737179487179487,0,0,0,0,0,0,51.7083333333333,0,0
0,0,0,0,0,0,0,0,0,0,56.2857142857143,0,0,0,0,6.60606060606061,1.03636363636364,0,0,25.6153846153846,0,3.33333333333333,0
0,0,0,0,0,0,0,0,0,0,0,139.377777777778,0,-52.6888888888889,0,0,0,0,0,0,103.857142857143,0,0
0,0,0,0,0,0,0,0,0,22.6666666666667,0,24.9861111111111,33.1714285714286,-17.3241758241758,0,0,0,0,0,0,28.2444444444444,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,141.352380952381,0,0,0,0,0,0,-45.4222222222222,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.8380952380952,0,0,0,9.46153846153846,0,0,0,-8.75641025641026
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5151515151515,-9,0,0,-7.30909090909091,0,8.38888888888889,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.2909090909091,0,0,5.46666666666667,0,-8.36111111111111,0
0,0,0,-4.79545454545455,0,0,0,0,0,5.90909090909091,0,28.875,13.7179487179487,-13.775641025641,0,0,0,10.5934065934066,0,0,17.4821428571429,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.532967032967,0,0,0,15.9393939393939
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.956043956044,0,9.16666666666667,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.877777777778,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8787878787879,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1923076923077
