"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Actual_fpts"
"SP","Jacob deGrom",10600,"NYM@MIA 07:10PM ET",11.467,"NYM","MIA",21.3,20.2,18.5755,16,34.75
"SP","Kenta Maeda",10000,"ARI@LAD 09:10PM ET",11.05,"LAD","ARI",20.11,19,19.9,14.4,8
"SP","James Paxton",9600,"TEX@SEA 09:10PM ET",26.925,"SEA","TEX",19.61,17.3,18.153,15.4,38.2
"SP","Matt Shoemaker",8900,"LAA@KC 07:15PM ET",2.7,"LAA","KC",17.06,14.7,14.462,14.6,17.8
"SP","Nate Karns",7300,"LAA@KC 07:15PM ET",3.225,"KC","LAA",13.7,12.3,NA,NA,14.5
"SP","Clayton Richard",7200,"SD@ATL 07:10PM ET",17.25,"SD","ATL",12.49,11.2,10.604,7.4,2.9
"SP","RA Dickey",7100,"SD@ATL 07:10PM ET",6.95,"ATL","SD",11.38,15.4,13.918,12,20.1
"SP","Adam Conley",6900,"NYM@MIA 07:10PM ET",11.95,"MIA","NYM",14.35,14.9,12.939,10.9,7.9
"SP","Andrew Cashner",6700,"TEX@SEA 09:10PM ET",0,"TEX","SEA",13.22,11.7,12.606,8.3,5.2
"SP","Patrick Corbin",6500,"ARI@LAD 09:10PM ET",10.75,"ARI","LAD",15.71,14.2,13.601,10.4,6.3
