"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Stephen Strasburg","German Marquez","Yasmani Grandal","Matt Adams","Brandon Phillips","Nicholas Castellanos","Corey Seager","Matt Kemp","Ender Inciarte","Nick Markakis"
"2","Clayton Kershaw","Michael Fulmer","Yasmani Grandal","Miguel Cabrera","Dixon Machado","Nicholas Castellanos","Jose Iglesias","Giancarlo Stanton","Andrew Benintendi","Mikie Mahtook"
"3","Stephen Strasburg","German Marquez","Yasmani Grandal","Chris Davis","Brandon Phillips","Manny Machado","Corey Seager","Adam Jones","Mark Trumbo","Seth Smith"
"4","Clayton Kershaw","Michael Fulmer","Tyler Flowers","Matt Adams","Brandon Phillips","Maikel Franco","Corey Seager","Matt Kemp","Nick Markakis","Kole Calhoun"
"5","Clayton Kershaw","Michael Fulmer","Yasmani Grandal","Tommy Joseph","Cesar Hernandez","Maikel Franco","Corey Seager","Aaron Altherr","Howie Kendrick","Denard Span"
"6","Clayton Kershaw","Michael Fulmer","Salvador Perez","Eric Hosmer","Joe Panik","Mike Moustakas","Alcides Escobar","Giancarlo Stanton","Lorenzo Cain","Denard Span"
"7","Stephen Strasburg","Michael Pineda","Salvador Perez","Eric Hosmer","Brandon Phillips","Mike Moustakas","Corey Seager","Jorge Bonifacio","Lorenzo Cain","Denard Span"
"8","Clayton Kershaw","Michael Fulmer","Caleb Joseph","Adrian Gonzalez","Joe Panik","Manny Machado","Corey Seager","Adam Jones","Mark Trumbo","Seth Smith"
"9","Clayton Kershaw","Michael Fulmer","Yasmani Grandal","Chris Davis","Jonathan Schoop","Manny Machado","Alcides Escobar","Adam Jones","Mark Trumbo","Kole Calhoun"
"10","Clayton Kershaw","Michael Fulmer","Salvador Perez","Eric Hosmer","Jason Kipnis","Nicholas Castellanos","Corey Seager","Jorge Bonifacio","Brandon Moss","Lorenzo Cain"
"11","Stephen Strasburg","Michael Pineda","Tyler Flowers","Matt Adams","Brandon Phillips","Manny Machado","Brandon Crawford","Matt Kemp","Nick Markakis","Denard Span"
"12","Clayton Kershaw","Michael Pineda","Yasmani Grandal","Miguel Cabrera","Whit Merrifield","Mike Moustakas","Alcides Escobar","Andrew Benintendi","Lorenzo Cain","Alex Gordon"
"13","Clayton Kershaw","Stephen Strasburg","Salvador Perez","John Hicks","Dixon Machado","Nicholas Castellanos","Jose Iglesias","Lorenzo Cain","Denard Span","Mikie Mahtook"
"14","Stephen Strasburg","Michael Fulmer","Salvador Perez","Chris Davis","Jonathan Schoop","Manny Machado","Corey Seager","Mark Trumbo","Denard Span","Hyun Soo Kim"
"15","Stephen Strasburg","German Marquez","Sandy Leon","Miguel Cabrera","Josh Rutledge","Pablo Sandoval","Corey Seager","Mookie Betts","Andrew Benintendi","Kole Calhoun"
"16","Clayton Kershaw","Michael Pineda","Yasmani Grandal","John Hicks","Dixon Machado","Manny Machado","Jose Iglesias","Mookie Betts","Justin Upton","Mikie Mahtook"
"17","Stephen Strasburg","German Marquez","Salvador Perez","Eric Hosmer","Cesar Hernandez","Mike Moustakas","Alcides Escobar","Mookie Betts","Andrew Benintendi","Lorenzo Cain"
"18","Clayton Kershaw","Jake Odorizzi","Salvador Perez","Matt Adams","Brandon Phillips","Manny Machado","Allen Cordoba","Matt Kemp","Ender Inciarte","Nick Markakis"
"19","Michael Pineda","Michael Fulmer","JT Realmuto","Miguel Cabrera","Dee Gordon","Nicholas Castellanos","Corey Seager","Giancarlo Stanton","Marcell Ozuna","Christian Yelich"
"20","Stephen Strasburg","German Marquez","Gary Sanchez","Miguel Cabrera","Dixon Machado","Nicholas Castellanos","Jose Iglesias","Mookie Betts","Billy Hamilton","Mikie Mahtook"
