"Jose Altuve_HOU","George Springer_HOU","Carlos Correa_HOU","Giancarlo Stanton_MIA","Justin Bour_MIA","Marcell Ozuna_MIA","Marwin Gonzalez_HOU","Carlos Beltran_HOU","Christian Yelich_MIA","Kris Bryant_CHC","Josh Reddick_HOU","Whit Merrifield_KC","Anthony Rizzo_CHC","Alex Bregman_HOU","Mike Moustakas_KC","Evan Gattis_HOU","Dee Gordon_MIA","Eric Hosmer_KC","Javier Baez_CHC","Lorenzo Cain_KC","Ben Zobrist_CHC","JT Realmuto_MIA","Brian McCann_HOU","Jorge Bonifacio_KC","Kyle Schwarber_CHC","Jorge Soler_KC","Willson Contreras_CHC","Ian Happ_CHC","Yuli Gurriel_HOU","Martin Prado_MIA","Derek Fisher_HOU","Jason Heyward_CHC","Brandon Moss_KC","Paulo Orlando_KC","Billy Burns_KC","Cheslor Cuthbert_KC","Jake Marisnick_HOU","Norichika Aoki_HOU","Salvador Perez_KC","Miguel Montero_CHC","Derek Dietrich_MIA","Addison Russell_CHC","Ryan O'Hearn_KC","Jon Jay_CHC","Destin Hood_MIA","Jeimer Candelario_CHC","Albert Almora_CHC","Terrance Gore_KC","Ichiro Suzuki_MIA","Tyler Moore_MIA","Tomas Telis_MIA","Tommy La Stella_CHC","Christian Colon_MIA","Steve Lombardozzi_MIA","Adeiny Hechavarria_MIA","JT Riddle_MIA","Alex Gordon_KC","Raul Mondesi_KC","AJ Ellis_MIA","Mike Aviles_MIA","Alcides Escobar_KC","Juan Centeno_HOU","Tony Kemp_HOU","Miguel Rojas_MIA","Drew Butera_KC","Eloy Jimenez_CHC"
51,47,45,0,0,0,32,42,0,0,40,0,0,46,0,30,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
47,47,41,0,0,0,30,39,0,0,36,0,0,43,0,28,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
45,41,47,0,0,0,28,39,0,0,37,0,0,42,0,28,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,17,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,44,49,0,0,49,0,0,0,0,0,0,0,45,0,0,0,0,41,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,4,3,0,0,5,0,16,21,0,0,9,0,0,0,0,14,0,0
0,0,0,44,46,46,0,0,46,0,0,0,0,0,0,0,42,0,0,0,0,39,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,6,0,0,0,5,0,15,19,0,0,8,0,0,0,0,12,0,0
0,0,0,49,46,51,0,0,51,0,0,0,0,0,0,0,47,0,0,0,0,42,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,6,3,0,0,5,0,16,22,0,0,10,0,0,0,0,15,0,0
32,30,28,0,0,0,34,25,0,0,24,0,0,29,0,22,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
42,39,39,0,0,0,25,43,0,0,34,0,0,39,0,22,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,49,46,51,0,0,51,0,0,0,0,0,0,0,47,0,0,0,0,42,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,6,3,0,0,5,0,16,22,0,0,10,0,0,0,0,15,0,0
0,0,0,0,0,0,0,0,0,48,0,0,47,0,0,0,0,0,33,0,36,0,0,0,40,0,32,15,0,0,0,38,0,0,0,0,0,0,0,16,0,41,0,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,36,37,0,0,0,24,34,0,0,42,0,0,38,0,23,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,9,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,37,0,0,32,0,0,37,0,35,0,0,0,29,0,14,0,0,0,0,0,0,23,0,0,11,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,37,0,0,0,11,0
0,0,0,0,0,0,0,0,0,47,0,0,50,0,0,0,0,0,35,0,37,0,0,0,42,0,34,17,0,0,0,38,0,0,0,0,0,0,0,16,0,42,0,16,0,3,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,43,42,0,0,0,29,39,0,0,38,0,0,48,0,30,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,32,0,0,44,0,0,44,0,42,0,0,0,28,0,13,0,0,0,0,0,0,35,9,0,8,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,44,0,0,0,7,0
30,28,28,0,0,0,22,22,0,0,23,0,0,30,0,32,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,14,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,45,42,47,0,0,47,0,0,0,0,0,0,0,47,0,0,0,0,38,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,5,3,0,0,4,0,13,21,0,0,10,0,0,0,0,13,0,0
0,0,0,0,0,0,0,0,0,0,0,37,0,0,44,0,0,51,0,49,0,0,0,31,0,15,0,0,0,0,0,0,35,11,0,15,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,10,0,0,51,0,0,0,13,0
0,0,0,0,0,0,0,0,0,33,0,0,35,0,0,0,0,0,36,0,23,0,0,0,28,0,27,11,0,0,0,24,0,0,0,0,0,0,0,9,0,27,0,8,0,3,17,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,35,0,0,42,0,0,49,0,49,0,0,0,29,0,14,0,0,0,0,0,0,34,11,0,13,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,10,0,0,49,0,0,0,12,0
0,0,0,0,0,0,0,0,0,36,0,0,37,0,0,0,0,0,23,0,37,0,0,0,33,0,25,11,0,0,0,30,0,0,0,0,0,0,0,12,0,30,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,41,39,42,0,0,42,0,0,0,0,0,0,0,38,0,0,0,0,42,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,5,2,0,0,5,0,14,18,0,0,0,0,0,0,0,11,0,0
29,25,29,0,0,0,20,25,0,0,27,0,0,27,0,11,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,29,0,0,28,0,0,31,0,29,0,0,0,31,0,10,0,0,0,0,0,0,20,0,0,8,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,31,0,0,0,7,0
0,0,0,0,0,0,0,0,0,40,0,0,42,0,0,0,0,0,28,0,33,0,0,0,43,0,28,13,0,0,0,34,0,0,0,0,0,0,0,15,0,34,0,15,0,3,14,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,14,0,0,13,0,0,15,0,14,0,0,0,10,0,15,0,0,0,0,0,0,7,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,15,0,0,0,5,0
0,0,0,0,0,0,0,0,0,32,0,0,34,0,0,0,0,0,27,0,25,0,0,0,28,0,34,10,0,0,0,25,0,0,0,0,0,0,0,0,0,28,0,9,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,15,0,0,17,0,0,0,0,0,11,0,11,0,0,0,13,0,10,17,0,0,0,11,0,0,0,0,0,0,0,7,0,12,0,3,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15,14,15,0,0,15,0,0,0,0,0,0,0,13,0,0,0,0,14,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,38,0,0,38,0,0,0,0,0,24,0,30,0,0,0,34,0,25,11,0,0,0,38,0,0,0,0,0,0,0,13,0,33,0,11,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,23,0,0,35,0,0,35,0,34,0,0,0,20,0,7,0,0,0,0,0,0,35,8,0,4,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,10,0,0,35,0,0,0,5,0
