"Mookie Betts_BOS","Hanley Ramirez_BOS","Ryan Braun_MIL","Eric Thames_MIL","Xander Bogaerts_BOS","Andrew Benintendi_BOS","Jonathan Villar_MIL","Corey Dickerson_TB","Dustin Pedroia_BOS","Keon Broxton_MIL","Brad Miller_TB","Jackie Bradley_BOS","Mitch Moreland_BOS","Evan Longoria_TB","Eric Hosmer_KC","Mike Moustakas_KC","Lorenzo Cain_KC","Salvador Perez_KC","Hernan Perez_MIL","Travis Shaw_MIL","Colby Rasmus_TB","Pablo Sandoval_BOS","Domingo Santana_MIL","Alex Gordon_KC","Logan Morrison_TB","Chris Young_BOS","Steven Souza_TB","Kevin Kiermaier_TB","Tim Beckham_TB","Brock Holt_BOS","Sandy Leon_BOS","Wilson Ramos_TB","Jorge Soler_KC","Orlando Arcia_MIL","Whit Merrifield_KC","Nick Franklin_MIL","Christian Vazquez_BOS","Jett Bandy_MIL","Brandon Moss_KC","Matt Duffy_TB","Rickie Weeks_TB","Daniel Robertson_TB","Jesus Aguilar_MIL","Billy Burns_KC","Manny Pina_MIL","Mallex Smith_TB","Peter O'Brien_KC","Derek Norris_TB","Kirk Nieuwenhuis_MIL","Chase d'Arnaud_BOS","Andrew Susac_MIL","Steve Selsky_BOS","Marco Hernandez_BOS","Alcides Escobar_KC","Cheslor Cuthbert_KC","Jake Bauers_TB","Jorge Bonifacio_KC","Paulo Orlando_KC","Jesus Sucre_TB","Deven Marrero_BOS","Josh Rutledge_BOS","Peter Bourjos_TB","Raul Mondesi_KC","Curt Casali_TB","Ryan O'Hearn_KC","Terrance Gore_KC","Christian Colon_KC","Shane Peterson_TB","Drew Butera_KC"
27,24,0,0,24,26,0,0,23,0,0,14,26,0,0,0,0,0,0,0,0,13,0,0,0,13,0,0,0,2,14,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
24,25,0,0,24,24,0,0,21,0,0,15,24,0,0,0,0,0,0,0,0,12,0,0,0,11,0,0,0,0,12,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,25,22,0,0,23,0,0,19,0,0,0,0,0,0,0,0,14,22,0,0,20,0,0,0,0,0,0,0,0,0,0,22,0,2,0,12,0,0,0,0,4,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,29,0,0,27,0,0,22,0,0,0,0,0,0,0,0,17,26,0,0,21,0,0,0,0,0,0,0,0,0,0,26,0,5,0,16,0,0,0,0,3,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,25,24,0,0,21,0,0,14,24,0,0,0,0,0,0,0,0,11,0,0,0,12,0,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
26,24,0,0,24,28,0,0,25,0,0,15,27,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,3,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,0,23,27,0,0,30,0,0,23,0,0,0,0,0,0,0,0,17,27,0,0,23,0,0,0,0,0,0,0,0,0,0,27,0,4,0,16,0,0,0,0,6,0,14,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,28,0,0,25,0,0,26,0,0,0,0,0,0,5,0,0,0,23,0,24,26,24,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,9,0
23,21,0,0,21,25,0,0,25,0,0,13,24,0,0,0,0,0,0,0,0,12,0,0,0,13,0,0,0,3,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,19,22,0,0,23,0,0,24,0,0,0,0,0,0,0,0,12,21,0,0,20,0,0,0,0,0,0,0,0,0,0,22,0,2,0,13,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
