"Anthony Rizzo_CHC","Josh Donaldson_TOR","Kris Bryant_CHC","Ryan Braun_MIL","Eric Thames_MIL","Justin Smoak_TOR","Starling Marte_PIT","Travis Shaw_MIL","Adam Frazier_PIT","Shin-Soo Choo_TEX","Wil Myers_SD","Hernan Perez_MIL","Josh Bell_PIT","Andrew McCutchen_PIT","Keon Broxton_MIL","Devon Travis_TOR","Yangervis Solarte_SD","Jonathan Villar_MIL","Elvis Andrus_TEX","Rougned Odor_TEX","Ben Zobrist_CHC","Steve Pearce_TOR","Willson Contreras_CHC","Hunter Renfroe_SD","Josh Harrison_PIT","Domingo Santana_MIL","Russell Martin_TOR","Kendrys Morales_TOR","Ian Happ_CHC","Adrian Beltre_TEX","Jose Bautista_TOR","Carlos Gomez_TEX","Delino DeShields_TEX","Kevin Pillar_TOR","Addison Russell_CHC","Nomar Mazara_TEX","Jose Pirela_SD","Eric Sogard_MIL","Robinson Chirinos_TEX","Joey Gallo_TEX","Jason Heyward_CHC","Jordy Mercer_PIT","Jesus Aguilar_MIL","Brett Phillips_MIL","Kyle Schwarber_CHC","Manny Pina_MIL","David Freese_PIT","Troy Tulowitzki_TOR","Jon Jay_CHC","Ryan Schimpf_SD","Franchy Cordero_SD","Nick Franklin_MIL","Gregory Polanco_PIT","Mike Napoli_TEX","Dalton Pompey_TOR","Rowdy Tellez_TOR","John Jaso_PIT","Jose Osuna_PIT","Michael Reed_MIL","Lewis Brinson_MIL","Jurickson Profar_TEX","Manuel Margot_SD","Francisco Cervelli_PIT","Kirk Nieuwenhuis_MIL","Andrew Susac_MIL","Elias Diaz_PIT","Ryan Cordell_MIL","Jarrod Saltalamacchia_TOR","Jonathan Lucroy_TEX","Ezequiel Carrera_TOR","Miguel Montero_CHC","Alex Dickerson_SD","Javier Baez_CHC","Austin Hedges_SD","Danny Ortiz_PIT","Kevin Newman_PIT","Darrell Ceciliani_TOR","Jeimer Candelario_CHC","Albert Almora_CHC","Mark Zagunis_CHC","Jacob Stallings_PIT","Orlando Arcia_MIL","Chris Coghlan_TOR","Pete Kozma_TEX","Ryan Goins_TOR","Brett Nicholas_TEX","Anthony Alford_TOR","Cory Spangenberg_SD","Allen Cordoba_SD","Jacob Nottingham_MIL","Dwight Smith_TOR","Ryan Rua_TEX","Andy Ibanez_TEX","Travis Jankowski_SD","Tommy La Stella_CHC","Phil Gosselin_PIT","Chris Bostick_PIT","Corey Ray_MIL","Jared Hoying_TEX","Erick Aybar_SD","Matt Szczur_SD","Chase d'Arnaud_SD","Jose Rondon_SD","Hanser Alberto_TEX","Ronald Guzman_TEX","Christian Bethancourt_SD","Luis Urias_SD","Gift Ngoepe_PIT","Jett Bandy_MIL","Drew Stubbs_TEX","Max Moroff_PIT","Harold Ramirez_TOR","Richard Urena_TOR","Chris Stewart_PIT","John Bormann_PIT","Luke Maile_TOR","Jabari Blash_SD","Carlos Asuaje_SD","Darwin Barney_TOR","Mike Ohlman_TOR","Drew Robinson_TEX","Hector Sanchez_SD","Eloy Jimenez_CHC","Luis Torrens_SD"
63,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,44,0,0,0,0,0,25,0,0,0,0,0,49,0,0,0,0,0,49,0,0,0,51,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,45,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,27,0,0,0,24,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,8,0,0,0,0,20,27,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0
58,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,40,0,0,0,0,0,21,0,0,0,0,0,47,0,0,0,0,0,47,0,0,0,48,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,42,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,28,25,0,0,24,0,0,0,17,0,0,21,0,0,26,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,25,56,0,0,46,0,0,0,38,0,0,44,0,0,42,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,11,2,0,27,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24,0,0,0,56,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,21,0,0,0,0,34,52,0,0,56,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,16,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,27,2,0,0,0,0
0,0,0,0,0,0,11,0,9,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,0,24,46,0,0,55,0,0,0,36,0,0,45,0,0,42,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,17,0,0,27,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,9,0,39,0,0,0,35,37,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,34,0,0,0,0,0,24,0,0,0,15,3,0,0,0,0,28,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,56,58,0,0,0,0,0,0,0,0,0,15,0,34,35,0,0,50,0,0,21,53,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,15,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
