"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","Actual"
"DST","Texans  (7726267)","Texans ",7726267,3800,"Hou@Jax 01:00PM ET","HOU","Texans",NA,"Jax",8.42,6.9,12
"DST","Cardinals  (7726285)","Cardinals ",7726285,3700,"SF@Ari 04:25PM ET","ARI","Cardinals",NA,"SF",12.16,10.4,6
"DST","Vikings  (7726279)","Vikings ",7726279,3600,"Min@Was 01:00PM ET","MIN","Vikings",NA,"Was",11.48,9.3,3
"DST","Chiefs  (7726275)","Chiefs ",7726275,3500,"KC@Car 01:00PM ET","KC","Chiefs",NA,"Car",7.54,8.2,15
"DST","Patriots  (7726289)","Patriots ",7726289,3300,"Sea@NE 08:30PM ET","NE","Patriots",NA,"Sea",6.78,9.3,6
"DST","Panthers  (7726276)","Panthers ",7726276,3200,"KC@Car 01:00PM ET","CAR","Panthers",NA,"KC",7.32,7.3,6
"DST","Broncos  (7726269)","Broncos ",7726269,3100,"Den@NO 01:00PM ET","DEN","Broncos",NA,"NO",8.66,5.9,11
"DST","Redskins  (7726280)","Redskins ",7726280,3000,"Min@Was 01:00PM ET","WAS","Redskins",NA,"Min",7.25,7.5,6
"DST","Packers  (7726281)","Packers ",7726281,3000,"GB@Ten 01:00PM ET","GB","Packers",NA,"Ten",7,6.6,-2
"DST","Seahawks  (7726290)","Seahawks ",7726290,3000,"Sea@NE 08:30PM ET","SEA","Seahawks",NA,"NE",7.99,4.8,6
"DST","Rams  (7726271)","Rams ",7726271,2900,"LA@NYJ 01:00PM ET","LA","Rams",NA,"NYJ",9.78,10.5,10
"DST","Chargers  (7726284)","Chargers ",7726284,2900,"Mia@SD 04:05PM ET","SD","Chargers",NA,"Mia",9.28,8.6,3
"DST","Jets  (7726272)","Jets ",7726272,2800,"LA@NYJ 01:00PM ET","NYJ","Jets",NA,"LA",8.16,8.5,9
"DST","Buccaneers  (7726278)","Buccaneers ",7726278,2700,"Chi@TB 01:00PM ET","TB","Buccaneers",NA,"Chi",5.54,7.2,24
"DST","Cowboys  (7726287)","Cowboys ",7726287,2700,"Dal@Pit 04:25PM ET","DAL","Cowboys",NA,"Pit",6.74,8.8,0
"DST","Falcons  (7726273)","Falcons ",7726273,2600,"Atl@Phi 01:00PM ET","ATL","Falcons",NA,"Phi",6.24,6.7,4
"DST","Eagles  (7726274)","Eagles ",7726274,2600,"Atl@Phi 01:00PM ET","PHI","Eagles",NA,"Atl",7.93,8.6,5
"DST","Steelers  (7726288)","Steelers ",7726288,2600,"Dal@Pit 04:25PM ET","PIT","Steelers",NA,"Dal",5.55,5.3,0
"DST","Bears  (7726277)","Bears ",7726277,2500,"Chi@TB 01:00PM ET","CHI","Bears",NA,"TB",5.39,7.4,5
"DST","Titans  (7726282)","Titans ",7726282,2400,"GB@Ten 01:00PM ET","TEN","Titans",NA,"GB",6.52,6.1,11
"DST","Dolphins  (7726283)","Dolphins ",7726283,2400,"Mia@SD 04:05PM ET","MIA","Dolphins",NA,"SD",7.12,7.4,19
"DST","Jaguars  (7726268)","Jaguars ",7726268,2300,"Hou@Jax 01:00PM ET","JAX","Jaguars",NA,"Hou",5.74,7.8,2
"DST","Saints  (7726270)","Saints ",7726270,2200,"Den@NO 01:00PM ET","NO","Saints",NA,"Den",4.4,7.7,10
"DST","49ers  (7726286)","49ers ",7726286,2100,"SF@Ari 04:25PM ET","SF","49ers",NA,"Ari",4.28,4.8,10
