"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","RankTargets","RollingTargetPctg","Projection_reg","Projection_reg_split","Projection_ceil","Projection_rceil","Name.Clean","FreqInd"
"WR","Julio Jones (7725748)","Julio Jones",7725748,9500,"Atl@Phi 01:00PM ET","Atl","Julio","Jones","Phi",22.23,19.4,1,0.25625,19.2810514215339,19.2716213246898,37.1,19.4,"Julio Jones",1
"WR","Mike Evans (7725775)","Mike Evans",7725775,9000,"Chi@TB 01:00PM ET","TB","Mike","Evans","Chi",22.68,19.9,1,0.330188679245283,19.7306577657943,19.7185441430607,33.7,19.9,"Mike Evans",1
"WR","Antonio Brown (7725827)","Antonio Brown",7725827,8900,"Dal@Pit 04:25PM ET","Pit","Antonio","Brown","Dal",22.21,24.2,1,0.275541795665635,21.9264858176795,21.8051392242293,30.5,24.2,"Antonio Brown",1
"RB","David Johnson (7725686)","David Johnson",7725686,8400,"SF@Ari 04:25PM ET","Ari","David","Johnson","SF",26.65,27.1,2,0.164670658682635,25.2387047597863,25.1381215977352,33.8,27.1,"David Johnson",1
"RB","Ezekiel Elliott (7725697)","Ezekiel Elliott",7725697,7900,"Dal@Pit 04:25PM ET","Dal","Ezekiel","Elliott","Pit",21.84,19.6,6,0.0778210116731518,19.2414588647703,19.2196401157736,28.6,19.6,"Ezekiel Elliott",1
"RB","Le'Veon Bell (7725693)","Le'Veon Bell",7725693,7700,"Dal@Pit 04:25PM ET","Pit","Le'Veon","Bell","Dal",22.87,22.1,2,0.145510835913313,21.0198224891414,20.9603675229918,26.8,22.1,"LeVeon Bell",1
"QB","Aaron Rodgers (7725585)","Aaron Rodgers",7725585,7600,"GB@Ten 01:00PM ET","GB","Aaron","Rodgers","Ten",22.56,20.2,0,0,19.8502817708726,19.8288160250602,30.1,20.2,"Aaron Rodgers",0
"WR","Larry Fitzgerald (7725813)","Larry Fitzgerald",7725813,7600,"SF@Ari 04:25PM ET","Ari","Larry","Fitzgerald","SF",18.53,15.8,1,0.254491017964072,15.866797771885,15.8675574628022,24.4,15.8,"Larry Fitzgerald",1
"WR","Jordy Nelson (7725789)","Jordy Nelson",7725789,7500,"GB@Ten 01:00PM ET","GB","Jordy","Nelson","Ten",17.72,16.1,1,0.229607250755287,15.7207898205024,15.6984999903761,25.2,16.1,"Jordy Nelson",1
"QB","Tom Brady (7725603)","Tom Brady",7725603,7400,"Sea@NE 08:30PM ET","NE","Tom","Brady","Sea",21.79,18.5,0,0,18.6142003263442,18.6169455576184,35.6,18.5,"Tom Brady",0
"QB","Matt Ryan (7725564)","Matt Ryan",7725564,7300,"Atl@Phi 01:00PM ET","Atl","Matt","Ryan","Phi",20.12,18.2,0,0,17.8054731298672,17.782036654718,33.9,18.2,"Matt Ryan",0
"WR","Jarvis Landry (7725807)","Jarvis Landry",7725807,7200,"Mia@SD 04:05PM ET","Mia","Jarvis","Landry","SD",17.4,16.7,1,0.302904564315353,15.9292399226635,15.8866577422677,23.9,16.7,"Jarvis Landry",1
