"Place_lo","Place_hi","Payout"
"1","1","1e+05"
"2","2","50000"
"3","3","25000"
"4","4","15000"
"5","5","10000"
"6","7","6000"
"8","10","5000"
"11","15","4000"
"16","20","3000"
"21","25","2000"
"26","36","1500"
"37","56","1000"
"57","116","800"
"117","241","700"
