"Position","Name","Roster_Position","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Jeremy Maclin","T6","CLE@BAL 01:00PM ET",13.6,"BAL"
"RB","Isaiah Crowell","T8","CLE@BAL 01:00PM ET",10.6,"CLE"
"QB","Cam Newton","T2","BUF@CAR 01:00PM ET",14.14,"CAR"
"RB","LeSean McCoy","T3","BUF@CAR 01:00PM ET",23.9,"BUF"
"RB","Christian McCaffrey","T7","BUF@CAR 01:00PM ET",12.5,"CAR"
"WR","Kelvin Benjamin","T8","BUF@CAR 01:00PM ET",3.5,"CAR"
"QB","Carson Palmer","T2","ARI@IND 01:00PM ET",11.96,"ARI"
"RB","David Johnson","T3","ARI@IND 01:00PM ET",14.1,"ARI"
"WR","Larry Fitzgerald","T5","ARI@IND 01:00PM ET",13.4,"ARI"
"WR","T.Y. Hilton","T8","ARI@IND 01:00PM ET",7.7,"IND"
"QB","Marcus Mariota","T2","TEN@JAX 01:00PM ET",18.84,"TEN"
"RB","Leonard Fournette","T5","TEN@JAX 01:00PM ET",24.4,"JAX"
"RB","DeMarco Murray","T6","TEN@JAX 01:00PM ET",8,"TEN"
"QB","Carson Wentz","T2","PHI@KC 01:00PM ET",23.88,"PHI"
"QB","Alex Smith","T2","PHI@KC 01:00PM ET",34.02,"KC"
"RB","Kareem Hunt","T4","PHI@KC 01:00PM ET",49.6,"KC"
"WR","Tyreek Hill","T5","PHI@KC 01:00PM ET",29.8,"KC"
"TE","Zach Ertz","T7","PHI@KC 01:00PM ET",17.3,"PHI"
"WR","Alshon Jeffery","T8","PHI@KC 01:00PM ET",8.8,"PHI"
"QB","Tom Brady","T1","NE@NO 01:00PM ET",10.68,"NE"
"QB","Drew Brees","T1","NE@NO 01:00PM ET",15.64,"NO"
"WR","Brandin Cooks","T3","NE@NO 01:00PM ET",11.8,"NE"
"WR","Michael Thomas","T4","NE@NO 01:00PM ET",9.5,"NO"
"TE","Rob Gronkowski","T5","NE@NO 01:00PM ET",5.3,"NE"
"WR","Chris Hogan","T7","NE@NO 01:00PM ET",3.5,"NE"
"RB","Mike Gillislee","T7","NE@NO 01:00PM ET",22.5,"NE"
"QB","Ben Roethlisberger","T1","MIN@PIT 01:00PM ET",16.72,"PIT"
"RB","Le'Veon Bell","T3","MIN@PIT 01:00PM ET",7.7,"PIT"
"WR","Antonio Brown","T3","MIN@PIT 01:00PM ET",32.2,"PIT"
"WR","Stefon Diggs","T6","MIN@PIT 01:00PM ET",27.7,"MIN"
"RB","Dalvin Cook","T7","MIN@PIT 01:00PM ET",19.7,"MIN"
"QB","Jameis Winston","T2","CHI@TB 01:00PM ET",0,"TB"
"WR","Mike Evans","T4","CHI@TB 01:00PM ET",0,"TB"
"RB","Jordan Howard","T6","CHI@TB 01:00PM ET",15.6,"CHI"
"WR","DeSean Jackson","T7","CHI@TB 01:00PM ET",0,"TB"
"QB","Philip Rivers","T1","MIA@LAC 04:05PM ET",18.68,"LAC"
"RB","Melvin Gordon","T4","MIA@LAC 04:05PM ET",18.9,"LAC"
"RB","Jay Ajayi","T5","MIA@LAC 04:05PM ET",0,"MIA"
"WR","Jarvis Landry","T7","MIA@LAC 04:05PM ET",0,"MIA"
"WR","Keenan Allen","T8","MIA@LAC 04:05PM ET",14.5,"LAC"
"WR","DeVante Parker","T8","MIA@LAC 04:05PM ET",0,"MIA"
"QB","Derek Carr","T1","NYJ@OAK 04:05PM ET",18.68,"OAK"
"WR","Amari Cooper","T3","NYJ@OAK 04:05PM ET",17.2,"OAK"
"WR","Michael Crabtree","T4","NYJ@OAK 04:05PM ET",14.3,"OAK"
"RB","Marshawn Lynch","T5","NYJ@OAK 04:05PM ET",10.2,"OAK"
"RB","Bilal Powell","T7","NYJ@OAK 04:05PM ET",8.9,"NYJ"
"QB","Dak Prescott","T2","DAL@DEN 04:25PM ET",17.12,"DAL"
"RB","Ezekiel Elliott","T4","DAL@DEN 04:25PM ET",22,"DAL"
"WR","Demaryius Thomas","T6","DAL@DEN 04:25PM ET",11.7,"DEN"
"WR","Dez Bryant","T8","DAL@DEN 04:25PM ET",6.3,"DAL"
"QB","Kirk Cousins","T2","WAS@LAR 04:25PM ET",13.6,"WAS"
"RB","Todd Gurley II","T5","WAS@LAR 04:25PM ET",20.6,"LAR"
"WR","Terrelle Pryor Sr.","T6","WAS@LAR 04:25PM ET",12.6,"WAS"
"QB","Russell Wilson","T1","SF@SEA 04:25PM ET",9.32,"SEA"
"WR","Doug Baldwin","T5","SF@SEA 04:25PM ET",10,"SEA"
"WR","Pierre Garcon","T8","SF@SEA 04:25PM ET",14.1,"SF"
"QB","Matt Ryan","T1","GB@ATL 08:30PM ET",20.94,"ATL"
"QB","Aaron Rodgers","T1","GB@ATL 08:30PM ET",20.54,"GB"
"WR","Julio Jones","T3","GB@ATL 08:30PM ET",10.6,"ATL"
"WR","Jordy Nelson","T3","GB@ATL 08:30PM ET",20.9,"GB"
"RB","Devonta Freeman","T4","GB@ATL 08:30PM ET",11.9,"ATL"
"RB","Ty Montgomery","T4","GB@ATL 08:30PM ET",19.3,"GB"
"WR","Randall Cobb","T6","GB@ATL 08:30PM ET",17.5,"GB"
"WR","Davante Adams","T6","GB@ATL 08:30PM ET",7.7,"GB"
