"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","David Price","Ben Lively","Brian McCann","Anthony Rizzo","Jose Altuve","Evan Longoria","Carlos Correa","George Springer","Josh Reddick","Aaron Altherr"
"2","David Price","Ben Lively","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Trea Turner","Bryce Harper","Josh Reddick","Jason Heyward"
"3","Jon Lester","David Price","Evan Gattis","Tommy Joseph","Cesar Hernandez","Maikel Franco","Trea Turner","Josh Reddick","Odubel Herrera","Aaron Altherr"
"4","Jon Lester","David Price","Matt Wieters","Adam Lind","Wilmer Difo","Derek Dietrich","Trea Turner","Bryce Harper","Josh Reddick","Aaron Altherr"
"5","Jon Lester","David Price","Cameron Rupp","Tommy Joseph","Jose Altuve","Maikel Franco","Carlos Correa","Mookie Betts","Aaron Altherr","Michael Saunders"
"6","David Price","Ben Lively","Evan Gattis","Joe Mauer","Brian Dozier","Miguel Sano","Trea Turner","Bryce Harper","Max Kepler","Robbie Grossman"
"7","Jon Lester","Gerrit Cole","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Tim Beckham","Mookie Betts","Jason Heyward","Aaron Altherr"
"8","Jon Lester","David Price","Brian McCann","Eric Hosmer","Whit Merrifield","Mike Moustakas","Trea Turner","Lorenzo Cain","Josh Reddick","Jorge Bonifacio"
"9","Jon Lester","David Price","Christian Vazquez","Mitch Moreland","Brian Dozier","Evan Longoria","Xander Bogaerts","Andrew Benintendi","Mookie Betts","Josh Reddick"
"10","Jon Lester","David Price","Jason Castro","Kennys Vargas","Ehire Adrianza","Kris Bryant","Trea Turner","Max Kepler","Josh Reddick","Byron Buxton"
"11","Jon Lester","RA Dickey","Brian McCann","Eric Hosmer","Jose Altuve","Kris Bryant","Carlos Correa","George Springer","Josh Reddick","Nick Markakis"
"12","David Price","Gerrit Cole","Matt Wieters","Adam Lind","Wilmer Difo","Stephen Drew","Carlos Correa","Bryce Harper","Max Kepler","Mookie Betts"
"13","Jon Lester","David Price","Derek Norris","Yuli Gurriel","Wilmer Difo","Alex Bregman","Trea Turner","George Springer","Josh Reddick","Norichika Aoki"
"14","Jon Lester","David Price","Tyler Flowers","Matt Adams","Brandon Phillips","Kris Bryant","Tim Beckham","Matt Kemp","Josh Reddick","Nick Markakis"
"15","Lance McCullers","Ben Lively","Matt Wieters","Adam Lind","Wilmer Difo","Kris Bryant","Trea Turner","Bryce Harper","Mookie Betts","Adam Frazier"
"16","David Price","Joe Ross","Willson Contreras","Eric Hosmer","Jose Altuve","Maikel Franco","Carlos Correa","George Springer","Josh Reddick","Norichika Aoki"
"17","David Price","Ben Lively","JT Realmuto","Anthony Rizzo","Dee Gordon","Evan Longoria","Trea Turner","Giancarlo Stanton","Marcell Ozuna","Christian Yelich"
"18","Jon Lester","David Price","Derek Norris","Danny Valencia","Robinson Cano","Kyle Seager","Trea Turner","Ben Gamel","Aaron Altherr","Guillermo Heredia"
"19","Gerrit Cole","Tyler Chatwood","Brian McCann","John Jaso","Jose Altuve","Maikel Franco","Carlos Correa","George Springer","Mookie Betts","Josh Reddick"
"20","Michael Pineda","Joe Ross","Willson Contreras","Anthony Rizzo","Ben Zobrist","Kris Bryant","Carlos Correa","Christian Yelich","Jason Heyward","Odubel Herrera"
"21","David Price","Ben Lively","Christian Vazquez","Anthony Rizzo","Jose Altuve","Pablo Sandoval","Xander Bogaerts","Bryce Harper","Andrew Benintendi","Mookie Betts"
"22","David Price","Ben Lively","Jason Castro","Kennys Vargas","Jose Altuve","Miguel Sano","Carlos Correa","Bryce Harper","Max Kepler","Byron Buxton"
"23","David Price","Gerrit Cole","Brian McCann","Matt Adams","Brandon Phillips","Evan Longoria","Trea Turner","Ender Inciarte","Matt Kemp","Nick Markakis"
"24","Jon Lester","David Price","Derek Norris","John Jaso","Josh Harrison","David Freese","Trea Turner","Gregory Polanco","Adam Frazier","Aaron Altherr"
"25","Jon Lester","Joe Ross","Brian McCann","Joe Mauer","Brian Dozier","Miguel Sano","Carlos Correa","Max Kepler","Josh Reddick","Robbie Grossman"
"26","Jon Lester","David Price","Drew Butera","Anthony Rizzo","Whit Merrifield","Kris Bryant","Alcides Escobar","Bryce Harper","Lorenzo Cain","Jorge Bonifacio"
"27","Lance McCullers","David Price","Cameron Rupp","Tommy Joseph","Brian Dozier","Maikel Franco","Freddy Galvis","Bryce Harper","Josh Reddick","Michael Saunders"
"28","Jon Lester","David Price","Brian McCann","Logan Morrison","Wilmer Difo","Evan Longoria","Tim Beckham","Corey Dickerson","Steven Souza","Josh Reddick"
"29","Michael Pineda","Joe Ross","Brian McCann","Adam Lind","Jose Altuve","Stephen Drew","Carlos Correa","George Springer","Christian Yelich","Josh Reddick"
"30","Michael Pineda","Ben Lively","Willson Contreras","Anthony Rizzo","Jose Altuve","Alex Bregman","Trea Turner","George Springer","Josh Reddick","Norichika Aoki"
"31","Jon Lester","David Price","Willson Contreras","Eric Hosmer","Jose Altuve","Mike Moustakas","Carlos Correa","Lorenzo Cain","Brandon Moss","Alex Gordon"
"32","Jon Lester","David Price","Derek Norris","John Jaso","Brian Dozier","Evan Longoria","Trea Turner","Corey Dickerson","Steven Souza","Peter Bourjos"
"33","David Price","Ben Lively","Mike Zunino","Danny Valencia","Robinson Cano","Kyle Seager","Trea Turner","Bryce Harper","Josh Reddick","Jarrod Dyson"
"34","Lance McCullers","David Price","Brian McCann","Tommy Joseph","Robinson Cano","Maikel Franco","Xander Bogaerts","Odubel Herrera","Aaron Altherr","Michael Saunders"
"35","Jon Lester","Tyler Chatwood","Derek Norris","Adam Lind","Jose Altuve","Evan Longoria","Carlos Correa","George Springer","Josh Reddick","Norichika Aoki"
"36","David Price","Michael Pineda","Tyler Flowers","Matt Adams","Brian Dozier","Rio Ruiz","Trea Turner","Matt Kemp","Christian Yelich","Nick Markakis"
"37","Michael Pineda","Gerrit Cole","Matt Wieters","Adam Lind","Wilmer Difo","Evan Longoria","Trea Turner","Bryce Harper","Gregory Polanco","Jason Heyward"
"38","Jon Lester","David Price","Matt Wieters","Adam Lind","Brian Dozier","Stephen Drew","Tim Beckham","Bryce Harper","Michael Taylor","Odubel Herrera"
"39","David Price","Michael Pineda","Elias Diaz","John Jaso","Brian Dozier","David Freese","Trea Turner","Andrew McCutchen","Gregory Polanco","Josh Reddick"
"40","Michael Pineda","Gerrit Cole","Brian McCann","Tommy Joseph","Cesar Hernandez","Maikel Franco","Carlos Correa","Bryce Harper","Odubel Herrera","Aaron Altherr"
"41","Jon Lester","David Price","Christian Vazquez","Adam Lind","Josh Rutledge","Pablo Sandoval","Trea Turner","Andrew Benintendi","Christian Yelich","Mookie Betts"
"42","Jon Lester","David Price","JT Realmuto","Tyler Moore","Brian Dozier","Derek Dietrich","Trea Turner","Marcell Ozuna","Christian Yelich","Aaron Altherr"
"43","Jon Lester","David Price","Evan Gattis","Jose Abreu","Jose Altuve","Todd Frazier","Trea Turner","Avisail Garcia","Melky Cabrera","Adam Engel"
"44","David Price","Gerrit Cole","Evan Gattis","Yuli Gurriel","Brian Dozier","Alex Bregman","Xander Bogaerts","George Springer","Mookie Betts","Norichika Aoki"
"45","David Price","Gerrit Cole","Jason Castro","Adam Lind","Jose Altuve","Alex Bregman","Tim Beckham","George Springer","Josh Reddick","Norichika Aoki"
"46","David Price","Gerrit Cole","Christian Vazquez","Anthony Rizzo","Josh Rutledge","Pablo Sandoval","Carlos Correa","Jackie Bradley","Mookie Betts","Josh Reddick"
"47","Gerrit Cole","Ben Lively","Matt Wieters","Chris Davis","Jose Altuve","Kris Bryant","Carlos Correa","George Springer","Josh Reddick","Norichika Aoki"
"48","Jon Lester","David Price","Tyler Flowers","Matt Adams","Wilmer Difo","Rio Ruiz","Dansby Swanson","Bryce Harper","Matt Kemp","Mookie Betts"
"49","Lance McCullers","Michael Pineda","Matt Wieters","Adam Lind","Wilmer Difo","Stephen Drew","Tim Beckham","Bryce Harper","Christian Yelich","Josh Reddick"
"50","Lance McCullers","Michael Pineda","Cameron Rupp","Tommy Joseph","Dee Gordon","Maikel Franco","Trea Turner","Christian Yelich","Aaron Altherr","Michael Saunders"
