"","P","P","C","1B","2B","3B","SS","OF","OF","OF"
"1","Max Scherzer","Carlos Martinez","Salvador Perez","Eric Hosmer","Andrew Romine","Manny Machado","Alcides Escobar","Andrew Benintendi","Lorenzo Cain","Alex Gordon"
"2","Max Scherzer","James Paxton","Salvador Perez","Eric Hosmer","Daniel Murphy","Jedd Gyorko","Alcides Escobar","Mookie Betts","Jorge Bonifacio","Lorenzo Cain"
"3","Max Scherzer","Jaime Garcia","Salvador Perez","Eric Hosmer","Whit Merrifield","Manny Machado","Trea Turner","Dexter Fowler","Jorge Bonifacio","Lorenzo Cain"
"4","Max Scherzer","Chris Archer","Drew Butera","Alex Avila","Starlin Castro","Cheslor Cuthbert","Alcides Escobar","Mookie Betts","Lorenzo Cain","Alex Gordon"
"5","Max Scherzer","Jacob deGrom","Drew Butera","Eric Hosmer","Rougned Odor","Jedd Gyorko","Alcides Escobar","Dexter Fowler","Lorenzo Cain","Alex Gordon"
"6","Max Scherzer","James Paxton","Yadier Molina","Matt Carpenter","Andrew Romine","Jedd Gyorko","Trea Turner","Tommy Pham","Dexter Fowler","Lorenzo Cain"
"7","Max Scherzer","Jaime Garcia","Salvador Perez","Chris Davis","Rougned Odor","Manny Machado","Trea Turner","Adam Jones","Mark Trumbo","Seth Smith"
"8","Max Scherzer","Carlos Martinez","Drew Butera","Miguel Cabrera","Whit Merrifield","Cheslor Cuthbert","Alcides Escobar","Andrew Benintendi","Dexter Fowler","Alex Gordon"
"9","Max Scherzer","James Paxton","Salvador Perez","Eric Hosmer","Whit Merrifield","Cheslor Cuthbert","Corey Seager","Andrew Benintendi","Jorge Bonifacio","Stephen Piscotty"
"10","Max Scherzer","James Paxton","Salvador Perez","Mitch Moreland","Josh Rutledge","Cheslor Cuthbert","Xander Bogaerts","Jackie Bradley","Andrew Benintendi","Lorenzo Cain"
"11","Max Scherzer","Jaime Garcia","Yadier Molina","Matt Carpenter","Daniel Murphy","Jedd Gyorko","Alcides Escobar","Mookie Betts","Tommy Pham","Stephen Piscotty"
"12","Max Scherzer","James Paxton","Drew Butera","Chris Davis","Whit Merrifield","Cheslor Cuthbert","Trea Turner","Mookie Betts","Jorge Bonifacio","Alex Gordon"
"13","Jacob deGrom","Chris Archer","Salvador Perez","Eric Hosmer","Starlin Castro","Manny Machado","Alcides Escobar","Jorge Bonifacio","Lorenzo Cain","Seth Smith"
"14","Max Scherzer","Carlos Martinez","Salvador Perez","Alex Avila","Andrew Romine","Nicholas Castellanos","Jose Iglesias","Kevin Kiermaier","Lorenzo Cain","Alex Presley"
