"Michael Conforto_NYM","Kris Bryant_CHC","Adam Frazier_PIT","Anthony Rizzo_CHC","Yoenis Cespedes_NYM","Jay Bruce_NYM","Freddie Freeman_ATL","Corey Seager_LAD","Gregory Polanco_PIT","Ben Zobrist_CHC","Javier Baez_CHC","Ian Happ_CHC","Buster Posey_SF","Starling Marte_PIT","Matt Kemp_ATL","Josh Harrison_PIT","Kyle Schwarber_CHC","Cody Bellinger_LAD","Brandon Phillips_ATL","Hunter Pence_SF","Ender Inciarte_ATL","Neil Walker_NYM","Lucas Duda_NYM","Eduardo Nunez_SF","Brandon Belt_SF","Jose Reyes_NYM","Jordy Mercer_PIT","Josh Bell_PIT","Logan Forsythe_LAD","Chris Taylor_LAD","Joe Panik_SF","David Wright_NYM","Asdrubal Cabrera_NYM","Wilmer Flores_NYM","Yasmani Grandal_LAD","Denard Span_SF","Justin Turner_LAD","Yasiel Puig_LAD","Brandon Crawford_SF","Curtis Granderson_NYM","David Freese_PIT","Alen Hanson_PIT","Jason Heyward_CHC","Willson Contreras_CHC","Albert Almora_CHC","Nick Markakis_ATL","Matt Adams_ATL","Travis d'Arnaud_NYM","Addison Russell_CHC","Tyler Flowers_ATL","Adonis Garcia_ATL","Andrew McCutchen_PIT","Francisco Cervelli_PIT","Adrian Gonzalez_LAD","Franklin Gutierrez_LAD","Joc Pederson_LAD","Jarrett Parker_SF","Jose Osuna_PIT","Brandon Nimmo_NYM","TJ Rivera_NYM","Miguel Montero_CHC","Jon Jay_CHC","John Jaso_PIT","Danny Ortiz_PIT","Kevin Newman_PIT","Chase Utley_LAD","Trayce Thompson_LAD","Jeimer Candelario_CHC","Nick Hundley_SF","Mac Williamson_SF","Dansby Swanson_ATL","Christian Arroyo_SF","Juan Lagares_NYM","Gavin Cecchini_NYM","Kike Hernandez_LAD","Andrew Toles_LAD","Austin Barnes_LAD","Kurt Suzuki_ATL","Danny Santana_ATL","Kelby Tomlinson_SF","Matt Reynolds_NYM","Kevin Plawecki_NYM","Rob Segedin_LAD","Tommy La Stella_CHC","Jace Peterson_ATL","Micah Johnson_ATL","Elias Diaz_PIT","Phil Gosselin_PIT","Chris Bostick_PIT","Andre Ethier_LAD","Aaron Hill_SF","Justin Ruggiano_SF","Rio Ruiz_ATL","Rene Rivera_NYM","Scott Van Slyke_LAD","Gorkys Hernandez_SF","Conor Gillaspie_SF","Mike Freeman_LAD","Gift Ngoepe_PIT","Max Moroff_PIT","Michael Morse_SF","Chris Stewart_PIT","John Bormann_PIT","Tim Federowicz_SF","Eloy Jimenez_CHC","Anthony Recker_ATL","Chris Marrero_SF","Brett Eibner_LAD","Emilio Bonifacio_ATL","Lane Adams_ATL","Johan Camargo_ATL"
34,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,0,30,0,0,0,0,0,0,18,12,0,0,0,0,0,28,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,41,0,40,0,0,0,0,0,30,29,10,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,17,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,23,0,0,0,0,0,11,0,0,0,0,9,0,19,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
0,40,0,43,0,0,0,0,0,31,31,12,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,30,19,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,15,0,0,0,0,0,0,16,6,0,0,0,0,0,14,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22,0,0,37,0,0,0,0,0,0,27,17,0,0,0,0,0,37,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,35,0,0,0,0,0,0,0,25,0,0,0,29,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,20,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,14,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,14,20,0,0,0,0,35,0,32,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,22,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,11,0,0,0,0,0,32,0,0,0,0,7,0,28,0,0,0,0,0,0,0,0,0,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,0,0,0,0,0,0,0,0,31,23,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
0,30,0,31,0,0,0,0,0,31,20,7,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,22,10,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
