"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"Julio Jones",6,0,9600,26.8,0.1,0.06,0.01,0,0,0,0,0,9.7,8.8,8.4,0.4,12.3,21.7,20.6,14,4.1,37.1,21.9,28.1,26,27,5.9,29.4,29.9,45,71,4,0.25,1,1,1,0
"Antonio Brown",28,0,8900,24.8,-0.11,-0.24,0.03,0.7,0.3,0.5,0,9.5,10,10.7,9.7,0.9,7.9,17.7,21.2,17,11.1,31.2,23,21.5,7,26,0,21.9,8.5,48,76,5,0.27536231884058,1,1,1,14.0132724639962
"Mike Evans",4,1,8500,22.3,0.14,-0.13,0.19,0,0,0,0,0,12,12,12.4,1.3,7.1,20.5,20.6,20,12.4,28.9,22.8,41,31,26,11,29.6,0,45,86,6,0.319702602230483,1,1,1,0
"Ezekiel Elliott",53,0,7900,28,0.1,0.33,0.3,21.7,22.7,23.6,2.6,5,4,2.7,2.7,0.4,7.9,25.4,21.6,41,14.1,29,23.5,22.7,32,30,18.8,0,22.4,15,19,0,0.0833333333333333,4,6,6,52.9869422939121
"Jordy Nelson",29,0,7800,29.8,0.14,0.06,0,0,0,0,0,0,6.7,8.6,8.4,2.1,6.9,10.7,15.8,14,6.9,24.7,17.5,22.4,28,8,19.4,1.9,10.8,32,63,6,0.217993079584775,3,1,1,11.7157881083656
"Amari Cooper",8,0,7700,22.8,-0.23,0.09,-0.44,0,0,0.3,0,0,11,10,8.4,0.9,9.8,23.7,19.8,14,8.2,31.4,17.6,11.6,2,1,38.3,6.9,25.9,54,89,2,0.264094955489614,1,1,3,1.43143587988016
"Le'Veon Bell",34,0,7700,24.8,-0.11,-0.24,-0.21,17,17.3,17.5,1,5,10.3,9.3,5.4,0.3,6.6,22.7,23.5,39,20.3,26.6,22.4,13,7,6,0,24.9,18.8,30,38,0,0.13768115942029,2,2,10,22.803887756035
"DeMarco Murray",18,0,7600,22,0.11,-0.2,0.39,22.3,20,14.7,2.9,4.7,3,4.5,3.3,1.1,5.5,20,22.8,31,17.9,27.7,14.9,21,20,27,22.8,24.7,12.5,27,35,2,0.134615384615385,2,4,4,13.1272366185623
"T.Y. Hilton",19,0,7600,22.3,0.01,-0.31,-0.03,0,0,0.2,0,0,9,10.3,9.7,1,8.6,13.4,18.7,17,5.9,31.6,23.2,14.2,14,22,3,29.3,7.9,50,92,5,0.283076923076923,1,1,1,13.3539018960359
"Brandin Cooks",5,0,7500,29,-0.13,0.72,-0.07,0.3,0.4,0.3,0.1,6.3,8,8,7.4,0.9,9.5,22.2,18.1,12,5.5,30.7,16.9,11.6,29,20,14.4,18.8,33.5,36,57,5,0.185667752442997,2,1,1,13.2886239971763
"Dez Bryant",21,0,7400,28,0.1,0.33,0.15,0,0,0,0,0,10.7,9.3,6.6,1.3,7.1,19.2,14.8,10,5,24.7,15.3,2.9,32,27,24.3,0,0,15,39,3,0.171052631578947,4,3,1,10.7831859442012
