"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"David Johnson",29,0,10100,25.8,0.1,-0.08,0.11,17,19.1,20.3,3.3,4.4,10.3,8,6.1,1,7.2,29.9,27.5,41,18.8,36.1,22.6,26.8,27,26,18.1,38.5,33.1,73,107,4,0.194192377495463,2,2,2,24.5138353862862
"Le'Veon Bell",33,0,9800,24.3,-0.03,0.11,0.05,30,21.8,21.3,2.5,4.8,5.7,8.2,6.4,0.7,6.9,36.1,28.7,43,17.2,40.1,29.7,18.1,17,20,54.8,26.2,27.2,67,83,1,0.166332665330661,2,2,6,30.8154106060465
"LeSean McCoy",34,0,8900,27,0.02,0.36,0.22,16,15.5,21.5,2.5,5.2,5.3,4,3.5,0.6,6.6,28.1,21.2,40,11.1,31.2,22,34.9,31,31,22.8,29.1,32.4,43,50,1,0.130208333333333,2,4,3,27.6900335093891
"Antonio Brown",11,0,8400,24.3,-0.03,0.11,-0.17,0,0.2,0.3,0,3,8,10.6,10.1,0.9,8.2,20.8,21.9,16,12.3,31.5,21.4,8.8,17,4,12.8,17.4,32.1,95,144,11,0.288577154308617,1,1,1,8.06105020838941
"Mike Evans",17,0,8300,20.5,0.08,-0.23,0.08,0,0,0,0,0,8.3,11.1,11.7,1.2,7.6,16.8,20.5,19,9.7,31.2,20.7,9.9,11,15,8.2,8.8,33.4,84,150,10,0.314465408805031,1,1,1,10.9759493553388
"Ezekiel Elliott",22,0,8200,27.5,0.03,0.03,-0.03,21.3,22.1,21.7,2.5,4.9,3,2.8,2.8,0.2,8.9,20.1,22.6,40,13.9,31.4,20.2,30.8,19,18,13.7,20.5,26,28,36,1,0.0888888888888889,5,5,6,13.4169830410931
"Jordy Nelson",21,0,7300,22.8,-0.09,0,0.06,0,0,0,0,0,9.7,9.6,9.3,2.1,7.3,22.7,18.9,15,10.1,27.8,18.2,22.4,11,24,22.1,28.8,17.1,78,132,12,0.252390057361377,1,1,1,9.87784388894561
"T.Y. Hilton",13,0,7200,19.8,-0.14,-0.05,-0.2,0,0,0.2,0,0,9.3,9.8,10,0.8,9.5,21.5,19.2,17,8.1,30.2,19.7,7.5,2,2,29.5,26.6,8.4,82,137,7,0.277327935222672,1,1,1,7.00285897281191
"Amari Cooper",5,0,7100,26,0.07,-0.14,-0.04,0.3,0.1,0.3,0,0,7,8.8,7.8,0.8,8.9,9.3,16.5,13,6.3,26.6,16,3.8,22,9,7.9,13.9,6.2,76,127,4,0.24236641221374,1,2,2,3.41707586488569
"Larry Fitzgerald",6,0,7000,25.8,0.1,-0.08,0.03,0,0.1,0,0,1,8,10.1,9,1.3,6.8,10.4,16.5,14,9,24,18.2,11.7,27,15,4.2,17.8,9.3,95,139,6,0.252268602540835,1,1,1,8.42932860550816
