"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"Shaun Draughn",0,0,3000,16.8,-0.05,0,-0.04,5.3,3.6,2.6,0.4,3.2,1,2.2,2.1,0.3,5.7,4.4,5.9,8,0.1,11.7,4.9,12.5,16,17,1.5,9.7,2,20,27,2,0.0622119815668203,7,7,4,0.00340472666854305
"Rod Streater",0,0,3000,16.8,-0.05,0,0.15,0,0,0,0,0,1.7,1.7,4.8,0.1,6.5,3.6,2.7,8,-0.6,5.9,9.4,18.3,16,27,0,0,0,11,20,1,0.0460829493087558,8,8,7,0.0224711960123841
"Chris Harper",0,0,3000,16.8,-0.05,0,0.15,0,0,0,0,0,3.3,2.8,4.4,0,6.3,3,3.3,7,0.8,5.7,5,1.1,16,27,0,0,0,9,18,0,0.0414746543778802,9,9,9,0.0111221071172406
"Pharoh Cooper",0,0,3000,22.8,0.01,0.63,0.09,0,0,0,0,0,3.3,2,0.9,0,5,4,2.4,1,0.5,4.4,1.7,0,32,31,5.1,5.2,1.8,10,13,0,0.026694045174538,7,8,5,0.00522058089176601
"Jonathan Grimes",0,0,3000,22,-0.02,0.09,0.03,2.3,2.1,7.3,0.1,5.9,2,1.9,2.4,0.3,4.7,4.2,3.4,15,1.2,5.6,8.1,0,18,19,3.5,2.2,6.8,9,13,0,0.0252918287937743,9,9,8,0.0220172324565784
"Kyle Juszczyk",0,0,3000,20.5,0.02,-0.18,0.14,0,0.2,0,0,2.3,2.7,3.1,2.3,0.4,5.8,4.6,4.4,4,1.3,7.4,3.9,10.5,9,28,4.5,7.6,1.6,35,47,0,0.0813148788927336,4,6,10,0
"Kamar Aiken",2,0,3000,20.5,0.02,-0.18,-0.11,0,0,0,0,0,3,3.2,3.3,0.2,6.8,6.3,4.5,5,1.1,8,5.6,0,9,3,9.9,2,7.1,29,49,1,0.0847750865051903,5,5,6,0
"Cobi Hamilton",1,0,3000,26,-0.04,-0.24,0.03,0,0,0,0,0,2.3,2.6,2.7,0.3,7.6,2.9,4,4,0.6,7.4,4.7,1.6,5,23,3.1,2.5,3.1,13,26,1,0.0480591497227357,8,7,6,0
"Sammie Coates",0,1,3000,26,-0.04,-0.24,0.03,0.7,0.3,0,0.1,3.5,2.3,4.1,0,0.4,8.9,1,6.7,0,-3.5,17,0,0,5,23,2.9,0,0,21,48,2,0.088724584103512,5,5,5,0
"Breshad Perriman",3,0,3000,20.5,0.02,-0.18,-0.11,0,0.1,0.2,0,2,2.7,4.1,3.3,0.2,7.6,7.4,6.5,6,2.2,10.9,5.6,6.2,9,3,0,8.2,13.9,27,55,4,0.0951557093425606,7,4,1,0
"Dennis Pitta",5,0,3000,20.5,0.02,-0.18,-0.02,0,0,0,0,0,6,6.7,5.6,0.6,6,12.8,9.8,9,2.5,17.1,8.8,15.5,9,18,3.6,5.8,29,69,96,2,0.166089965397924,1,2,4,0
"Jordan Norwood",1,0,3000,17.3,0.02,0.15,0.13,0,0.1,0,0,0,1,2.6,2.9,0.3,6.3,-0.3,3.4,5,-0.8,7.6,5.1,2.7,15,25,0.2,0,0,21,33,1,0.0658682634730539,4,4,6,0
