"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"Antonio Brown",1,1,9300,20.8,0.02,-0.12,-0.02,0.3,0.2,0.4,0,6,8,10.7,10.6,0.7,7.6,17.9,21,19,10,32.1,19.7,21.9,10,8,8.5,22.8,22.4,41,66,5,0.289473684210526,1,1,1,1.54339956264561
"Julio Jones",39,0,9200,28.5,0.13,-0.21,0.06,0,0,0,0,0,10,8.3,10.7,0.5,13.1,28.6,21.6,18,3.7,39.5,25.6,29.4,22,16,29.9,4.9,51,33,51,4,0.241706161137441,1,1,1,39.1809916224786
"A.J. Green",45,0,8600,29,0.12,0.12,0.08,0,0,0,0,0,10,10.3,9.3,1.3,9.8,20,20.1,16,6,34.2,23.1,33.9,31,21,14.8,9,36.3,43,66,2,0.293333333333333,1,1,2,33.1666540755427
"Le'Veon Bell",14,0,8000,20.8,0.02,-0.12,-0.1,16,16,16.7,0.7,5.5,8,8,5.2,0.3,7.4,23,23,38,19.3,26.7,20.5,24.9,10,7,18.8,24.4,25.8,20,25,0,0.109649122807018,3,4,10,8.62600890634858
"Amari Cooper",24,0,7900,23,-0.11,-0.02,-0.02,0,0,0.2,0,0,10.3,10,8.8,0.8,9.8,22.2,18.9,15,9.7,28.2,16.1,6.9,17,25,25.9,30.8,9.8,37,67,1,0.286324786324786,1,1,5,14.2865018386444
"Jordy Nelson",3,0,7800,27,-0.07,0.03,0.09,0,0,0,0,0,9,9.4,8.3,2.2,6.6,18.6,17.8,14,10,25.7,16.4,1.9,14,19,10.8,13.8,0,26,48,5,0.252631578947368,2,1,1,0
"Mike Evans",38,0,7800,22,-0.15,0.66,-0.03,0,0,0,0,0,12,12,10.6,1.4,7.5,21.3,20.8,16,13.2,28.4,17.9,29.6,24,17,0,20.9,10.9,33,63,4,0.302884615384615,1,1,1,22.4578010180434
"T.Y. Hilton",13,0,7700,22.3,-0.03,-0.16,0.05,0,0,0.4,0,0,10,10.7,11.2,1.3,8.7,20.4,19.6,20,7,32.2,21.6,29.3,9,9,7.9,36.1,17.2,39,68,3,0.278688524590164,1,1,1,5.80056067934899
"Brandon Marshall",23,0,7600,21.3,-0.1,-0.34,0.18,0,0,0,0,0,11,10,8.2,1.7,7.2,19.1,14.7,14,5.8,23.7,14.6,6.9,7,29,10,28.4,18.9,28,59,2,0.259911894273128,2,1,1,6.37941208298708
"LeSean McCoy",2,1,7600,24.3,-0.04,0.4,-0.05,18.7,17.3,12.8,2.7,5.6,3.7,4,2,0.2,4,26.9,23.4,25,14.6,32.2,12.3,1.1,20,13,37.2,20.8,22.8,21,25,1,0.14792899408284,3,4,3,1.9954549445344
"Brandin Cooks",5,0,7500,22.5,-0.07,0.11,-0.04,0.7,0.6,0.2,0.2,6.3,7.7,8.2,7.9,0.8,10.4,14.5,18.7,13,3.5,34,16.4,18.8,13,22,33.5,0,6.1,25,41,3,0.18552036199095,2,1,1,5.6568176852886
"David Johnson",16,0,7400,22.8,-0.13,-0.29,-0.35,22,18.8,17.6,4.3,5,5.3,5.5,4.3,0.8,8,29.9,26.1,36,16.6,35.5,17.3,28.1,3,4,37.8,36.5,15.4,21,34,0,0.144067796610169,3,4,4,9.2991916498388
"Allen Robinson",43,0,7300,24.5,0.21,0.26,0.26,0,0,0,0,0,9,9.4,9,1.2,6.1,16.4,14.1,16,7.3,21,19.1,2.9,30,30,7.9,0,16.5,24,51,3,0.256281407035176,1,1,1,23.0680962016322
"Rob Gronkowski",34,0,7200,28.3,0.13,-0.04,0.06,0,0,0,0,0,6,4.8,7.6,0.8,14.8,17.7,13.3,12,-1.9,28.5,15.5,19.3,18,18,32.2,18.9,2.1,13,19,1,0.0926829268292683,4,5,4,19.1692716681334
"DeMarco Murray",39,0,7200,26.3,0.15,0.12,0.4,24.3,19,16.7,2.5,4.6,3.3,4.8,3.7,1.2,5.9,20,22.5,35,16.7,28.2,19.9,24.7,26,31,12.5,21.7,25.9,23,28,2,0.142857142857143,1,3,2,41.0163691418094
"Larry Fitzgerald",5,0,7100,22.8,-0.13,-0.29,-0.24,0.3,0.2,0,0,1,8,9.5,8.2,1.5,7.3,16.1,18.3,13,10.6,25.9,16.4,16,3,7,10.9,26.1,11.3,39,59,6,0.25,1,1,1,1.86314605227426
"Marvin Jones",14,0,7000,24.5,-0.02,0.18,-0.01,0.3,0.2,0,0,3,6,7.8,8.2,1,11.3,11.8,18.7,14,6.6,30.8,16.5,13.4,16,11,9.3,13.7,12.4,29,54,4,0.246575342465753,2,1,1,6.4316822626454
