"Player.Name","Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Actual.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Ownership.Pctg"
"Antonio Brown",28,0,9500,26.8,0.09,0.34,0.15,0.7,0.3,0.3,0,3,13.3,11.6,9.9,1.1,8,26.9,23,16,12.7,33.3,23.3,15.6,32,31,37.4,21.5,0,70,107,7,0.28686327077748,1,1,1,12.6626428641307
"Le'Veon Bell",47,0,8800,26.8,0.09,0.34,0.32,17.3,16.7,21.4,1.5,4.3,10.7,9.3,5.5,0.8,6.4,24.1,23.6,42,16.4,30.7,28.8,37.1,32,31,34.4,13,0,45,57,1,0.152815013404826,2,2,6,34.4834773140055
"DeMarco Murray",32,0,8200,25.3,0.13,0.07,0.08,17.3,19.1,16.9,2.9,4.9,4,4.6,3.1,1.2,5.6,24.9,23.4,34,18.3,28.5,17.7,16.9,29,25,31,21,22.8,36,45,2,0.13677811550152,2,4,5,20.3829417994819
"Mike Evans",21,0,8100,19,-0.02,0.14,0.09,0,0,0,0,0,11,11.8,11.6,1.1,7.7,20.9,21.8,18,11.1,32.4,20.7,19.5,10,23,10.6,41,11,62,111,8,0.314447592067989,1,1,1,11.1507394694195
"Ezekiel Elliott",17,0,8000,25.8,-0.13,-0.33,-0.23,20.3,22,21.7,2.6,5.1,2.3,2.4,2.8,0.3,11.4,28.5,24.2,40,14.4,34,16.9,16.7,3,1,43.9,22.7,18.8,18,22,1,0.0761245674740484,5,6,5,11.7177298267553
"David Johnson",15,0,7900,18.8,-0.13,-0.09,-0.18,20.7,19.4,20.2,3.6,4.3,9.7,6.9,4.5,0.7,7.3,24.3,25.5,39,17.4,33.5,19.8,38,2,7,27.1,0,17.8,42,63,1,0.1640625,2,2,4,6.99103789435179
"Jordy Nelson",10,0,7800,22.5,0.02,0.08,-0.01,0,0,0,0,0,13.3,10.1,9.2,2.2,7,25.1,18.5,15,8.7,28.3,18.2,11.8,17,13,33.6,22.4,19.4,51,94,8,0.243523316062176,2,1,1,5.91128919060319
"T.Y. Hilton",35,0,7700,28.3,0.09,-0.12,0.2,0,0,0.2,0,0,8.7,10,9.7,0.9,8.8,15.5,18.2,17,6.1,30.4,20.3,20.7,19,20,0,14.2,3,56,100,5,0.277777777777778,1,1,1,17.3623251283491
"Amari Cooper",1,1,7500,26,-0.2,0.13,-0.22,0,0,0.3,0,0,9.3,9.8,8.5,0.9,9.6,18.9,18.9,14,7.7,30.1,16.5,15.7,6,3,0,11.6,38.3,60,100,2,0.267379679144385,1,1,3,0
"Allen Robinson",18,0,7400,20.8,0.03,0,0.02,0,0,0,0,0,13,10.4,9.7,1.6,5.8,21.4,15.3,17,6.5,24.1,17.4,10.8,25,17,30.7,20.6,13,48,98,5,0.25,1,1,1,11.3359790047682
"Kelvin Benjamin",0,0,7300,28,0.15,0.01,0.04,0,0,0,0,0,8,8.4,7.1,1,8.3,12.1,14.6,11,5.7,23.5,13.8,8.6,28,18,14.4,12.6,9.3,43,77,4,0.229166666666667,2,2,1,0
"Dez Bryant",4,0,7200,25.8,-0.13,-0.33,0,0,0,0,0,0,9,8.3,7.1,1,8,17.9,14.8,11,4.1,25.5,14.1,26,3,24,26.6,2.9,24.3,22,52,4,0.179930795847751,4,3,1,3.67140080220841
"Larry Fitzgerald",4,0,7100,18.8,-0.13,-0.09,-0.26,0,0.1,0,0,1,14.3,11.1,9.1,1.4,6.9,20.6,19,14,12,26,16.9,12.3,2,2,28.3,0,17.4,71,103,6,0.268229166666667,1,1,1,2.10526539657424
"Brandin Cooks",0,0,7000,24.5,0.1,-0.26,0.03,0,0.3,0.2,0.1,6.3,5.7,7.4,7.4,0.8,10.4,14.9,17.5,12,6.4,28.6,16.2,11.9,21,22,18.8,11.6,14.4,45,69,6,0.183023872679045,2,2,1,0
"Stefon Diggs",1,1,7000,20.8,-0.2,-0.07,-0.14,0.3,0.4,0.3,0.1,3.3,14,10.1,9.7,1,8.8,25.4,19.3,16,7.7,30.8,16.8,9.7,1,5,32.4,22.2,21.6,62,83,2,0.254601226993865,1,1,2,4.44000663544604
"LeSean McCoy",30,1,6900,22.8,0.03,0.09,0.03,16,16.6,16.3,2.5,5.1,2.7,3.6,4.3,0.4,4.6,18.1,19.7,34,8.8,30.6,18.2,12.5,24,21,0,16,0,25,30,1,0.108695652173913,3,4,3,22.2780847380488
"Jay Ajayi",7,0,6800,19,-0.1,-0.04,-0.13,23.7,15.9,19.3,2.4,5.7,2,1.9,2.2,0.4,4.6,21.9,16.9,36,4.7,29.1,15.6,11.4,6,12,9,25,0,13,16,1,0.060377358490566,4,5,4,5.45956844079778
