"Mike Trout_LAA","Josh Donaldson_Tor","Giancarlo Stanton_Mia","Wil Myers_SD","Christian Yelich_Mia","Albert Pujols_LAA","Jose Bautista_Tor","Dee Gordon_Mia","Kole Calhoun_LAA","Cameron Maybin_LAA","CJ Cron_LAA","Troy Tulowitzki_Tor","Luis Valbuena_LAA","Devon Travis_Tor","JT Realmuto_Mia","Ryan Schimpf_SD","Marcell Ozuna_Mia","Kendrys Morales_Tor","Jefry Marte_LAA","Yangervis Solarte_SD","Russell Martin_Tor","Martin Prado_Mia","Manuel Margot_SD","Yunel Escobar_LAA","Ben Revere_LAA","Justin Bour_Mia","Alex Dickerson_SD","Hunter Renfroe_SD","Andrelton Simmons_LAA","Steve Pearce_Tor","Cory Spangenberg_SD","Derek Dietrich_Mia","Danny Espinosa_LAA","Kevin Pillar_Tor","Travis Jankowski_SD","Destin Hood_Mia","Justin Smoak_Tor","Rowdy Tellez_Tor","Dalton Pompey_Tor","Christian Bethancourt_SD","Austin Hedges_SD","Tyler Moore_Mia","Ichiro Suzuki_Mia","Jarrod Saltalamacchia_Tor","Ezequiel Carrera_Tor","Adeiny Hechavarria_Mia","Erick Aybar_SD","AJ Ellis_Mia","Luis Sardinas_SD","Allen Cordoba_SD","Martin Maldonado_LAA","Juan Graterol_LAA","JT Riddle_Mia","Jabari Blash_SD","Carlos Perez_LAA","Darwin Barney_Tor","Hector Sanchez_SD","Miguel Rojas_Mia","Ryan Goins_Tor","Cliff Pennington_LAA","Ty Kelly_Tor","Chris Coghlan_Tor","Luis Torrens_SD"
28.3076923076923,0,0,0,0,21.1794871794872,0,0,1.27564102564103,1.13636363636364,-3.67857142857143,0,0,0,0,0,0,0,10.9047619047619,0,0,0,0,9.69230769230769,17.4166666666667,0,0,0,-5.11538461538461,0,0,0,14.3846153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.886363636363636,0,0,0,0,0,0,0,0,0,0,0,0
0,48.2380952380952,0,0,0,0,10.3571428571429,0,0,0,0,61.2380952380952,0,6.1,0,0,0,8.14285714285714,0,0,1.66666666666667,0,0,0,0,0,0,0,0,11.55,0,0,0,8.09523809523809,0,0,10.75,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
0,0,101.692307692308,0,-14.5320512820513,0,0,-14.7272727272727,0,0,0,0,0,0,-20.5666666666667,0,-22.7115384615385,0,0,0,0,17,0,0,0,-5.81818181818182,0,0,0,0,0,-4.22222222222222,0,0,0,0,0,0,0,0,0,0,178.5,0,0,0.25,0,-3.33333333333333,0,0,0,0,21,0,0,0,0,-24.952380952381,0,0,0,0,0
0,0,0,78.2571428571429,0,0,0,0,0,0,0,0,0,0,0,-1.30769230769231,0,0,0,7.21428571428571,0,0,2.55494505494505,0,0,0,0,21.7142857142857,0,0,0,0,0,0,-11.6909090909091,0,0,0,0,0,4.5,0,0,0,0,0,-9.57575757575758,0,21,-12.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-14.5320512820513,0,70.1813186813187,0,0,4.54487179487179,0,0,0,0,0,0,-12.6,0,31.5714285714286,0,0,0,0,-5,0,0,0,14.0320512820513,0,0,0,0,0,24.8,0,0,0,0,0,0,0,0,0,0,82.1666666666667,0,0,7.1,0,-3.33333333333333,0,0,0,0,-15.3333333333333,0,0,0,0,-22.25,0,0,0,0,0
21.1794871794872,0,0,0,0,39.5769230769231,0,0,-10.4393939393939,-11.7,-10.0952380952381,0,0,0,0,0,0,0,9.4,0,0,0,0,21.6410256410256,5.16666666666667,0,0,0,6.75,0,0,0,-0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81818181818182,0,0,0,0,0,0,0,0,0,0,0,0
0,10.3571428571429,0,0,0,0,33.5164835164835,0,0,0,0,8.27472527472528,0,-0.0222222222222222,0,0,0,9.14285714285714,0,0,11.6969696969697,0,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,-10.6703296703297,0,0,3.46666666666667,0,0,0,0,0,0,5,12.9047619047619,0,0,0,0,0,0,0,0,0,0,-1.4,0,0,-8,0,0,63,0
0,0,-14.7272727272727,0,4.54487179487179,0,0,30.2692307692308,0,0,0,0,0,0,14.1555555555556,0,11.7628205128205,0,0,0,0,0.5,0,0,0,-1.13636363636364,0,0,0,0,0,7.23611111111111,0,0,0,0,0,0,0,0,0,0,-19.8333333333333,0,0,9.5,0,14,0,0,0,0,-3.33333333333333,0,0,0,0,20.047619047619,0,0,0,0,0
1.27564102564103,0,0,0,0,-10.4393939393939,0,0,36.6025641025641,16,0.761904761904762,0,0,0,0,0,0,0,-0.6,0,0,0,0,5.50641025641026,10.1666666666667,0,0,0,12.2727272727273,0,0,0,-4.55769230769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24545454545455,0,0,0,0,0,0,0,0,0,0,0,0
1.13636363636364,0,0,0,0,-11.7,0,0,16,18.6181818181818,0.1,0,0,0,0,0,0,0,12.2,0,0,0,0,-1.53636363636364,0,0,0,0,-1.19090909090909,0,0,0,14.3909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0
-3.67857142857143,0,0,0,0,-10.0952380952381,0,0,0.761904761904762,0.1,8.69642857142857,0,0,0,0,0,0,0,0,0,0,0,0,-7.46428571428571,5.83333333333333,0,0,0,1.54761904761905,0,0,0,2.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.42857142857143,0,0,0,0,0,0,0,0,0,0,0,0
0,61.2380952380952,0,0,0,0,8.27472527472528,0,0,0,0,52.8351648351648,0,2.64444444444444,0,0,0,5.48351648351648,0,0,0.212121212121212,0,0,0,0,0,0,0,0,-0.138888888888889,0,0,0,2.18681318681319,0,0,1.82222222222222,0,0,0,0,0,0,60,-10.6904761904762,0,0,0,0,0,0,0,0,0,0,-2.8,0,0,5.33333333333333,0,0,-9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6.1,0,0,0,0,-0.0222222222222222,0,0,0,0,2.64444444444444,0,6.17777777777778,0,0,0,4.44444444444444,0,0,3.16666666666667,0,0,0,0,0,0,0,0,4.04761904761905,0,0,0,-1.08888888888889,0,0,11.6904761904762,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0
0,0,-20.5666666666667,0,-12.6,0,0,14.1555555555556,0,0,0,0,0,0,54.5636363636364,0,21.6727272727273,0,0,0,0,4,0,0,0,-8.91111111111111,0,0,0,0,0,-1.9047619047619,0,0,0,0,0,0,0,0,0,0,2.83333333333333,0,0,25,0,0,0,0,0,0,-2.33333333333333,0,0,0,0,43.6,0,0,0,0,0
0,0,0,-1.30769230769231,0,0,0,0,0,0,0,0,0,0,0,54.6428571428571,0,0,0,7.89010989010989,0,0,-2.88461538461538,0,0,0,0,-11.3021978021978,0,0,0,0,0,0,-4.02727272727273,0,0,0,0,0,-17.8863636363636,0,0,0,0,0,-8.54545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-22.7115384615385,0,31.5714285714286,0,0,11.7628205128205,0,0,0,0,0,0,21.6727272727273,0,122.43956043956,0,0,0,0,9.5,0,0,0,6.71153846153846,0,0,0,0,0,-0.977777777777778,0,0,0,0,0,0,0,0,0,0,19.8333333333333,0,0,17.45,0,25.6666666666667,0,0,0,0,-29.6666666666667,0,0,0,0,35,0,0,0,0,0
0,8.14285714285714,0,0,0,0,9.14285714285714,0,0,0,0,5.48351648351648,0,4.44444444444444,0,0,0,35.1868131868132,0,0,0.128787878787879,0,0,0,0,0,0,0,0,-3.48611111111111,0,0,0,-16.1428571428571,0,0,-14.7111111111111,0,0,0,0,0,0,-12.5,-6.09523809523809,0,0,0,0,0,0,0,0,0,0,17.2,0,0,-28.6666666666667,0,0,18,0
10.9047619047619,0,0,0,0,9.4,0,0,-0.6,12.2,0,0,0,0,0,0,0,0,29.5714285714286,0,0,0,0,22.2619047619048,0,0,0,0,4.76190476190476,0,0,0,21.4047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7.21428571428571,0,0,0,0,0,0,0,0,0,0,0,7.89010989010989,0,0,0,31.5238095238095,0,0,15.0879120879121,0,0,0,0,-8.97619047619048,0,0,0,0,0,0,-0.672727272727273,0,0,0,0,0,3.16666666666667,0,0,0,0,0,17.6060606060606,0,10.5,-5.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.66666666666667,0,0,0,0,11.6969696969697,0,0,0,0,0.212121212121212,0,3.16666666666667,0,0,0,0.128787878787879,0,0,27.5378787878788,0,0,0,0,0,0,0,0,4,0,0,0,11.530303030303,0,0,42.9107142857143,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,-7.4,0,0,3,0,0,24,0
0,0,17,0,-5,0,0,0.5,0,0,0,0,0,0,4,0,9.5,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2.55494505494505,0,0,0,0,0,0,0,0,0,0,0,-2.88461538461538,0,0,0,15.0879120879121,0,0,40.532967032967,0,0,0,0,-3.77472527472527,0,0,0,0,0,0,-4.75555555555556,0,0,0,0,0,-15.0833333333333,0,0,0,0,0,8.1,0,-24.5,11.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0
9.69230769230769,0,0,0,0,21.6410256410256,0,0,5.50641025641026,-1.53636363636364,-7.46428571428571,0,0,0,0,0,0,0,22.2619047619048,0,0,0,0,52.6868131868132,-5.66666666666667,0,0,0,3.8974358974359,0,0,0,2.74725274725275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06818181818182,0,0,0,0,0,0,0,0,0,0,0,0
17.4166666666667,0,0,0,0,5.16666666666667,0,0,10.1666666666667,0,5.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,-5.66666666666667,25.5833333333333,0,0,0,4.66666666666667,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-5.81818181818182,0,14.0320512820513,0,0,-1.13636363636364,0,0,0,0,0,0,-8.91111111111111,0,6.71153846153846,0,0,0,0,3,0,0,0,32.1923076923077,0,0,0,0,0,13.6222222222222,0,0,0,0,0,0,0,0,0,0,8.5,0,0,2.3,0,-7.5,0,0,0,0,12,0,0,0,0,8.5,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
