"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk.Lag1.Snaps","Wk.Lag1.Snap.Pct","Wk.Lag1.Rush.Pct","Wk.Lag1.Tgt.Pct","Wk.Lag1.Touch.Pct","Wk.Lag1.Util.Pct","Wk.Lag2.Snaps","Wk.Lag2.Snap.Pct","Wk.Lag2.Rush.Pct","Wk.Lag2.Tgt.Pct","Wk.Lag2.Touch.Pct","Wk.Lag2.Util.Pct","Wk.Lag3.Snaps","Wk.Lag3.Snap.Pct","Wk.Lag3.Rush.Pct","Wk.Lag3.Tgt.Pct","Wk.Lag3.Touch.Pct","Wk.Lag3.Util.Pct","Wk.Lag1.Rush.Yds","Wk.Lag1.Rush.TDs","Wk.Lag1.Rec","Wk.Lag1.Rec.Yds","Wk.Lag1.Rec.TDs","Wk.Lag2.Rush.Yds","Wk.Lag2.Rush.TDs","Wk.Lag2.Rec","Wk.Lag2.Rec.Yds","Wk.Lag2.Rec.TDs","Wk.Lag3.Rush.Yds","Wk.Lag3.Rush.TDs","Wk.Lag3.Rec","Wk.Lag3.Rec.Yds","Wk.Lag3.Rec.TDs","Value"
12,"0",4900,26,-0.08,0.07,0.11,0,0,0,0,0,8.7,7.3,7.7,0.9,8.3,15.5,12.7,12,6.9,18.4,14.9,12,29,14.8,16.9,14.8,65,95,3,0.18664047151277,1,1,4,45,69,0,24,16,24,42,88,0,14,12,14,48,80,0,19,15,19,0,0,7,78,0,0,0,5,59,1,0,0,7,78,0,0
0,"0",4800,19,-0.16,-0.05,-0.13,0,0.1,0,0,-2,7.3,6.1,7.2,1.1,7.7,13.9,10.5,12,3.1,17.9,12.4,4,4,16.1,5.2,20.5,51,91,5,0.182730923694779,2,2,1,53,91,0,17,13,17,65,92,0,9,5,9,60,94,0,12,8,12,0,0,7,91,0,0,0,3,22,0,0,0,5,95,1,1
6,"0",4800,20.5,0.02,-0.18,-0.11,0,0.4,0.2,0,6.2,6.7,7.6,7.4,0.6,9.1,10,14,12,7.9,20,12.6,9,3,8,10.2,11.9,65,108,4,0.186851211072664,2,1,1,52,90,0,10,4,10,52,74,0,15,10,15,58,81,0,12,10,12,0,0,2,60,0,0,0,5,52,0,0,0,6,59,0,0
2,"0",4800,14,0.03,-0.19,-0.07,0.7,0.3,0,0,14,9.7,5.7,7.5,0.3,8,17.1,9,13,3.5,14.5,11.7,7,8,18,17.1,16.1,40,66,3,0.132796780684105,4,4,3,71,93,0,9,6,9,64,76,3,17,13,20,42,81,0,29,10,29,0,0,4,80,1,12,0,6,99,0,0,0,4,61,1,0
12,"0",4700,23,0.08,0.07,-0.02,0,0.1,0,0.1,6,8.3,6.6,6.2,0.9,8.8,17.1,12.3,10,2.6,22,12.3,28,11,22.4,19.2,9.7,56,87,3,0.169921875,1,1,2,57,86,0,23,16,23,45,80,0,18,13,18,49,78,0,8,6,8,0,0,9,104,0,0,0,6,72,1,0,0,3,67,0,1
0,"0",4600,20.3,-0.02,-0.03,0.09,0,0.1,0,0,22,5.7,6.4,6.7,0.6,6.7,11.5,11.5,12,5.6,17.5,11.9,12,31,15.6,6.9,12.1,58,91,7,0.173333333333333,2,2,2,61,95,0,8,7,8,61,91,0,7,5,7,60,100,0,13,7,13,0,0,4,56,1,0,0,3,39,0,0,0,4,21,1,1
13,"0",4600,20,0.1,-0.15,0.19,0,0,0,0,0,7,9,8.6,1.2,5.2,4.1,11.8,14,3.2,20.5,13.3,20,30,3.5,2.7,6.1,59,134,6,0.23758865248227,1,1,1,51,96,0,16,4,16,62,94,0,5,2,5,83,99,0,12,4,12,0,0,2,15,0,0,0,1,17,0,0,0,3,31,0,1
1,"0",4400,17.3,-0.06,-0.12,0.02,0.3,0.3,0.8,0.1,20.8,5,4.6,6,0.5,6.6,15.1,8.9,11,0.4,17.3,11.8,2,18,14.8,19.4,11.2,28,57,5,0.109826589595376,5,4,2,46,78,0,24,11,24,22,31,5,9,9,14,34,45,0,6,3,6,0,0,5,38,1,56,0,1,8,1,0,0,1,42,1,1
3,"0",4300,20,0.1,-0.15,0.19,0.7,0.4,0,0,5.8,6.7,6.4,8.2,0.5,8.2,10.9,10.9,13,5.5,16.4,12,20,30,6,19.3,7.4,56,93,2,0.164893617021277,2,2,4,50,94,0,6,0,6,48,73,0,17,10,17,80,95,3,11,6,14,0,0,0,0,0,0,0,5,113,0,10,0,3,34,0,0
3,"0",4200,31,0.02,-0.08,0.07,0.7,0.2,0,0,3,4.7,3.8,4.8,0.4,12.9,14.2,9.7,8,1.1,18.3,9.1,26,20,2.8,27.6,12.3,33,53,4,0.103112840466926,4,4,2,52,69,0,4,2,4,57,84,4,12,12,16,68,86,0,7,6,7,0,0,1,18,0,7,0,5,129,1,0,0,4,23,1,0
2,"0",4100,20,0.08,-0.26,0.07,0,0,0,0,0,5.3,5.9,7.2,1.3,6,8.7,10.7,12,5.4,16,13.2,11,15,4.3,13.9,8,61,86,8,0.166023166023166,2,3,1,52,84,0,8,6,8,58,81,0,10,5,10,58,83,0,10,7,10,0,0,3,13,0,0,0,3,49,1,0,0,4,40,0,0
0,"0",4100,26,0.14,-0.21,0.1,0,0,0,0,0,4.7,2.6,0.7,0.3,9.4,11.7,5.4,1,-0.7,11.5,1.3,27,26,18.1,7.2,9.8,18,30,2,0.0628930817610063,8,6,7,55,81,0,9,7,9,50,86,0,12,6,12,25,34,0,12,8,12,0,0,4,111,0,0,0,3,42,0,0,0,2,18,1,0
0,"0",3900,19.8,-0.05,0.15,-0.09,0,0,0,0,0,5,4.7,3.9,0.3,9.8,12.7,10.4,7,2.9,17.8,6.6,13,9,12.2,21.7,4.1,37,65,7,0.158536585365854,3,3,1,26,54,0,12,4,12,57,95,0,12,11,12,62,100,0,8,3,8,0,0,1,52,1,0,0,6,97,1,0,0,2,21,0,0
4,"0",3900,22,-0.02,0.09,-0.16,0.3,0.1,0,0.1,-3,6,6.6,5,0.5,7.2,7.7,10.2,8,1.6,18.7,9.2,18,5,7.9,4.2,10.9,41,79,2,0.153696498054475,4,2,3,68,81,2,12,7,13,58,80,0,7,3,7,52,79,0,12,10,12,-3,0,4,42,0,0,0,2,22,0,0,0,5,59,0,0
0,"0",3200,23,0.08,0.07,-0.02,0.3,0.2,0,0,9.5,5.3,3.2,4.6,0.3,7.7,10,4.8,8,0.3,9.3,7.3,28,11,8,7.5,14.5,19,37,1,0.072265625,8,6,5,17,26,0,18,6,18,45,80,0,16,7,16,39,62,3,15,13,18,0,0,1,10,1,0,0,3,45,0,12,0,4,93,0,0
0,"0",3000,22.3,0.06,-0.17,-0.05,0.7,0.2,0,0,3.3,4.3,4.9,3.4,1.1,5,4.3,5.8,5,2.1,9.4,4.8,6,9,2,4.2,6.7,34,68,1,0.127340823970037,5,4,5,85,98,1,5,2,6,68,87,0,6,3,6,80,100,1,6,6,8,1,0,1,9,0,0,0,2,22,0,4,0,4,23,0,0
