"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk-1.Snaps","Wk-1.Snap.Pct","Wk-1.Rush.Pct","Wk-1.Tgt.Pct","Wk-1.Touch.Pct","Wk-1.Util.Pct","Wk-2.Snaps","Wk-2.Snap.Pct","Wk-2.Rush.Pct","Wk-2.Tgt.Pct","Wk-2.Touch.Pct","Wk-2.Util.Pct","Wk-3.Snaps","Wk-3.Snap.Pct","Wk-3.Rush.Pct","Wk-3.Tgt.Pct","Wk-3.Touch.Pct","Wk-3.Util.Pct","Wk-1.Rush.Yds","Wk-1.Rush.TDs","Wk-1.Rec","Wk-1.Rec.Yds","Wk-1.Rec.TDs","Wk-2.Rush.Yds","Wk-2.Rush.TDs","Wk-2.Rec","Wk-2.Rec.Yds","Wk-2.Rec.TDs","Wk-3.Rush.Yds","Wk-3.Rush.TDs","Wk-3.Rec","Wk-3.Rec.Yds","Wk-3.Rec.TDs","Value"
0,"0",5000,21.5,-0.17,0.05,-0.1,0,0,0,0,0,7.3,9,7.9,0.5,6,10.7,12.1,13,5.7,18.5,13.1,10,5,16.4,27.3,9.6,1.4,16.6,16.1,8.6,8.4,0,9.8,10.8,12,14.8,5.3,60,123,4,0.265086206896552,1,1,1,72,99,0,6,3,6,66,100,0,12,5,12,68,97,0,15,7,15,0,0,2,33,0,0,0,3,58,1,0,0,5,70,0,0
7,"0",4800,23,-0.01,-0.06,0.09,0.3,0.4,0.2,0,6.2,6.3,7.8,6.8,0.7,8.9,10.2,14.4,12,8.3,20.5,11.5,12,30,19.2,20.1,6.9,10.7,13.3,13.7,25,0,25.4,9.9,12.5,8.6,11.9,10.2,63,103,4,0.187272727272727,2,1,1,52,74,0,15,10,15,58,81,0,12,10,12,56,82,2,7,7,9,0,0,5,52,0,0,0,6,59,0,-1,0,3,57,0,0
8,"1",4800,24.8,0.07,0.07,-0.01,0,0.1,0,0,11,8.3,5.8,6.1,0.5,10.1,15,12,10,5.4,18.5,13.4,29,14,9.4,8.1,5.9,4.1,28.7,0,7.2,7,10.8,12.2,17.5,13.3,14.6,17.1,57,76,3,0.16135881104034,3,3,2,45,68,0,11,9,11,63,85,0,14,11,14,56,95,0,20,14,20,0,0,4,101,0,0,0,7,86,0,0,0,8,53,0,0
3,"0",4700,23.3,-0.22,0.18,-0.37,0,0,0,0,0,7.3,4.2,6.3,0.9,8.5,17.2,8.8,10,0.7,16.9,10.8,1,1,5.3,2.5,3.7,0,2.7,0,0,0,0,2.3,19.8,21.2,16.2,14.1,29,44,4,0.0912863070539419,5,5,2,54,79,0,9,7,9,67,85,0,15,12,15,34,47,0,21,15,21,0,0,4,41,1,0,0,8,82,0,0,0,5,42,2,0
1,"0",4700,21.3,0.04,-0.16,-0.1,0,0.1,0,0,-2,7.3,5.9,7.4,1.1,7.5,10.8,10.1,12,2.5,17.6,11.2,9,3,13.1,6.9,5.2,8.4,26.8,9.3,18.3,1.6,0,1.9,7.2,6.8,20.5,5.2,44,81,5,0.170526315789474,4,2,1,65,92,0,9,5,9,60,94,0,12,8,12,67,89,0,13,5,13,0,0,3,22,0,0,0,5,95,1,0,0,3,38,0,0
3,"0",4700,28.8,0.13,-0.16,0.09,0,0,0,0,0,6.3,7,7.4,0.9,8.5,13.3,12.5,12,6.6,18.4,13.9,28,27,11.1,4.5,10.9,7.9,16.6,13.7,4.2,12.7,0,14.1,26.6,8.3,14.8,16.9,65,95,3,0.18664047151277,1,1,4,42,88,0,14,12,14,48,80,0,19,15,19,52,69,0,8,8,8,0,0,5,59,1,0,0,7,78,0,0,0,4,43,0,0
1,"0",4700,21,0.03,-0.05,0.06,0,0,0,0,0,4.3,5.9,6.3,0.7,8.4,8.4,10.8,11,3.9,17.7,11.2,24,17,0,21.6,14.1,4,9,7.8,5,0,2.8,18.3,21.9,9.4,12.4,3.4,47,70,4,0.178117048346056,2,2,2,58,97,0,5,3,5,49,79,0,8,6,8,37,63,0,16,8,16,0,0,2,14,0,0,0,3,34,1,0,0,3,64,0,0
2,"0",4600,21.3,0.04,-0.16,-0.1,0.7,0.2,0.2,0,14.3,7,5.5,6.5,0.6,7.4,12.2,8.5,11,3.3,13.6,11.3,9,3,4.4,12.8,4.8,2,6.3,11.9,1.3,9.1,0,3.2,17.4,11.2,10.6,14.9,49,72,1,0.151578947368421,2,3,4,41,58,5,15,20,20,42,66,0,14,10,14,55,73,0,16,9,16,40,0,6,49,0,0,0,4,66,0,0,0,5,62,0,0
0,"0",4600,12.3,-0.04,-0.08,0.03,0,0,0,0,0,9.3,7.6,6.9,0.8,9.5,15.4,14.7,12,7.4,22.1,11.7,5,20,10.7,15.4,6.8,12.2,12.5,35.6,7.3,0,14.9,20.9,9.3,16.2,14.7,15.2,64,102,5,0.226666666666667,1,1,1,59,82,0,20,12,20,49,94,0,12,4,12,47,89,0,21,11,21,0,0,7,82,0,0,0,2,67,1,0,0,5,52,1,0
1,"0",4600,23.3,0.02,-0.09,-0.02,0.3,0.1,0,0,22,4,6.5,7.2,0.6,6.4,7.1,11.2,12,5.1,17.3,12.4,18,8,13.3,22.7,18.3,7,3.4,6.5,8.2,0,14,15.2,16,2.2,12.1,6.9,54,86,6,0.173387096774194,2,2,2,61,91,0,7,5,7,60,100,0,13,7,13,51,91,2,0,2,2,0,0,3,39,0,0,0,4,21,1,22,0,0,0,0,0
