"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Week1","Week2","Week3","Week4","Week5","Week6","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk-1.Snaps","Wk-1.Snap.Pct","Wk-1.Rush.Pct","Wk-1.Tgt.Pct","Wk-1.Touch.Pct","Wk-1.Util.Pct","Wk-2.Snaps","Wk-2.Snap.Pct","Wk-2.Rush.Pct","Wk-2.Tgt.Pct","Wk-2.Touch.Pct","Wk-2.Util.Pct","Wk-3.Snaps","Wk-3.Snap.Pct","Wk-3.Rush.Pct","Wk-3.Tgt.Pct","Wk-3.Touch.Pct","Wk-3.Util.Pct","Wk-1.Rush.Yds","Wk-1.Rush.TDs","Wk-1.Rec","Wk-1.Rec.Yds","Wk-1.Rec.TDs","Wk-2.Rush.Yds","Wk-2.Rush.TDs","Wk-2.Rec","Wk-2.Rec.Yds","Wk-2.Rec.TDs","Wk-3.Rush.Yds","Wk-3.Rush.TDs","Wk-3.Rec","Wk-3.Rec.Yds","Wk-3.Rec.TDs","Value"
7,"0",4700,19.5,0.09,-0.31,-0.03,0.3,0.3,0,0.3,6,10.7,8.8,7.3,1.3,8.4,20.9,16.5,14,3.1,30,14.3,20,32,0,0,3.4,6.8,30.6,25.3,26,37,1,0.15546218487395,4,4,3,68,85,0,22,16,22,63,96,2,19,16,21,26,38,0,19,15,19,0,0,11,113,0,6,0,9,130,1,0,0,4,28,0,0
1,"0",4600,21.3,-0.1,-0.34,0.18,0,0,0,0,0,6.3,7.3,6.9,0.7,7.6,9.4,11.6,12,7.1,16.1,8.7,7,29,18.4,15.2,7.7,12,9.1,7.2,30,45,1,0.198237885462555,1,2,3,50,93,0,10,6,10,49,85,0,14,8,14,67,94,0,10,9,10,0,0,3,42,0,0,0,4,51,0,0,0,6,60,0,0
3,"0",4300,20.8,0.04,-0.08,0.1,0,0,0,0,0,6,6.7,5.7,0.5,12.3,20.1,15.5,9,5.3,25.8,8.9,16,18,10.7,15.4,6.8,12.2,12.5,35.6,30,43,2,0.228723404255319,1,2,2,47,81,0,17,15,17,53,79,0,11,9,11,46,78,0,9,9,9,0,0,7,136,2,0,0,5,75,0,0,0,4,82,0,0
5,"0",4000,24.5,-0.02,0.18,-0.01,0,0,0,0,0,7,6.2,5.9,1.2,6.6,12.6,11.9,10,7,16.8,10.8,16,11,6.5,14.8,12.2,9.1,8.8,20,31,39,4,0.178082191780822,1,3,1,53,86,0,17,15,17,53,87,0,8,8,8,54,86,0,15,11,15,0,0,8,60,1,0,0,4,48,0,0,0,6,31,0,0
7,"0",3900,29,0.12,0.12,0.08,0,0.2,0,0,-2,7.3,6.2,5.3,1.3,7.8,14.8,11.6,9,3.7,19.5,8.9,31,21,13.1,6.9,5.2,8.4,26.8,9.3,23,39,3,0.173333333333333,3,2,1,62,91,0,8,3,8,65,93,0,17,12,17,65,93,0,9,6,9,0,0,2,13,1,0,0,8,68,2,0,0,4,44,0,0
3,"0",3600,26.3,0.15,0.12,0.01,0,0,0,0,0,3,4.5,4.3,0.5,10.4,13.1,9.9,7,5.8,14,9.4,26,7,5.6,8,6.2,10.2,13.2,16,19,26,2,0.13265306122449,2,5,2,25,40,0,12,12,12,41,55,0,10,10,10,25,38,0,8,8,8,0,0,3,70,1,0,0,4,32,1,0,0,2,82,0,0
1,"0",3200,20.8,0.04,-0.08,0.1,0,0,0,0,0,5,3.8,4.3,0.2,11.5,13.4,10.1,7,3.4,16.8,6.6,16,18,5.3,1.8,13.3,20.9,8.1,11.1,16,23,3,0.122340425531915,4,4,1,40,69,0,13,13,13,44,66,0,9,7,9,33,56,0,18,6,18,0,0,5,61,0,0,0,3,51,0,0,0,2,69,2,0
1,"0",3000,22.3,-0.03,-0.16,0.05,0,0,0,0,0,4.3,3.2,5.1,0.6,7.9,7.2,4.3,9,-0.1,8.7,11.6,9,9,0,0,0,5.9,5.4,10.3,10,18,0,0.0737704918032787,7,7,7,53,72,0,8,8,8,54,79,0,11,6,11,51,65,0,6,4,6,0,0,4,63,0,0,0,3,24,0,0,0,2,39,0,0
2,"0",3000,17.5,-0.02,0.03,-0.05,0,0.3,0.3,0,0,4.7,4,3,0.5,7.3,9.7,6.4,6,1.1,11.7,6.1,21,13,-0.1,5.8,3.5,5.8,15.6,7.8,15,24,1,0.109090909090909,4,4,3,53,79,0,8,6,8,54,86,0,13,7,13,54,75,0,6,6,6,0,0,3,48,0,0,0,4,56,1,0,0,3,28,0,0
9,"1",3000,24.3,-0.04,0.4,0.15,0,0,0,0,0,5,5,5.6,0.4,6.6,5.2,7.9,10,-0.6,16.4,11.9,20,26,0,22.2,1.6,2.2,9.3,4.2,9,26,2,0.153846153846154,4,3,1,50,63,0,8,4,8,38,69,0,16,5,16,61,80,0,8,2,8,0,0,2,22,0,0,0,2,13,1,0,0,1,12,0,1
2,"0",3000,23,0.03,-0.02,-0.09,0,0,0,0,0,4,4.5,2.9,0.5,6.4,5,5.6,5,1.8,9.3,4.6,23,27,11,5.5,1.8,2.3,3.6,9.2,16,26,0,0.146892655367232,2,3,4,55,90,0,13,7,13,71,91,0,3,3,3,51,96,0,6,2,6,0,0,4,52,0,0,0,2,16,0,0,0,1,13,0,0
