"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk-1.Snaps","Wk-1.Snap.Pct","Wk-1.Rush.Pct","Wk-1.Tgt.Pct","Wk-1.Touch.Pct","Wk-1.Util.Pct","Wk-2.Snaps","Wk-2.Snap.Pct","Wk-2.Rush.Pct","Wk-2.Tgt.Pct","Wk-2.Touch.Pct","Wk-2.Util.Pct","Wk-3.Snaps","Wk-3.Snap.Pct","Wk-3.Rush.Pct","Wk-3.Tgt.Pct","Wk-3.Touch.Pct","Wk-3.Util.Pct","Wk-1.Rush.Yds","Wk-1.Rush.TDs","Wk-1.Rec","Wk-1.Rec.Yds","Wk-1.Rec.TDs","Wk-2.Rush.Yds","Wk-2.Rush.TDs","Wk-2.Rec","Wk-2.Rec.Yds","Wk-2.Rec.TDs","Wk-3.Rush.Yds","Wk-3.Rush.TDs","Wk-3.Rec","Wk-3.Rec.Yds","Wk-3.Rec.TDs","Value"
2,"1",4900,17.8,-0.02,0.05,0.07,0,0,0,0,0,9.7,8,6,1.4,7.9,14.6,12.5,11,7.6,17.4,11.2,11,24,11.5,11.4,8,12.7,0,12.4,8.5,22.8,31,57,2,0.18936877076412,3,2,3,61,85,0,18,12,18,56,84,0,13,7,13,49,82,0,22,10,22,0,0,7,98,1,0,0,4,45,0,0,0,5,74,0,0
3,"0",4700,19.3,-0.14,-0.14,-0.35,0.3,0.8,0.4,0.1,0.5,10.3,7.8,7.6,0.8,7,20.1,11.6,14,1.7,21.5,15,1,2,11.3,3.3,7.2,3.1,7.5,33.8,15.3,11.2,38,67,2,0.227118644067797,1,2,4,54,89,0,17,13,17,44,83,0,27,14,27,50,81,2,20,18,22,0,0,7,42,0,0,0,6,93,0,3,0,8,165,1,1
1,"0",4100,26.8,0.1,0.06,0.01,0,0,0,0,0,8,6.3,5.7,1.1,6.8,14.2,10.7,10,2.6,18.7,13.3,26,27,21,4.9,6.1,4.2,6.3,15.7,3.6,23.4,34,53,3,0.186619718309859,2,2,2,55,87,0,18,16,18,51,79,0,8,4,8,52,78,0,19,10,19,0,0,9,84,1,0,0,2,16,0,0,0,5,47,1,0
1,"0",3400,17.8,-0.02,0.05,0.07,0,0,0.2,0,0,5.7,5.9,5.7,0.7,8.7,11.6,9.7,11,3.5,15.9,8.2,11,24,4.2,12.5,9.4,6.8,0,12.1,20.7,2.1,32,43,0,0.142857142857143,1,3,8,58,81,0,5,2,5,47,70,0,17,15,17,44,73,0,14,14,14,0,0,1,21,0,0,0,7,107,0,0,0,6,61,0,0
1,"0",3100,24.5,0,0.1,0.09,0,0,0,0,0,5.3,4.9,4.3,0.6,7.2,8.1,6.6,7,3.6,9.7,9.4,15,18,10.7,3.1,3.1,5.3,0,6.5,8.1,9.7,24,36,0,0.147540983606557,3,3,5,46,85,0,15,9,15,56,89,0,7,5,7,53,80,0,9,6,9,0,0,4,57,0,0,0,3,51,0,0,0,3,35,0,0
0,"0",3000,20.8,-0.06,0.26,0,0.3,0.2,0,0,30,5,4.2,3,0.2,6.1,7.5,5.5,5,2.7,8.4,6.6,19,25,0,0,5.4,3.2,2,6.4,10.1,6.1,15,25,0,0.087719298245614,5,5,6,62,85,0,10,5,10,50,74,2,6,8,8,54,100,0,11,7,11,0,0,3,31,0,30,0,3,41,0,0,0,4,24,0,0
0,"0",3000,18.5,-0.05,-0.17,-0.13,0,0,0,0,0,3.7,3,2.8,0.5,5.5,5.4,5.9,5,2.3,9.5,5.5,4,8,0,0,0,0,0,0,0,0,5,14,2,0.0580912863070539,9,6,2,64,82,0,8,2,8,53,93,0,8,4,8,46,58,0,4,2,4,0,0,1,7,0,0,0,2,25,0,0,0,1,30,1,0
