"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk-1.Snaps","Wk-1.Snap.Pct","Wk-1.Rush.Pct","Wk-1.Tgt.Pct","Wk-1.Touch.Pct","Wk-1.Util.Pct","Wk-2.Snaps","Wk-2.Snap.Pct","Wk-2.Rush.Pct","Wk-2.Tgt.Pct","Wk-2.Touch.Pct","Wk-2.Util.Pct","Wk-3.Snaps","Wk-3.Snap.Pct","Wk-3.Rush.Pct","Wk-3.Tgt.Pct","Wk-3.Touch.Pct","Wk-3.Util.Pct","Wk-1.Rush.Yds","Wk-1.Rush.TDs","Wk-1.Rec","Wk-1.Rec.Yds","Wk-1.Rec.TDs","Wk-2.Rush.Yds","Wk-2.Rush.TDs","Wk-2.Rec","Wk-2.Rec.Yds","Wk-2.Rec.TDs","Wk-3.Rush.Yds","Wk-3.Rush.TDs","Wk-3.Rec","Wk-3.Rec.Yds","Wk-3.Rec.TDs","Value"
1,"0",5000,24.5,0.1,-0.26,0.03,0,0,0,0,0,7.3,7.3,7,0.8,9,13.3,15.2,11,5,25.3,14.9,21,22,35.2,16.4,0,3.3,0,8.7,17.7,11.6,6.6,21.7,43,58,4,0.153846153846154,3,3,3,30,59,0,23,17,23,52,60,0,14,6,14,56,74,0,14,11,14,0,0,5,47,2,0,0,3,36,0,0,0,6,56,0,0
23,"0",4500,26,0.07,0.1,0.06,1.3,1,0,0,6.3,8,4.6,6.6,0.8,7.9,15.9,10.4,11,3.5,17.4,12.3,28,30,7.9,2.7,5.3,13.2,0,4,13.1,21.5,6.2,20.1,32,40,4,0.121951219512195,2,4,1,39,61,3,33,28,36,34,59,6,15,15,21,21,28,5,29,29,33,12,0,10,89,0,21,0,3,11,0,7,0,5,98,1,0
3,"0",4200,25.3,0.13,0.07,-0.01,0.3,0.1,0,0,15,4.3,4.3,4.3,0.3,10.8,12.4,10.8,7,0.3,21.4,7.6,29,16,0,0,0,3.4,1.9,30.3,3.2,19.9,8.4,8.8,21,29,3,0.088145896656535,5,5,3,26,43,0,12,8,12,44,68,0,11,5,11,26,39,4,19,19,23,0,0,2,8,1,0,0,2,64,0,15,0,4,84,1,0
2,"0",4000,20.8,0.03,0,0.02,0.7,0.2,0.2,0,8.5,5.7,6.1,6.1,0.7,8.9,8.4,10.1,11,4.6,15.6,9.1,25,17,4.2,12.5,9.4,6.8,0,12.1,20.7,2.1,13.5,9.6,40,59,0,0.150510204081633,2,3,9,54,69,2,11,9,13,62,81,2,13,8,15,58,81,0,5,2,5,6,0,4,50,0,11,0,4,84,0,0,0,1,21,0,0
2,"0",3900,19,-0.02,0.14,0.09,0.3,0.3,0,0,5,6.3,5.9,5.4,0.4,7.2,11.4,9.5,9,3.1,16,9.9,10,23,7.1,12.7,22,1.4,4.1,0,4.3,8.8,15.6,9.8,40,59,1,0.1671388101983,2,2,4,49,65,2,16,12,18,73,91,0,10,7,10,48,69,0,8,6,8,2,0,5,46,0,0,0,5,46,1,0,0,3,58,0,0
1,"0",3900,28,0.15,0.01,0.04,0.3,0.8,0,0,5.3,7,5.2,4.7,0.1,7,9.6,7.1,8,3.3,10.8,9.4,28,18,3.5,6.6,9.7,3.4,0.5,11,0,10.3,9,9.5,31,48,1,0.142857142857143,3,3,4,53,74,2,15,11,17,43,67,0,16,12,16,35,52,0,17,14,17,1,0,5,44,0,0,0,5,40,0,0,0,5,53,0,0
3,"0",3800,20.8,-0.2,-0.07,-0.14,0.3,0.1,0,0,11,5,5,4.1,0.6,10.1,10,10.4,7,3.1,17.7,8.1,1,5,9.4,8.1,5.9,4.1,28.7,0,7.2,7,10.8,12.2,33,44,2,0.134969325153374,3,3,2,57,85,2,7,7,9,35,50,0,17,11,17,54,89,0,9,6,9,11,0,3,21,1,0,0,4,68,0,0,0,3,40,0,0
0,"0",3700,28,0.15,0.01,0.04,0,0,0,0,0,4.3,4,4.1,0.5,7.3,8.4,7.2,7,2,12.3,6.7,28,18,1.9,9.9,0,7.6,0,12.8,0,6.8,3.8,14.6,14,36,3,0.107142857142857,6,4,2,28,39,0,14,11,14,29,45,0,17,3,17,30,45,0,13,10,13,0,0,3,56,1,0,0,1,28,0,0,0,3,38,0,0
1,"0",3600,24.8,-0.09,-0.06,-0.03,0.3,0.2,0,0,7.5,4,3.8,4,0.4,8.4,7.1,5.7,7,1.4,9.9,8.2,5,19,4.7,13.9,0,2.3,0,5.5,3.3,7.2,4,10.2,23,39,0,0.125806451612903,4,4,5,42,60,0,14,7,14,27,57,4,7,7,11,34,63,0,12,12,12,0,0,3,72,0,13,0,1,17,0,0,0,4,32,0,0
1,"0",3300,26,0.07,0.1,0.06,0,0,0,0,0,4,4.6,7,0.9,8,5.6,6.6,11,3.4,9.8,11,28,30,8.3,3.5,7.4,13,0,5.6,4.9,8.9,5.8,2.2,27,45,0,0.13719512195122,4,3,6,54,84,0,6,2,6,51,88,0,8,6,8,54,73,0,9,6,9,0,0,1,12,0,0,0,3,28,0,0,0,3,59,0,0
