"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Week1","Week2","Week3","Week4","Week5","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk-1.Snaps","Wk-1.Snap.Pct","Wk-1.Rush.Pct","Wk-1.Tgt.Pct","Wk-1.Touch.Pct","Wk-1.Util.Pct","Wk-2.Snaps","Wk-2.Snap.Pct","Wk-2.Rush.Pct","Wk-2.Tgt.Pct","Wk-2.Touch.Pct","Wk-2.Util.Pct","Wk-3.Snaps","Wk-3.Snap.Pct","Wk-3.Rush.Pct","Wk-3.Tgt.Pct","Wk-3.Touch.Pct","Wk-3.Util.Pct","Wk-1.Rush.Yds","Wk-1.Rush.TDs","Wk-1.Rec","Wk-1.Rec.Yds","Wk-1.Rec.TDs","Wk-2.Rush.Yds","Wk-2.Rush.TDs","Wk-2.Rec","Wk-2.Rec.Yds","Wk-2.Rec.TDs","Wk-3.Rush.Yds","Wk-3.Rush.TDs","Wk-3.Rec","Wk-3.Rec.Yds","Wk-3.Rec.TDs","Value"
4,"0",4900,19,-0.19,0.15,-0.03,0,0,0,0,0,8.3,7.8,6.8,0.8,7.5,9.6,12.5,11,8.1,16.9,9,5,10,18.4,15.2,7.7,12,9.1,27,40,1,0.209424083769634,1,2,3,49,85,0,14,8,14,67,94,0,10,9,10,56,82,0,20,7,20,0,0,4,51,0,0,0,6,60,0,0,0,4,37,0,0
8,"0",4700,28.5,0.01,0.46,0.17,0.3,0.4,0,0,2.5,7.7,6.2,5.2,0.8,13.6,18.9,15.3,8,4.1,26.6,11.1,24,29,7.6,12.3,8,13.8,34.9,19,30,2,0.153846153846154,3,2,3,44,58,0,25,14,25,33,56,3,24,21,27,40,67,0,10,8,10,0,0,6,139,2,-1,0,6,79,0,0,0,3,50,0,0
12,"0",4500,26,0.22,-0.34,0.22,0,0,0.3,0,0,10.3,7.6,5.8,0.4,6.5,14.2,9.3,10,-1.8,20.5,14,25,32,1.8,2.4,13,27.4,2.1,19,38,0,0.193877551020408,2,2,4,64,94,0,6,2,6,70,91,0,23,14,23,47,57,0,23,13,23,0,0,1,11,0,0,0,10,144,0,0,0,6,70,0,0
1,"0",4400,21,0.14,-0.59,-0.11,0.3,0.2,0,0,7,5,6.6,5.4,0.6,10.1,13.3,13.4,9,11.4,15.4,10.3,16,27,14.5,12.5,14.3,10.3,15.3,27,35,1,0.217391304347826,1,2,3,29,51,0,14,14,14,51,67,2,8,8,10,30,44,0,23,23,23,0,0,4,53,1,7,0,3,66,0,0,0,7,73,0,1
4,"1",4300,22.3,-0.25,0.16,-0.13,0.3,0.2,0.2,0,3,3.3,4.2,6.7,0.6,11.5,8,8.3,12,3.4,13.1,12.5,5,3,13.4,4,5.7,13.7,4.6,11,21,1,0.0995260663507109,6,4,4,64,94,0,5,3,5,71,91,1,4,3,6,62,87,0,7,5,7,0,0,2,26,0,3,0,1,64,1,0,0,3,27,0,0
1,"0",4100,26.3,0.14,0.11,0.04,0,0,0,0,0,6,7.2,4.4,0.6,5.3,5,7.4,7,2.9,11.9,9.2,31,19,14.6,7.3,7.8,3.5,3.7,19,40,0,0.235294117647059,2,1,5,59,80,0,7,3,7,58,88,0,12,3,12,51,75,0,14,6,14,0,0,2,17,0,0,0,2,15,0,0,0,3,48,0,0
0,"0",4000,20.5,-0.2,0.12,-0.43,0,0,0,0,0,7.7,6.8,5.7,1.6,10.5,15.9,14.4,10,7.5,21.2,11.3,5,1,9.1,15.1,12.9,9,25.7,21,33,2,0.188571428571429,2,2,1,34,67,0,18,15,18,67,96,0,12,8,12,51,85,0,18,12,18,0,0,5,117,1,0,0,5,40,0,0,0,6,69,0,0
0,"0",3900,23.3,-0.02,0.18,0.1,0,0,0,0,0,6,5.6,5.9,0.6,6.6,10,10.3,10,7,13.5,11.1,11,14,6.5,14.8,12.2,9.1,8.8,23,30,3,0.161290322580645,3,4,1,53,87,0,8,8,8,54,86,0,15,11,15,53,78,0,11,8,11,0,0,4,48,0,0,0,6,31,0,0,0,4,22,1,1
2,"0",3800,21,0.14,-0.59,-0.11,0,0,0,0,0,5,4.8,3.9,0,12.4,12.7,11.2,7,7.8,14.5,7.9,16,27,6.4,0,11.8,14.4,12,16,21,1,0.130434782608696,3,4,3,41,72,0,12,12,12,61,80,0,10,7,10,48,71,0,8,8,8,0,0,5,70,0,0,0,4,44,1,0,0,4,88,0,0
0,"0",3200,20.8,0.05,0.11,0.12,0,0,0,0,0,4,3.6,4.2,0.2,11.3,14.1,9.9,7,2.4,17.3,6.8,28,24,5.3,1.8,13.3,20.9,8.1,11,18,3,0.116883116883117,4,4,1,44,66,0,9,7,9,33,56,0,18,6,18,36,55,0,6,6,6,0,0,3,51,0,0,0,2,69,2,0,0,2,53,1,0
