"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk.Lag1.Snaps","Wk.Lag1.Snap.Pct","Wk.Lag1.Rush.Pct","Wk.Lag1.Tgt.Pct","Wk.Lag1.Touch.Pct","Wk.Lag1.Util.Pct","Wk.Lag2.Snaps","Wk.Lag2.Snap.Pct","Wk.Lag2.Rush.Pct","Wk.Lag2.Tgt.Pct","Wk.Lag2.Touch.Pct","Wk.Lag2.Util.Pct","Wk.Lag3.Snaps","Wk.Lag3.Snap.Pct","Wk.Lag3.Rush.Pct","Wk.Lag3.Tgt.Pct","Wk.Lag3.Touch.Pct","Wk.Lag3.Util.Pct","Wk.Lag1.Rush.Yds","Wk.Lag1.Rush.TDs","Wk.Lag1.Rec","Wk.Lag1.Rec.Yds","Wk.Lag1.Rec.TDs","Wk.Lag2.Rush.Yds","Wk.Lag2.Rush.TDs","Wk.Lag2.Rec","Wk.Lag2.Rec.Yds","Wk.Lag2.Rec.TDs","Wk.Lag3.Rush.Yds","Wk.Lag3.Rush.TDs","Wk.Lag3.Rec","Wk.Lag3.Rec.Yds","Wk.Lag3.Rec.TDs","Value"
0,"0",4900,23,-0.02,0.38,0.03,0,0,0,0,0,8,7.8,4.9,1.5,5.5,10.6,10.3,7,8.5,12,9.5,22,18,12.6,10.5,8.8,12,29,2,0.173652694610778,4,3,2,35,46,0,20,9,20,74,90,0,15,5,15,58,95,0,12,5,12,0,0,3,36,1,0,0,4,65,0,0,0,2,8,1,0
2,"0",4800,25.8,-0.17,0.21,-0.05,0.3,0.3,0.2,0,3,4,4.5,7.5,0.5,11.9,7.8,9.2,12,4.1,14.3,14.7,12,14,13.7,5.7,4,9,17,1,0.0994152046783626,6,6,3,71,91,1,4,3,6,62,87,0,7,5,7,51,73,0,12,8,12,3,0,1,64,1,0,0,3,27,0,0,0,1,30,0,0
0,"0",4800,20.5,-0.27,0.11,-0.38,0,0,0,0,0,4,5,5.5,1.3,7.6,5.1,9.1,9,1,17.1,9.9,3,1,4.2,6.1,4.9,13,21,1,0.151079136690647,3,2,4,52,78,0,6,4,6,27,42,0,15,11,15,56,86,0,14,9,14,0,0,2,22,0,0,0,3,31,0,0,0,3,19,0,0
26,"0",4700,23.5,0.26,0.32,0.35,0,0,0,0,0,7.7,7,6.5,2,8.6,12.3,11.5,10,8.5,14.5,11.2,31,31,9,12.9,15.1,16,27,1,0.183673469387755,2,2,2,67,96,0,12,8,12,51,85,0,18,12,18,50,74,0,12,6,12,0,0,5,40,0,0,0,6,69,0,0,0,3,61,1,1
22,"0",4600,20,0.21,-0.23,0.02,0,0,0,0,0,8,8,8.6,1,7.6,11.6,13.3,14,8.8,17.9,12.7,17,7,12,7.7,15.2,23,33,1,0.215686274509804,1,2,2,67,94,0,10,9,10,56,82,0,20,7,20,46,61,0,13,13,13,0,0,6,60,0,0,0,4,37,0,0,0,6,92,0,0
3,"0",4500,21,0.25,-0.58,-0.06,0,0,0,0,0,6.7,6,5,1,10.2,10.7,11.4,8,9.7,13,8.3,23,30,10,10,12.1,16,25,1,0.158227848101266,3,3,2,66,100,0,14,8,14,66,99,0,5,5,5,50,89,0,8,8,8,0,0,5,50,0,0,0,3,70,0,0,0,4,91,0,0
4,"0",4400,21,0.09,0.27,0.22,0,0,0,0,0,7,8,5.2,0.8,5.4,6.2,8.3,8,3.7,12.9,10.4,19,29,3.5,7.8,7.3,17,35,0,0.25,2,1,4,58,88,0,12,3,12,51,75,0,14,6,14,64,96,0,17,11,17,0,0,2,15,0,0,0,3,48,0,0,0,4,33,0,0
2,"0",4300,21.8,-0.1,-0.04,0.05,0.3,0.3,0,0,7,5.7,7.3,6.7,0.5,9.6,12.4,12.9,11,10.9,14.9,10.5,13,21,10.3,14.3,12.5,23,31,0,0.227941176470588,1,1,4,51,67,2,8,8,10,30,44,0,23,23,23,41,60,0,15,12,15,7,0,3,66,0,0,0,7,73,0,0,0,5,75,0,0
0,"0",4000,21.3,-0.14,-0.3,-0.32,0,0,0,0,0,7,6,5.7,0.8,5.7,12,10.6,10,7,14.3,10.8,1,5,9.1,12.2,14.8,19,25,3,0.15625,4,4,1,54,86,0,15,11,15,53,78,0,11,8,11,67,85,0,10,6,10,0,0,6,31,0,0,0,4,22,1,0,0,4,48,1,0
23,"0",3600,30,0.15,-0.31,0.06,0.7,0.5,0,0,2.5,5.7,5,4.7,0.5,14.1,11.4,10.4,8,7.3,13.5,8.9,22,22,13.8,8,12.3,13,19,0,0.131944444444444,3,3,8,33,56,3,24,21,27,40,67,0,10,8,10,35,47,3,14,9,17,-1,0,6,79,0,0,0,3,50,0,6,0,2,97,0,1
