"Likes","Inj","Salary","Vegas.Pts","Defense.Pass.Yds.G","Defense.Rush.Yds.G","DvP","L3.Rush.Att","S.Rush.Att","Proj.Rush.Att","Red.Zone.Rush.Att","Yards.Per.Rush.Att","L3.Targets","S.Targets","Proj.Targets","Red.Zone.Targets","Yards.Per.Target","L3.FP","S.FP","Projected.Usage","Floor.FP","Ceil.FP","Proj.FP","Opp.Rank","Opp.Pos.Rank","Wk.Lag1.Fpts","Wk.Lag2.Fpts","Wk.Lag3.Fpts","CompletionsRolling","TargetsRolling","TDsRolling","RollingTargetPctg","RankCompletions","RankTargets","RankTDs","Wk.Lag1.Snaps","Wk.Lag1.Snap.Pct","Wk.Lag1.Rush.Pct","Wk.Lag1.Tgt.Pct","Wk.Lag1.Touch.Pct","Wk.Lag1.Util.Pct","Wk.Lag2.Snaps","Wk.Lag2.Snap.Pct","Wk.Lag2.Rush.Pct","Wk.Lag2.Tgt.Pct","Wk.Lag2.Touch.Pct","Wk.Lag2.Util.Pct","Wk.Lag3.Snaps","Wk.Lag3.Snap.Pct","Wk.Lag3.Rush.Pct","Wk.Lag3.Tgt.Pct","Wk.Lag3.Touch.Pct","Wk.Lag3.Util.Pct","Wk.Lag1.Rush.Yds","Wk.Lag1.Rush.TDs","Wk.Lag1.Rec","Wk.Lag1.Rec.Yds","Wk.Lag1.Rec.TDs","Wk.Lag2.Rush.Yds","Wk.Lag2.Rush.TDs","Wk.Lag2.Rec","Wk.Lag2.Rec.Yds","Wk.Lag2.Rec.TDs","Wk.Lag3.Rush.Yds","Wk.Lag3.Rush.TDs","Wk.Lag3.Rec","Wk.Lag3.Rec.Yds","Wk.Lag3.Rec.TDs","Value"
5,"0",5000,15.8,0.02,-0.07,-0.06,0,0,0,0,0,9,7.4,8,0.5,9.7,15.5,14.7,14,6.6,22.8,11.5,9,9,16.2,9.3,20.9,55,86,4,0.228723404255319,1,1,1,47,89,0,21,11,21,60,97,0,12,8,12,57,84,0,18,12,18,0,0,5,52,1,0,0,5,43,0,0,0,7,109,0,0
3,"0",5000,22.5,-0.06,0.24,-0.02,0.7,0.5,0.3,0,6.2,6.3,7.8,6.7,0.7,9.2,10.3,15,11,8.6,21.5,11.3,15,16,8.6,12.5,9.9,52,90,4,0.2,2,1,1,56,82,2,7,7,9,47,86,2,21,13,23,59,72,0,9,7,9,-1,0,3,57,0,13,0,5,62,0,0,0,4,59,0,0
0,"0",4900,20.3,0.1,-0.24,0.08,0.3,0.1,0,0,11,6.7,5.5,4.5,0.5,9.4,14.3,11.3,8,4.4,18.2,9.6,15,17,13.3,17.5,12.2,46,61,3,0.158031088082902,3,3,2,56,95,0,20,14,20,44,76,0,11,11,11,57,85,2,7,7,9,0,0,8,53,0,0,0,5,65,1,11,0,3,21,1,0
2,"0",4900,21.3,0.07,-0.11,-0.1,0.3,0.1,0,0,22,6,6.5,7.5,0.6,6.6,11.1,11.5,12,5,18,13.6,12,4,2.2,16,15.2,46,73,5,0.172169811320755,2,2,2,51,91,2,0,2,2,63,94,0,18,8,18,71,95,0,10,7,10,22,0,0,0,0,0,0,5,50,1,0,0,5,42,1,0
34,"0",4600,22.5,0.13,-0.07,0.05,1,1,0.4,0.2,6.2,9.3,5.1,8.7,0.9,7.6,20.9,12.4,15,3.3,21.5,15.9,30,21,32.5,10.1,20.1,46,57,5,0.140394088669951,2,2,1,59,68,2,17,17,19,36,68,3,14,14,17,39,61,3,33,28,36,3,0,9,52,1,8,0,4,53,0,12,0,10,89,0,0
1,"0",4300,21.5,-0.04,-0.03,0.04,0,0.1,0,0,-2,6.7,5.8,6.3,1,7.1,5.3,9.6,11,2.2,17,10.1,7,23,6.8,7.2,1.9,36,68,4,0.162679425837321,4,2,1,67,89,0,13,5,13,69,95,0,13,6,13,53,91,0,4,2,4,0,0,3,38,0,0,0,4,32,0,0,0,1,9,0,1
5,"0",4200,23,-0.19,-0.07,-0.04,0,0,0,0,0,7,6.9,7,1,8.4,16.3,11.9,11,5.6,18.1,12.9,1,8,8.3,26.6,14.1,53,80,2,0.176991150442478,3,2,4,52,69,0,8,8,8,52,77,0,14,12,14,51,81,0,20,12,20,0,0,4,43,0,0,0,6,116,1,0,0,6,81,0,0
0,"0",4000,17.8,-0.19,0.13,-0.34,1,0.4,0.2,0,6.3,6.7,6.3,7.6,0.6,8.4,13.1,11,13,5.6,16.3,11.7,3,1,13.9,15.8,9.6,48,71,2,0.15673289183223,2,3,4,51,75,2,12,10,14,44,67,2,18,11,21,54,69,2,11,9,13,2,0,4,37,1,6,0,4,52,1,6,0,4,50,0,0
2,"0",4000,17.8,-0.03,-0.06,-0.07,1,0.8,0,0.1,7,7.3,5.5,4.2,0.2,8,16.7,9.5,7,2.7,16.3,8,5,8,25.8,14.9,9.5,37,62,3,0.155,3,3,2,41,63,2,24,12,27,35,57,3,11,11,14,53,74,2,15,11,17,13,0,4,115,1,13,0,3,46,1,1,0,5,44,0,1
1,"0",3900,19,-0.08,-0.3,0.02,0,0,0,0,0,6,4.6,4.2,0.3,9.4,12.1,9.7,8,2.4,17.1,7.3,4,26,16.2,7.3,12.7,28,51,5,0.153614457831325,3,3,1,51,86,0,12,6,12,50,83,0,18,8,18,36,71,0,8,6,8,0,0,3,72,1,0,0,4,33,0,0,0,2,47,1,0
