"Place_lo","Place_hi","Payout"
"1","1","43.5"
"2","2","24"
"3","3","18"
"4","4","12"
"5","5","6"
"6","6","4.5"
"7","7","3.75"
"8","8","3.45"
"9","9","2.7"
"10",NA,"2.1"
"11","20","1.2"
"21","30","1.05"
"31","50","0.9"
"51","100","0.75"
"101","150","0.6"
"151","300","0.48"
