"Player","Pos","Team","Opp","Runs","vs. Pitcher","Hand","ERA/AVG","wOBA","ISO","Avg innings","K/9","WHIP","Order","Salary","Ceiling","Avg","FC Proj","My Proj","Exposure","Con.","Value","Actual Score","Actual Val"
"Carlos Carrasco","P","CLE","@ OAK",3.45,"Gray, R 4.00","R",3.44,0,0,6.2,9.7,1.08,NA,12100,40.4,20.7,18.87,18.87,"%",48,1.6,19.45,1.6
"Jacob deGrom","P","NYM","vs COL",3.29,"Gray, R 3.75","R",3.65,0,0,6.2,10.5,1.18,NA,11800,52.8,21.1,24.42,24.42,"%",33,2.1,39,3.3
"James Paxton","P","SEA","@ CWS",4.15,"Shields, R 4.95","L",3.21,0,0,5.8,10.1,1.17,NA,9900,38.5,19.8,14.63,14.63,"%",40,1.5,28.5,2.9
"Gio Gonzalez","P","WSH","@ CIN",4.85,"Adleman, R 4.71","L",2.86,0,0,6.3,8.7,1.18,NA,9400,27.8,19.3,13.31,13.31,"%",62,1.4,31.15,3.3
"Johnny Cueto","P","SF","@ SD",3.96,"Richard, L 4.66","R",4.51,0,0,6.2,7.8,1.36,NA,8900,31.3,14.8,13.2,13.2,"%",39,1.5,7.6,0.9
"Gerrit Cole","P","PIT","vs STL",3.98,"Leake, R 3.12","R",4.43,0,0,5.7,7.7,1.3,NA,8500,35.3,14.1,14.34,14.34,"%",26,1.7,15.1,1.8
"Justin Verlander","P","DET","vs TOR",4.52,"Sanchez, R 4.85","R",4.73,0,0,5.8,8.4,1.49,NA,8400,36.4,13.7,12.64,12.64,"%",13,1.5,14.4,1.7
"Nick Pivetta","P","PHI","@ MIL",5.46,"Davies, R 4.90","R",4.73,0,0,5.4,9.3,1.44,NA,8400,30.3,13.7,9.29,9.29,"%",23,1.1,-2.75,NA
"Sonny Gray","P","OAK","vs CLE",4.05,"Carrasco, R 3.44","R",4,0,0,6.1,8.4,1.21,NA,8300,37.8,16.4,16.27,16.27,"%",35,2,25.7,3.1
"Jacob Faria","P","TB","@ LAA",4.38,"Nolasco, R 4.71","R",2.11,0,0,6.4,8.7,0.97,NA,8200,24.8,22.4,12.62,12.62,"%",73,1.5,16.2,2
"Jon Gray","P","COL","@ NYM",4.21,"deGrom, R 3.65","R",3.75,0,0,4.8,9,1.46,NA,7900,28.4,13.8,11.66,11.66,"%",39,1.5,-16.7,NA
"Mike Montgomery","P","CHC","@ BAL",5.09,"Gausman, R 5.85","L",3.36,0,0,2.8,7.4,1.33,NA,7800,21.7,6.7,8.42,8.42,"%",1,1.1,0.95,0.1
"Zach Davies","P","MIL","vs PHI",4.04,"Pivetta, R 4.73","R",4.9,0,0,5.4,5.8,1.44,NA,7800,30.1,10.6,12.35,12.35,"%",17,1.6,10.8,1.4
"Drew Pomeranz","P","BOS","vs NYY",3.91,"Montgomery, L 3.65","L",3.6,0,0,5.3,9.8,1.36,NA,7400,36.1,17,16.46,16.46,"%",42,2.2,14.7,2
"Jose Berrios","P","MIN","@ HOU",5.05,"Morton, R 3.82","R",3.53,0,0,6.5,8.7,1.08,NA,7300,31.9,20.4,12.04,12.04,"%",51,1.6,-2.45,NA
"Aaron Sanchez","P","TOR","@ DET",4.98,"Verlander, R 4.73","R",4.85,0,0,4.3,6.3,1.62,NA,7200,30.5,6.8,8.78,8.78,"%",0,1.2,20.1,2.8
"Dan Straily","P","MIA","vs LAD",4.25,"McCarthy, R 3.12","R",3.31,0,0,5.7,8.5,1.04,NA,7100,36,17.3,14.72,14.72,"%",39,2.1,4.45,0.6
"Kevin Gausman","P","BAL","vs CHC",4.91,"Montgomery, L 3.36","R",5.85,0,0,5.1,7.8,1.76,NA,6900,34.9,9.2,10.53,10.53,"%",0,1.5,-4.05,NA
"Charlie Morton","P","HOU","vs MIN",3.95,"Berrios, R 3.53","R",3.82,0,0,5.8,9.6,1.32,NA,6900,29.7,17.8,15.06,15.06,"%",59,2.2,21.85,3.2
"Brandon McCarthy","P","LAD","@ MIA",4.25,"Straily, R 3.31","R",3.12,0,0,5.6,6.6,1.13,NA,6900,27.5,14.8,10.72,10.72,"%",43,1.6,2.5,0.4
"Clayton Richard","P","SD","vs SF",4.04,"Cueto, R 4.51","L",4.66,0,0,6.1,6.2,1.48,NA,6700,34.6,11.4,12.64,12.64,"%",4,1.9,4.95,0.7
"R.A. Dickey","P","ATL","vs ARI",4.63,"Walker, R 3.65","R",4.05,0,0,6.1,6,1.32,NA,6600,31.6,12.7,11.55,11.55,"%",21,1.8,12.9,2
"Jordan Montgomery","P","NYY","@ BOS",4.6,"Pomeranz, L 3.60","L",3.65,0,0,5.7,8.5,1.23,NA,6500,24.8,16.4,11.3,11.3,"%",59,1.7,3.6,0.6
"Taijuan Walker","P","ARI","@ ATL",4.88,"Dickey, R 4.05","R",3.65,0,0,5.8,7.9,1.29,NA,6500,29.7,15.6,10.65,10.65,"%",39,1.6,14.5,2.2
"Mike Leake","P","STL","@ PIT",4.52,"Cole, R 4.43","R",3.12,0,0,6.5,6.1,1.13,NA,6400,27,15.7,10.39,10.39,"%",47,1.6,6.05,0.9
"James Shields","P","CWS","vs SEA",5.35,"Paxton, L 3.21","R",4.95,0,0,5.2,7.4,1.43,NA,6100,25.2,10.4,8.96,8.96,"%",22,1.5,1.5,0.2
"Ricky Nolasco","P","LAA","vs TB",4.12,"Faria, R 2.11","R",4.71,0,0,5.6,7.6,1.37,NA,6000,33.9,12.7,11.45,11.45,"%",12,1.9,23.35,3.9
"Bryce Harper","OF","WSH","@ CIN",5.15,"Adleman, R 4.71","L",0.321,0.432,0.255,0,0,0,3,5600,35,10.5,16,16,"%",55,2.9,34,6.1
"Aaron Judge","OF","NYY","@ BOS",3.91,"Pomeranz, L 3.60","R",0.326,0.471,0.362,0,0,0,3,5500,32.1,11.7,12.29,12.29,"%",58,2.2,2,0.4
"George Springer","OF","HOU","vs MIN",5.05,"Berrios, R 3.53","R",0.304,0.406,0.287,0,0,0,1,5500,33.7,10.5,14.08,14.08,"%",53,2.6,13,2.4
"Joey Votto","1B","CIN","vs WSH",4.85,"Gonzalez, L 2.86","L",0.314,0.443,0.314,0,0,0,3,5400,27.9,10.5,13.37,13.37,"%",66,2.5,2,0.4
"Jason Hammel","P","KC","vs TEX",4.63,"Perez, L 4.60","R",5.04,0,0,5.6,7.2,1.49,NA,5300,27.5,11.1,10.83,10.83,"%",25,2,11.15,2.1
"Jose Altuve","2B","HOU","vs MIN",5.05,"Berrios, R 3.53","R",0.347,0.417,0.205,0,0,0,2,5300,30.7,10.4,13.51,13.51,"%",59,2.5,12,2.3
"Martin Perez","P","TEX","@ KC",4.88,"Hammel, R 5.04","L",4.6,0,0,5.5,6.5,1.63,NA,5200,23.9,10.4,8.54,8.54,"%",26,1.6,10.35,2
"Kris Bryant","3B","CHC","@ BAL",4.91,"Gausman, R 5.85","R",0.272,0.404,0.262,0,0,0,2,5200,31.3,9.4,13.3,13.3,"%",52,2.6,0,NA
"Paul Goldschmidt","1B","ARI","@ ATL",4.63,"Dickey, R 4.05","R",0.31,0.43,0.263,0,0,0,3,5100,29.3,10.8,12.94,12.94,"%",62,2.5,17,3.3
"Andrew McCutchen","OF","PIT","vs STL",4.52,"Leake, R 3.12","R",0.294,0.391,0.234,0,0,0,3,4900,27,9,11.13,11.13,"%",56,2.3,11,2.2
"Freddie Freeman","1B/3B","ATL","vs ARI",4.88,"Walker, R 3.65","L",0.348,0.496,0.398,0,0,0,3,4900,30.9,12.7,11.66,11.66,"%",62,2.4,19,3.9
"Jean Segura","SS","SEA","@ CWS",5.35,"Shields, R 4.95","R",0.35,0.383,0.134,0,0,0,1,4800,28.7,9.3,14.07,14.07,"%",61,2.9,12,2.5
"Anthony Rizzo","1B","CHC","@ BAL",4.91,"Gausman, R 5.85","L",0.258,0.388,0.252,0,0,0,3,4800,29,9.2,13.45,13.45,"%",58,2.8,5,1
"Ian Happ","2B/OF","CHC","@ BAL",4.91,"Gausman, R 5.85","B",0.257,0.363,0.29,0,0,0,6,4800,27.3,8.4,9.79,9.79,"%",48,2,7,1.5
"Gary Sanchez","C","NYY","@ BOS",3.91,"Pomeranz, L 3.60","R",0.273,0.367,0.213,0,0,0,2,4800,28,8.7,9.55,9.55,"%",47,2,21,4.4
"Jake Lamb","3B","ARI","@ ATL",4.63,"Dickey, R 4.05","L",0.279,0.394,0.267,0,0,0,4,4800,28,9.5,11.94,11.94,"%",58,2.5,2,0.4
"Jose Ramirez","2B/3B","CLE","@ OAK",4.05,"Gray, R 4.00","B",0.336,0.419,0.262,0,0,0,5,4700,28.1,9.9,9.8,9.8,"%",54,2.1,5,1.1
"Domingo Santana","OF","MIL","vs PHI",5.46,"Pivetta, R 4.73","R",0.293,0.385,0.208,0,0,0,5,4700,26.7,8.7,11.9,11.9,"%",57,2.5,12,2.6
"Ryan Braun","OF","MIL","vs PHI",5.46,"Pivetta, R 4.73","R",0.259,0.376,0.287,0,0,0,3,4700,28.9,9.1,13.54,13.54,"%",58,2.9,20,4.3
"Timothy Adleman","P","CIN","vs WSH",5.15,"Gonzalez, L 2.86","R",4.71,0,0,5.3,8.2,1.32,NA,4700,27.1,12.8,9.46,9.46,"%",31,2,1.75,0.4
"Adam Duvall","OF","CIN","vs WSH",4.85,"Gonzalez, L 2.86","R",0.275,0.364,0.278,0,0,0,4,4700,28.2,9,11.3,11.3,"%",53,2.4,8,1.7
"Carlos Correa","SS","HOU","vs MIN",5.05,"Berrios, R 3.53","R",0.323,0.416,0.253,0,0,0,4,4700,29.4,10.1,12.37,12.37,"%",58,2.6,9,1.9
"Corey Seager","SS","LAD","@ MIA",4.25,"Straily, R 3.31","L",0.296,0.389,0.203,0,0,0,2,4700,28.3,8.8,11.17,11.17,"%",51,2.4,14,3
"Mookie Betts","OF","BOS","vs NYY",4.6,"Montgomery, L 3.65","R",0.268,0.359,0.217,0,0,0,1,4600,31.4,9.7,11.05,11.05,"%",48,2.4,13,2.8
"Travis Shaw","3B","MIL","vs PHI",5.46,"Pivetta, R 4.73","L",0.302,0.4,0.275,0,0,0,4,4600,29.7,10.1,12.92,12.92,"%",58,2.8,4,0.9
"Eric Thames","1B/OF","MIL","vs PHI",5.46,"Pivetta, R 4.73","L",0.25,0.398,0.316,0,0,0,2,4600,31.1,9.2,12.46,12.46,"%",49,2.7,6,1.3
"Anthony Rendon","3B","WSH","@ CIN",5.15,"Adleman, R 4.71","R",0.303,0.408,0.243,0,0,0,6,4600,31.2,9.2,10.16,10.16,"%",43,2.2,12,2.6
"Charlie Blackmon","OF","COL","@ NYM",3.29,"deGrom, R 3.65","L",0.315,0.395,0.262,0,0,0,1,4600,25.6,10.4,8.58,8.58,"%",59,1.9,10,2.2
"Marwin Gonzalez","3B/OF","HOU","vs MIN",5.05,"Berrios, R 3.53","B",0.308,0.409,0.268,0,0,0,8,4600,22.3,8.7,6.88,6.88,"%",56,1.5,24,5.2
"Max Kepler","OF","MIN","@ HOU",3.95,"Morton, R 3.82","L",0.266,0.34,0.177,0,0,0,4,4600,23.9,7.1,8.99,8.99,"%",47,2,4,0.9
"Justin Turner","3B","LAD","@ MIA",4.25,"Straily, R 3.31","R",0.376,0.454,0.205,0,0,0,3,4600,24.9,9.3,10.65,10.65,"%",62,2.3,3,0.7
"Carlos Gomez","OF","TEX","@ KC",4.63,"Hammel, R 5.04","R",0.248,0.345,0.229,0,0,0,8,4500,24,8.6,6.23,6.23,"%",48,1.4,7,1.6
"Nelson Cruz","OF","SEA","@ CWS",5.35,"Shields, R 4.95","R",0.29,0.38,0.227,0,0,0,4,4500,28.8,8.4,13.42,13.42,"%",54,3,5,1.1
"Edwin Encarnacion","1B","CLE","@ OAK",4.05,"Gray, R 4.00","R",0.267,0.377,0.223,0,0,0,4,4500,27.1,8.6,9.54,9.54,"%",49,2.1,0,NA
"Mike Trout","OF","LAA","vs TB",4.38,"Faria, R 2.11","R",0.337,0.491,0.405,0,0,0,3,4500,25.5,12.4,11.35,11.35,"%",71,2.5,8,1.8
"Nolan Arenado","3B","COL","@ NYM",3.29,"deGrom, R 3.65","R",0.303,0.381,0.245,0,0,0,3,4500,25.2,9.3,8.68,8.68,"%",56,1.9,3,0.7
"Josh Reddick","OF","HOU","vs MIN",5.05,"Berrios, R 3.53","L",0.314,0.368,0.194,0,0,0,3,4500,26.9,8.5,11.09,11.09,"%",53,2.5,10,2.2
"Mike Moustakas","3B","KC","vs TEX",4.88,"Perez, L 4.60","L",0.269,0.358,0.283,0,0,0,6,4400,24.2,8.6,8.65,8.65,"%",55,2,6,1.4
"Nomar Mazara","OF","TEX","@ KC",4.63,"Hammel, R 5.04","L",0.258,0.34,0.191,0,0,0,3,4400,25.4,7.8,10.56,10.56,"%",52,2.4,5,1.1
"Rougned Odor","2B","TEX","@ KC",4.63,"Hammel, R 5.04","L",0.22,0.288,0.194,0,0,0,5,4400,25.1,7.3,10.01,10.01,"%",48,2.3,0,NA
"Brett Gardner","OF","NYY","@ BOS",3.91,"Pomeranz, L 3.60","L",0.248,0.341,0.199,0,0,0,1,4400,26.4,8.8,9.31,9.31,"%",51,2.1,9,2
"Aaron Altherr","OF","PHI","@ MIL",4.04,"Davies, R 4.90","R",0.279,0.372,0.238,0,0,0,1,4400,25.4,7.9,9.32,9.32,"%",49,2.1,12,2.7
"Miguel Sano","3B","MIN","@ HOU",3.95,"Morton, R 3.82","R",0.281,0.394,0.267,0,0,0,3,4400,26.6,9.2,9.84,9.84,"%",54,2.2,8,1.8
"Chris Taylor","2B/OF","LAD","@ MIA",4.25,"Straily, R 3.31","R",0.285,0.368,0.195,0,0,0,1,4400,27,8.3,9.87,9.87,"%",48,2.2,8,1.8
"Brandon Belt","1B/OF","SF","@ SD",4.04,"Richard, L 4.66","L",0.244,0.357,0.228,0,0,0,3,4400,23.8,8.1,9.17,9.17,"%",55,2.1,10,2.3
"Whit Merrifield","2B","KC","vs TEX",4.88,"Perez, L 4.60","R",0.279,0.328,0.168,0,0,0,1,4300,24.6,8,10.25,10.25,"%",55,2.4,10,2.3
"Mark Trumbo","OF","BAL","vs CHC",5.09,"Montgomery, L 3.36","R",0.257,0.325,0.168,0,0,0,4,4300,26,7.5,11.3,11.3,"%",51,2.6,29,6.7
"Manny Machado","3B","BAL","vs CHC",5.09,"Montgomery, L 3.36","R",0.23,0.318,0.215,0,0,0,2,4300,28.1,7.7,10.59,10.59,"%",43,2.5,12,2.8
"Chris Davis","1B","BAL","vs CHC",5.09,"Montgomery, L 3.36","L",0.226,0.337,0.235,0,0,0,5,4300,26,7.3,9.4,9.4,"%",43,2.2,7,1.6
"Dexter Fowler","OF","STL","@ PIT",3.98,"Cole, R 4.43","B",0.241,0.349,0.245,0,0,0,3,4300,24.1,7.9,8.76,8.76,"%",51,2,0,NA
"Steven Souza Jr.","OF","TB","@ LAA",4.12,"Nolasco, R 4.71","R",0.275,0.38,0.232,0,0,0,5,4300,26.7,8.9,9.49,9.49,"%",52,2.2,2,0.5
"Scott Schebler","OF","CIN","vs WSH",4.85,"Gonzalez, L 2.86","L",0.254,0.363,0.275,0,0,0,6,4300,24.2,7.8,7.95,7.95,"%",48,1.8,8,1.9
