Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Arizona Cardinals,1,D,4100,ARI,@IND,18.3,ARI by 7.5,2.9,0.4,1.1,249,101,23.7,8.1,8.0,8.0,8.0,8.0,8.0,9.3,2.3,0.0,0.0
Seattle Seahawks,2,D,4000,SEA,SF,14.0,SEA by 14,3.2,0.9,0.7,182,120,17.6,8.6,7.0,7.0,7.0,7.0,7.0,10.1,2.5,0.0,0.0
Cincinnati Bengals,2,D,3900,CIN,HOU,16.0,CIN by 6,2.5,0.7,1.0,192,114,15.9,9.9,4.0,4.0,4.0,4.0,4.0,10.3,2.6,0.0,0.0
Baltimore Ravens,3,D,3700,BAL,CLE,15.5,BAL by 8,4.4,0.7,0.9,205,103,16.6,11.1,25.0,25.0,25.0,25.0,25.0,9.5,2.6,0.0,0.0
Carolina Panthers,,D,3600,CAR,BUF,17.8,CAR by 7.5,2.9,0.3,0.5,197,172,24.7,5.1,15.0,15.0,15.0,15.0,15.0,8.4,2.3,0.0,0.0
Oakland Raiders,8,D,3500,OAK,NYJ,15.0,OAK by 13.5,2.2,0.6,1.6,216,106,16.2,11.8,2.0,2.0,2.0,2.0,2.0,10.4,3.0,0.0,0.0
Denver Broncos,,D,3400,DEN,DAL,22.0,DAL by 2,1.8,0.6,0.4,229,152,26.3,3.4,5.0,5.0,5.0,5.0,5.0,6.0,1.8,0.0,0.0
New York Giants,,D,3400,NYG,DET,20.3,NYG by 3,2.3,0.3,0.7,254,80,20.5,6.1,2.0,2.0,2.0,2.0,2.0,8.0,2.4,0.0,0.0
Tennessee Titans,1,D,3300,TEN,@JAX,20.8,TEN by 2,1.9,0.8,0.9,222,109,19.5,8.0,2.0,2.0,2.0,2.0,2.0,6.9,2.1,0.0,0.0
Detroit Lions,,D,3300,DET,@NYG,23.3,NYG by 3,1.4,0.7,1.0,242,83,17.2,7.0,16.0,16.0,16.0,16.0,16.0,5.6,1.7,0.0,0.0
Tampa Bay Buccaneers,6,D,3200,TB,CHI,18.0,TB by 7,1.7,0.8,1.1,248,112,16.8,8.4,0.0,0.0,0.0,0.0,0.0,10.2,3.2,0.0,0.0
Jacksonville Jaguars,1,D,3100,JAX,TEN,22.8,TEN by 2,1.7,0.3,0.6,222,139,23.4,6.1,28.0,28.0,28.0,28.0,28.0,6.5,2.1,0.0,0.0
Houston Texans,1,D,3100,HOU,@CIN,22.0,CIN by 6,2.4,0.6,0.7,235,112,18.8,6.8,0.0,0.0,0.0,0.0,0.0,7.2,2.3,0.0,0.0
Los Angeles Rams,,D,3000,LAR,WAS,21.5,LAR by 3,1.7,0.8,0.7,289,107,24.4,6.5,28.0,28.0,28.0,28.0,28.0,6.0,2.0,0.0,0.0
Pittsburgh Steelers,,D,3000,PIT,MIN,19.8,PIT by 5.5,2.4,0.7,0.3,246,79,19.8,6.3,18.0,18.0,18.0,18.0,18.0,7.4,2.5,0.0,0.0
Philadelphia Eagles,,D,2900,PHI,@KC,26.5,KC by 5.5,2.0,0.6,0.4,235,116,22.8,4.6,22.0,22.0,22.0,22.0,22.0,5.1,1.8,0.0,0.0
Washington Redskins,,D,2900,WAS,@LAR,24.5,LAR by 3,3.0,0.6,1.1,196,78,15.6,11.1,12.0,12.0,12.0,12.0,12.0,7.2,2.5,0.0,0.0
Kansas City Chiefs,,D,2900,KC,PHI,21.0,KC by 5.5,2.1,0.4,0.9,226,109,21.5,6.1,3.0,3.0,3.0,3.0,3.0,7.0,2.4,0.0,0.0
Los Angeles Chargers,,D,2800,LAC,MIA,20.5,LAC by 4,1.7,0.5,1.0,223,117,23.0,5.8,8.0,8.0,8.0,8.0,8.0,8.5,3.0,0.0,0.0
Buffalo Bills,,D,2700,BUF,@CAR,25.3,CAR by 7.5,2.1,0.7,1.2,230,111,22.0,8.4,9.0,9.0,9.0,9.0,9.0,5.7,2.1,0.0,0.0
Minnesota Vikings,,D,2700,MIN,@PIT,25.3,PIT by 5.5,1.3,0.2,0.9,260,103,23.4,4.4,2.0,2.0,2.0,2.0,2.0,6.1,2.3,0.0,0.0
Dallas Cowboys,1,D,2600,DAL,@DEN,20.0,DAL by 2,2.6,0.9,0.6,232,92,19.4,8.1,12.0,12.0,12.0,12.0,12.0,6.1,2.3,0.0,0.0
Miami Dolphins,,D,2600,MIA,@LAC,24.5,LAC by 4,2.3,0.9,1.4,259,89,23.3,9.3,0.0,0.0,0.0,0.0,0.0,6.2,2.4,0.0,0.0
Atlanta Falcons,,D,2500,ATL,GB,25.3,ATL by 3,2.4,0.6,0.6,268,106,26.4,4.9,5.0,5.0,5.0,5.0,5.0,5.8,2.3,0.0,0.0
New England Patriots,1,D,2500,NE,@NO,24.5,NE by 6.5,1.7,0.5,0.9,309,107,28.3,6.1,1.0,1.0,1.0,1.0,1.0,6.5,2.6,0.0,0.0
Cleveland Browns,,D,2400,CLE,@BAL,23.5,BAL by 8,1.9,0.3,1.1,249,96,21.4,6.1,3.0,3.0,3.0,3.0,3.0,5.6,2.3,0.0,0.0
Green Bay Packers,,D,2300,GB,@ATL,28.3,ATL by 3,2.3,0.3,0.4,294,121,31.8,2.6,9.0,9.0,9.0,9.0,9.0,4.4,1.9,0.0,0.0
San Francisco 49ers,,D,2300,SF,@SEA,28.0,SEA by 14,2.4,0.4,0.6,259,97,22.0,6.1,4.0,4.0,4.0,4.0,4.0,4.4,1.9,0.0,0.0
Indianapolis Colts,,D,2300,IND,ARI,25.8,ARI by 7.5,2.4,0.8,1.3,259,105,24.5,8.8,2.0,2.0,2.0,2.0,2.0,5.7,2.5,0.0,0.0
Chicago Bears,1,D,2200,CHI,@TB,25.0,TB by 7,2.4,0.6,1.1,243,102,19.8,8.0,2.0,2.0,2.0,2.0,2.0,5.7,2.6,0.0,0.0
New Orleans Saints,,D,2100,NO,NE,31.0,NE by 6.5,1.6,0.4,0.1,269,118,27.4,2.3,0.0,0.0,0.0,0.0,0.0,2.7,1.3,0.0,0.0
New York Jets,,D,2000,NYJ,@OAK,28.5,OAK by 13.5,1.3,0.4,0.4,249,117,25.1,3.8,4.0,4.0,4.0,4.0,4.0,3.4,1.7,0.0,0.0
