"Position","Name...ID","Name","ID","Salary","GameInfo","Team","FirstName","LastName","Opponent","Projection","Projection_dfn","ValueWR","RankTargets","RollingTargetPctg"
"RB","Le'Veon Bell (7976942)","Le'Veon Bell",7976942,9400,"Bal@Pit 04:30PM ET","Pit","Le'Veon","Bell","Bal",22.93,25.4,0,2,0.171903881700555
"RB","David Johnson (7976918)","David Johnson",7976918,9200,"Ari@Sea 04:25PM ET","Ari","David","Johnson","Sea",22.34,22.1,0,2,0.215799614643545
"RB","LeSean McCoy (7976837)","LeSean McCoy",7976837,9000,"Mia@Buf 01:00PM ET","Buf","LeSean","McCoy","Mia",20.83,19.6,0,4,0.12958435207824
"WR","Odell Beckham Jr. (7975684)","Odell Beckham Jr.",7975684,8600,"NYG@Phi 08:25PM ET","NYG","Odell","Beckham","Phi",20.98,18.4,0,1,0.291428571428571
"WR","Mike Evans (7976984)","Mike Evans",7976984,8500,"TB@NO 04:25PM ET","TB","Mike","Evans","NO",21.44,20.8,0,1,0.31041257367387
"WR","Antonio Brown (7977111)","Antonio Brown",7977111,8200,"Bal@Pit 04:30PM ET","Pit","Antonio","Brown","Bal",21.31,23.5,0,1,0.280961182994455
"WR","Julio Jones (7977054)","Julio Jones",7977054,8100,"Atl@Car 01:00PM ET","Atl","Julio","Jones","Car",18.94,22.6,0,1,0.241090146750524
"RB","Ezekiel Elliott (7976966)","Ezekiel Elliott",7976966,7900,"Det@Dal 08:30PM ET","Dal","Ezekiel","Elliott","Det",19.7,20.3,0,5,0.0878378378378378
"WR","T.Y. Hilton (7977065)","T.Y. Hilton",7977065,7800,"Ind@Oak 04:05PM ET","Ind","T.Y.","Hilton","Oak",19.25,18.4,0,1,0.273584905660377
"QB","Tom Brady (7976764)","Tom Brady",7976764,7700,"NYJ@NE 01:00PM ET","NE","Tom","Brady","NYJ",22.31,19.9,0,0,0
"QB","Drew Brees (7976759)","Drew Brees",7976759,7400,"TB@NO 04:25PM ET","NO","Drew","Brees","TB",22.88,21.2,0,0,0
"RB","Melvin Gordon (7976882)","Melvin Gordon",7976882,7400,"SD@Cle 01:00PM ET","SD","Melvin","Gordon","Cle",0,0,0,5,0.119587628865979
"QB","Matt Ryan (7976792)","Matt Ryan",7976792,7200,"Atl@Car 01:00PM ET","Atl","Matt","Ryan","Car",20.06,22.8,0,0,0
"WR","A.J. Green (7977098)","A.J. Green",7977098,7200,"Cin@Hou 08:25PM ET","Cin","A.J.","Green","Hou",0,0,0,1,0.216867469879518
"RB","Devonta Freeman (7976902)","Devonta Freeman",7976902,7100,"Atl@Car 01:00PM ET","Atl","Devonta","Freeman","Car",15.33,13.1,0,3,0.113207547169811
"RB","DeMarco Murray (7976863)","DeMarco Murray",7976863,7000,"Ten@Jax 01:00PM ET","Ten","DeMarco","Murray","Jax",19.86,18.9,0,4,0.139325842696629
"WR","Jordy Nelson (7977015)","Jordy Nelson",7977015,7000,"Min@GB 01:00PM ET","GB","Jordy","Nelson","Min",18.76,16.5,0,1,0.256781193490054
"QB","Andrew Luck (7976797)","Andrew Luck",7976797,7000,"Ind@Oak 04:05PM ET","Ind","Andrew","Luck","Oak",19.98,21.1,0,0,0
"WR","Julian Edelman (7976994)","Julian Edelman",7976994,6900,"NYJ@NE 01:00PM ET","NE","Julian","Edelman","NYJ",16.1,17.7,0,1,0.280155642023346
"QB","Philip Rivers (7976782)","Philip Rivers",7976782,6900,"SD@Cle 01:00PM ET","SD","Philip","Rivers","Cle",19.06,18.7,0,0,0
"WR","Brandin Cooks (7976986)","Brandin Cooks",7976986,6800,"TB@NO 04:25PM ET","NO","Brandin","Cooks","TB",18.27,15,0,1,0.175972927241963
"QB","Kirk Cousins (7976787)","Kirk Cousins",7976787,6800,"Was@Chi 01:00PM ET","Was","Kirk","Cousins","Chi",19.08,19.1,0,0,0
"QB","Derek Carr (7976799)","Derek Carr",7976799,6800,"Ind@Oak 04:05PM ET","Oak","Derek","Carr","Ind",19.48,17.8,0,0,0
"QB","Aaron Rodgers (7976775)","Aaron Rodgers",7976775,6700,"Min@GB 01:00PM ET","GB","Aaron","Rodgers","Min",20.84,18.7,0,0,0
"QB","Ben Roethlisberger (7976819)","Ben Roethlisberger",7976819,6700,"Bal@Pit 04:30PM ET","Pit","Ben","Roethlisberger","Bal",19.05,18.5,0,0,0
"QB","Cam Newton (7976795)","Cam Newton",7976795,6600,"Atl@Car 01:00PM ET","Car","Cam","Newton","Atl",20.41,19.8,0,0,0
"WR","Golden Tate (7977135)","Golden Tate",7977135,6600,"Det@Dal 08:30PM ET","Det","Golden","Tate","Dal",15.86,15.2,0,1,0.239382239382239
"QB","Jameis Winston (7976763)","Jameis Winston",7976763,6500,"TB@NO 04:25PM ET","TB","Jameis","Winston","NO",19.31,19.1,0,0,0
"WR","Amari Cooper (7977070)","Amari Cooper",7977070,6500,"Ind@Oak 04:05PM ET","Oak","Amari","Cooper","Ind",16.32,15.7,0,2,0.234657039711191
"RB","Todd Gurley (7976929)","Todd Gurley",7976929,6500,"SF@LA 04:25PM ET","LA","Todd","Gurley","SF",16.28,19.9,0,5,0.108829568788501
"WR","Dez Bryant (7977134)","Dez Bryant",7977134,6500,"Det@Dal 08:30PM ET","Dal","Dez","Bryant","Det",17.47,15.2,0,2,0.207207207207207
"WR","Demaryius Thomas (7977122)","Demaryius Thomas",7977122,6400,"Den@KC 08:30PM ET","Den","Demaryius","Thomas","KC",14.94,16.9,0,1,0.285429141716567
"RB","Jordan Howard (7976896)","Jordan Howard",7976896,6300,"Was@Chi 01:00PM ET","Chi","Jordan","Howard","Was",17.19,17.5,0,4,0.09765625
"WR","Alshon Jeffery (7977044)","Alshon Jeffery",7977044,6300,"Was@Chi 01:00PM ET","Chi","Alshon","Jeffery","Was",14.52,15.4,0,2,0.162109375
"QB","Russell Wilson (7976803)","Russell Wilson",7976803,6300,"Ari@Sea 04:25PM ET","Sea","Russell","Wilson","Ari",17.96,18.4,0,14,0.0044543429844098
"WR","Taylor Gabriel (7977063)","Taylor Gabriel",7977063,6200,"Atl@Car 01:00PM ET","Atl","Taylor","Gabriel","Car",10.91,11.7,0,4,0.0985324947589098
"RB","Latavius Murray (7976909)","Latavius Murray",7976909,6200,"Ind@Oak 04:05PM ET","Oak","Latavius","Murray","Ind",15.09,13.9,0,5,0.075812274368231
"WR","Michael Crabtree (7977064)","Michael Crabtree",7977064,6100,"Ind@Oak 04:05PM ET","Oak","Michael","Crabtree","Ind",14.76,14.7,0,1,0.245487364620939
"WR","Larry Fitzgerald (7977074)","Larry Fitzgerald",7977074,6100,"Ari@Sea 04:25PM ET","Ari","Larry","Fitzgerald","Sea",13.84,15.9,0,1,0.287090558766859
"QB","Matthew Stafford (7976832)","Matthew Stafford",7976832,6100,"Det@Dal 08:30PM ET","Det","Matthew","Stafford","Dal",18.74,18.7,0,0,0
"WR","Michael Thomas (7976988)","Michael Thomas",7976988,6000,"TB@NO 04:25PM ET","NO","Michael","Thomas","TB",17.98,15.3,0,1,0.175972927241963
"RB","Bilal Powell (7976855)","Bilal Powell",7976855,6000,"NYJ@NE 01:00PM ET","NYJ","Bilal","Powell","NE",14.25,16.7,0,3,0.140845070422535
"QB","Marcus Mariota (7976773)","Marcus Mariota",7976773,6000,"Ten@Jax 01:00PM ET","Ten","Marcus","Mariota","Jax",18.59,16.2,0,13,0.00224719101123596
"WR","Dontrelle Inman (7977028)","Dontrelle Inman",7977028,6000,"SD@Cle 01:00PM ET","SD","Dontrelle","Inman","Cle",12.13,13,0,2,0.183505154639175
"WR","Doug Baldwin (7977076)","Doug Baldwin",7977076,6000,"Ari@Sea 04:25PM ET","Sea","Doug","Baldwin","Ari",14.69,14.5,0,1,0.244988864142539
"WR","Emmanuel Sanders (7977120)","Emmanuel Sanders",7977120,6000,"Den@KC 08:30PM ET","Den","Emmanuel","Sanders","KC",13.8,15.8,0,2,0.271457085828343
"RB","Ty Montgomery (7976878)","Ty Montgomery",7976878,5900,"Min@GB 01:00PM ET","GB","Ty","Montgomery","Min",14.28,14.2,0,4,0.0867992766726944
"WR","Stefon Diggs (7977022)","Stefon Diggs",7977022,5900,"Min@GB 01:00PM ET","Min","Stefon","Diggs","GB",13.4,14.4,0,2,0.2109375
"WR","Tyreek Hill (7977131)","Tyreek Hill",7977131,5900,"Den@KC 08:30PM ET","KC","Tyreek","Hill","Den",10.35,13.3,0,2,0.149068322981366
"QB","Dak Prescott (7976833)","Dak Prescott",7976833,5900,"Det@Dal 08:30PM ET","Dal","Dak","Prescott","Det",18.9,16.7,0,0,0
