"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","Opponent","Projection","Projection_dfn","Projection_baseballmonster","Projection_rotowire","Batting_Order_Projected","Batting_Order_Confirmed","Actual_fpts"
"1B","Anthony Rizzo",5800,"CHC@COL 02:10PM ET",8.625,"CHC","COL",9.62,12.5,11.13,NA,"3","3",0
"OF","Charlie Blackmon",5800,"CHC@COL 02:10PM ET",10.212,"COL","CHC",NA,NA,NA,NA,"1","x",NA
"3B","Kris Bryant",5700,"CHC@COL 02:10PM ET",10.094,"CHC","COL",11.29,13.9,11.09,NA,"2","2",21
"3B","Nolan Arenado",5500,"CHC@COL 02:10PM ET",9.156,"COL","CHC",10.09,9.6,9.34,NA,"3","3",5
"OF","Ian Desmond",5000,"CHC@COL 02:10PM ET",8.714,"COL","CHC",8.65,8.4,7.79,NA,"5","5",8
"OF","Kyle Schwarber",4900,"CHC@COL 02:10PM ET",6.903,"CHC","COL",NA,NA,NA,NA,"1","x",NA
"2B/OF","Ben Zobrist",4800,"CHC@COL 02:10PM ET",6.448,"CHC","COL",8.75,11,9.1,NA,"4","1",2
"2B","Javier Baez",4700,"CHC@COL 02:10PM ET",6.714,"CHC","COL",8.52,10.8,7.62,NA,"7","6",16
"OF","David Dahl",4600,"CHC@COL 02:10PM ET",0,"COL","CHC",NA,0,NA,NA,"x","x",NA
"SS","Trevor Story",4600,"CHC@COL 02:10PM ET",6.469,"COL","CHC",8.15,7.7,7.37,NA,"7","6",0
"C","Willson Contreras",4600,"CHC@COL 02:10PM ET",5.222,"CHC","COL",8.28,10.4,2.03,NA,"6","7",7
"OF","Jason Heyward",4600,"CHC@COL 02:10PM ET",6.643,"CHC","COL",NA,0,NA,NA,"x","x",NA
"SS","Addison Russell",4500,"CHC@COL 02:10PM ET",7.333,"CHC","COL",8.61,10.7,1.94,NA,"5","5",6
"2B","DJ LeMahieu",4500,"CHC@COL 02:10PM ET",6.121,"COL","CHC",8.25,8.3,7.99,NA,"2","2",0
"OF","Carlos Gonzalez",4500,"CHC@COL 02:10PM ET",4.759,"COL","CHC",NA,NA,NA,NA,"4","x",NA
"1B","Wil Myers",4400,"TEX@SD 03:40PM ET",9.424,"SD","TEX",8.14,8.2,8.6,NA,"3","3",3
"OF","Albert Almora",4400,"CHC@COL 02:10PM ET",4.75,"CHC","COL",7.41,9,7.08,NA,"9","9",7
"1B","Mark Reynolds",4300,"CHC@COL 02:10PM ET",9.719,"COL","CHC",8.46,8.4,7.73,NA,"6","4",6
"2B","Rougned Odor",4200,"TEX@SD 03:40PM ET",6.182,"TEX","SD",7.47,7.6,7.95,NA,"2","5",10
"C","Miguel Montero",4200,"CHC@COL 02:10PM ET",6,"CHC","COL",NA,0,7.74,NA,"x","x",NA
"OF","Jon Jay",4200,"CHC@COL 02:10PM ET",4.704,"CHC","COL",NA,0,1.75,NA,"x","x",NA
"OF","Shin-Soo Choo",4100,"TEX@SD 03:40PM ET",7.172,"TEX","SD",7.02,7.9,8.1,NA,"x","1",15
"3B","Adrian Beltre",4000,"TEX@SD 03:40PM ET",0,"TEX","SD",NA,0,NA,NA,"x","x",NA
"SS","Pat Valaika",4000,"CHC@COL 02:10PM ET",4.154,"COL","CHC",NA,0,NA,NA,"x","x",NA
"OF","Gerardo Parra",3900,"CHC@COL 02:10PM ET",5.75,"COL","CHC",7.49,8.4,1.72,NA,"x","1",0
"2B","Ian Happ",3900,"CHC@COL 02:10PM ET",0,"CHC","COL",NA,0,NA,NA,"x","x",NA
"1B","Mike Napoli",3800,"TEX@SD 03:40PM ET",5.406,"TEX","SD",NA,0,1.68,NA,"x","x",NA
"OF","Carlos Gomez",3800,"TEX@SD 03:40PM ET",7.375,"TEX","SD",7.79,7.5,7.61,NA,"5","4",6
"2B/3B","Tommy La Stella",3800,"CHC@COL 02:10PM ET",1.375,"CHC","COL",NA,0,7.44,NA,"x","x",NA
"SS","Elvis Andrus",3700,"TEX@SD 03:40PM ET",8.219,"TEX","SD",6.47,7.6,8.51,NA,"4","2",7
"3B","Joey Gallo",3700,"TEX@SD 03:40PM ET",8.424,"TEX","SD",7.5,7.1,7.36,NA,"6","7",25
